setdma-000300-v365-tag-0000b3c4-2288.bin | charsel best_ncc=0.8361 best_ncc=0.7962  | gdanse best_ncc=0.7810 best_ncc=0.7867 
setdma-000600-v665-tag-0000b3c4-2288.bin | charsel best_ncc=0.7555 best_ncc=0.7610  | gdanse best_ncc=0.7648 best_ncc=0.7876 
setdma-000900-v965-tag-0000b3c4-2288.bin | charsel best_ncc=0.8815 best_ncc=0.8867  | gdanse best_ncc=0.8924 best_ncc=0.8619 
setdma-001200-v1265-tag-0000b3c4-2288.bin | charsel best_ncc=0.9625 best_ncc=0.9605  | gdanse best_ncc=0.9436 best_ncc=0.9523 
setdma-001500-v1565-tag-0000b3c4-2288.bin | charsel best_ncc=0.5042 best_ncc=0.4721  | gdanse best_ncc=0.5165 best_ncc=0.4582 
setdma-001800-v1865-tag-0000b3c4-2288.bin | charsel best_ncc=0.9320 best_ncc=0.9429  | gdanse best_ncc=0.8867 best_ncc=0.8756 
setdma-002100-v2165-tag-0000b3c4-2288.bin | charsel best_ncc=0.9265 best_ncc=0.9117  | gdanse best_ncc=0.8971 best_ncc=0.8832 
setdma-002400-v2465-tag-0000b3c4-2288.bin | charsel best_ncc=0.8582 best_ncc=0.8708  | gdanse best_ncc=0.8484 best_ncc=0.8584 
setdma-002700-v2765-tag-0000b3c4-2288.bin | charsel best_ncc=0.9360 best_ncc=0.9122  | gdanse best_ncc=0.8978 best_ncc=0.8827 
setdma-003000-v3065-tag-0000b3c4-2288.bin | charsel best_ncc=0.8922 best_ncc=0.8876  | gdanse best_ncc=0.8789 best_ncc=0.8725 
setdma-003300-v3365-tag-0000b3c4-2288.bin | charsel best_ncc=0.9415 best_ncc=0.9453  | gdanse best_ncc=0.9199 best_ncc=0.9237 
setdma-003600-v3665-tag-0000b3c4-2288.bin | charsel best_ncc=0.8938 best_ncc=0.8990  | gdanse best_ncc=0.8775 best_ncc=0.9126 
setdma-003900-v3965-tag-0000b3c4-2288.bin | charsel best_ncc=0.7464 best_ncc=0.7617  | gdanse best_ncc=0.7291 best_ncc=0.7507 
setdma-004200-v4265-tag-0000b3c4-2288.bin | charsel best_ncc=0.5736 best_ncc=0.5640  | gdanse best_ncc=0.5448 best_ncc=0.5600 
setdma-004500-v4565-tag-0000b3c4-2288.bin | charsel best_ncc=0.6561 best_ncc=0.6741  | gdanse best_ncc=0.7358 best_ncc=0.6897 
setdma-004800-v4865-tag-0000b3c4-2288.bin | charsel best_ncc=0.7067 best_ncc=0.7129  | gdanse best_ncc=0.6818 best_ncc=0.6861 
setdma-005100-v5165-tag-0000b3c4-2288.bin | charsel best_ncc=0.6550 best_ncc=0.6598  | gdanse best_ncc=0.6967 best_ncc=0.6604 
setdma-005400-v5465-tag-0000b3c4-2288.bin | charsel best_ncc=0.6229 best_ncc=0.6226  | gdanse best_ncc=0.6633 best_ncc=0.6675 
setdma-005700-v5765-tag-0000b3c4-2288.bin | charsel best_ncc=0.6673 best_ncc=0.6607  | gdanse best_ncc=0.6188 best_ncc=0.6216 
setdma-006000-v6065-tag-0000b3c4-2288.bin | charsel best_ncc=0.7167 best_ncc=0.6976  | gdanse best_ncc=0.7183 best_ncc=0.7212 
setdma-006300-v6365-tag-0000b3c4-2288.bin | charsel best_ncc=0.7336 best_ncc=0.7265  | gdanse best_ncc=0.7421 best_ncc=0.7452 
setdma-006600-v6665-tag-0000b3c4-2288.bin | charsel best_ncc=0.6622 best_ncc=0.6742  | gdanse best_ncc=0.6786 best_ncc=0.7038 
setdma-006900-v6965-tag-0000b3c4-2288.bin | charsel best_ncc=0.5185 best_ncc=0.5225  | gdanse best_ncc=0.5530 best_ncc=0.5361 
setdma-007200-v7265-tag-0000b3c4-2288.bin | charsel best_ncc=0.6548 best_ncc=0.6325  | gdanse best_ncc=0.6437 best_ncc=0.6388 
setdma-007500-v7565-tag-0000b3c4-2288.bin | charsel best_ncc=0.7344 best_ncc=0.6999  | gdanse best_ncc=0.7046 best_ncc=0.6851 
setdma-007800-v7865-tag-0000b3c4-2288.bin | charsel best_ncc=0.8681 best_ncc=0.8832  | gdanse best_ncc=0.8558 best_ncc=0.8477 
setdma-008100-v8165-tag-0000b3c4-2288.bin | charsel best_ncc=0.4630 best_ncc=0.3967  | gdanse best_ncc=0.4305 best_ncc=0.3668 
setdma-008400-v8465-tag-0000b3c4-2288.bin | charsel best_ncc=0.2403 best_ncc=0.2538  | gdanse best_ncc=0.2666 best_ncc=0.2364 
setdma-008700-v8765-tag-0000b3c4-2288.bin | charsel best_ncc=0.6748 best_ncc=0.6895  | gdanse best_ncc=0.7081 best_ncc=0.6833 
setdma-009000-v9065-tag-0000b3c4-2288.bin | charsel best_ncc=0.5991 best_ncc=0.5917  | gdanse best_ncc=0.5702 best_ncc=0.5426 
