record_index,serial,ee_vsync,min,max,rms,nonzero_samples,zero_crossings
0,1,1228,0,0,0.0,0,0
1,2,1228,0,0,0.0,0,0
2,3,1229,0,0,0.0,0,0
3,4,1230,0,0,0.0,0,0
4,5,1230,0,0,0.0,0,0
5,6,1231,0,0,0.0,0,0
6,7,1232,0,0,0.0,0,0
7,8,1232,0,0,0.0,0,0
8,9,1233,0,0,0.0,0,0
9,10,1234,0,0,0.0,0,0
10,11,1234,0,0,0.0,0,0
11,12,1235,0,0,0.0,0,0
12,13,1235,0,0,0.0,0,0
13,14,1236,0,0,0.0,0,0
14,15,1237,0,0,0.0,0,0
15,16,1237,0,0,0.0,0,0
16,17,1238,0,0,0.0,0,0
17,18,1239,0,0,0.0,0,0
18,19,1239,0,0,0.0,0,0
19,20,1240,0,0,0.0,0,0
20,21,1241,0,0,0.0,0,0
21,22,1241,0,0,0.0,0,0
22,23,1242,0,0,0.0,0,0
23,24,1243,0,0,0.0,0,0
24,25,1243,0,0,0.0,0,0
25,26,1244,0,0,0.0,0,0
26,27,1244,0,0,0.0,0,0
27,28,1245,0,0,0.0,0,0
28,29,1246,0,0,0.0,0,0
29,30,1246,0,0,0.0,0,0
30,31,1247,0,0,0.0,0,0
31,32,1248,0,0,0.0,0,0
32,33,1248,0,0,0.0,0,0
33,34,1249,0,0,0.0,0,0
34,35,1250,0,0,0.0,0,0
35,36,1250,0,0,0.0,0,0
36,37,1251,0,0,0.0,0,0
37,38,1251,0,0,0.0,0,0
38,39,1252,0,0,0.0,0,0
39,40,1253,0,0,0.0,0,0
40,41,1253,0,0,0.0,0,0
41,42,1254,0,0,0.0,0,0
42,43,1255,0,0,0.0,0,0
43,44,1255,0,0,0.0,0,0
44,45,1256,0,0,0.0,0,0
45,46,1257,0,0,0.0,0,0
46,47,1257,0,0,0.0,0,0
47,48,1258,0,0,0.0,0,0
48,49,1258,0,0,0.0,0,0
49,50,1259,0,0,0.0,0,0
50,51,1260,0,0,0.0,0,0
51,52,1260,0,0,0.0,0,0
52,53,1261,0,0,0.0,0,0
53,54,1262,0,0,0.0,0,0
54,55,1262,0,0,0.0,0,0
55,56,1263,0,0,0.0,0,0
56,57,1264,0,0,0.0,0,0
57,58,1264,0,0,0.0,0,0
58,59,1265,0,0,0.0,0,0
59,60,1266,0,0,0.0,0,0
60,61,1266,0,0,0.0,0,0
61,62,1267,0,0,0.0,0,0
62,63,1267,0,0,0.0,0,0
63,64,1268,0,0,0.0,0,0
64,65,1269,0,0,0.0,0,0
65,66,1269,0,0,0.0,0,0
66,67,1270,0,0,0.0,0,0
67,68,1271,0,0,0.0,0,0
68,69,1271,0,0,0.0,0,0
69,70,1272,0,0,0.0,0,0
70,71,1273,0,0,0.0,0,0
71,72,1273,0,0,0.0,0,0
72,73,1274,0,0,0.0,0,0
73,74,1274,0,0,0.0,0,0
74,75,1275,0,0,0.0,0,0
75,76,1276,0,0,0.0,0,0
76,77,1276,0,0,0.0,0,0
77,78,1277,0,0,0.0,0,0
78,79,1278,0,0,0.0,0,0
79,80,1278,0,0,0.0,0,0
80,81,1279,0,0,0.0,0,0
81,82,1280,0,0,0.0,0,0
82,83,1280,0,0,0.0,0,0
83,84,1281,0,0,0.0,0,0
84,85,1282,0,0,0.0,0,0
85,86,1282,0,0,0.0,0,0
86,87,1283,0,0,0.0,0,0
87,88,1283,0,0,0.0,0,0
88,89,1284,0,0,0.0,0,0
89,90,1285,0,0,0.0,0,0
90,91,1285,0,0,0.0,0,0
91,92,1286,0,0,0.0,0,0
92,93,1287,0,0,0.0,0,0
93,94,1287,0,0,0.0,0,0
94,95,1288,0,0,0.0,0,0
95,96,1289,0,0,0.0,0,0
96,97,1289,0,0,0.0,0,0
97,98,1290,0,0,0.0,0,0
98,99,1290,0,0,0.0,0,0
99,100,1291,0,0,0.0,0,0
