function_start,function_end,role,instruction_addr,word,opcode,disassembly,family,edge_test_status,test_evidence
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1640,0x7FB00070,sq,"sq $s0, 0x70($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1648,0x7FB40030,sq,"sq $s4, 0x30($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1650,0x7FB60010,sq,"sq $s6, 0x10($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1664,0x7FB20050,sq,"sq $s2, 0x50($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C166C,0x7FB30040,sq,"sq $s3, 0x40($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1670,0x7FB50020,sq,"sq $s5, 0x20($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1678,0x7FB10060,sq,"sq $s1, 0x60($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C18F4,0x7BB10060,lq,"lq $s1, 0x60($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C18FC,0x7BB20050,lq,"lq $s2, 0x50($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1904,0x7BB30040,lq,"lq $s3, 0x40($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1914,0x7BB40030,lq,"lq $s4, 0x30($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1920,0x7BB50020,lq,"lq $s5, 0x20($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1930,0x7BB60010,lq,"lq $s6, 0x10($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C1970,0x7BB00070,lq,"lq $s0, 0x70($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C19B0,0x7FB40030,sq,"sq $s4, 0x30($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C19B4,0x7FB10060,sq,"sq $s1, 0x60($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
0x003C1638,0x003C1B80,sound thread; tag-1 record and DMA,0x003C19BC,0x7FB30040,sq,"sq $s3, 0x40($sp)",EE 128-bit memory,untested,No EE LQ/SQ alignment edge test found
