offset	first	last	nonzero_records	changes	unique
0x000	0x00000000	0x000007cf	1999	1999	2000
0x004	0x00000000	0x00072da2	1944	21	22
0x1c0	0xffffffff	0xffffffff	2000	0	1
0x1c8	0xffffffff	0xffffffff	2000	0	1
0x1d0	0xffffffff	0xffffffff	2000	0	1
0x1d8	0xffffffff	0xffffffff	2000	0	1
0x1e0	0xffffffff	0xffffffff	2000	0	1
0x1e8	0xffffffff	0xffffffff	2000	0	1
0x1f0	0xffffffff	0xffffffff	2000	0	1
0x1f8	0xffffffff	0xffffffff	2000	0	1
0x200	0xffffffff	0xffffffff	2000	0	1
0x208	0xffffffff	0xffffffff	2000	0	1
0x210	0xffffffff	0xffffffff	2000	0	1
0x218	0xffffffff	0xffffffff	2000	0	1
0x220	0xffffffff	0xffffffff	2000	0	1
0x228	0xffffffff	0xffffffff	2000	0	1
0x230	0xffffffff	0xffffffff	2000	0	1
0x238	0xffffffff	0xffffffff	2000	0	1
0x23c	0x00000000	0x000007cf	1999	1999	2000
