per-2s RMS: t  dry0  dry1  out-in  in0
  0       0       0       3    5180
  2       0       0       3    5504
  4       0       0       3    5381
  6       0       0       3    5529
  8       0       0       3    5711
 10       0       0       3    5574
 12       0       0       3    5853
 14       0       0       3    5778
 16       0       0       3    5395
 18       0       0       3    5924
 20       0       0       3    5715
 22       0    1088    1088    5643
 24       0       0       3    4179
 26       0       0       2    3540
 28       0       0       2    2378
 30       0       0       2    1787
 32       0       0       3    4114
 34     602       0     602    1569
 36       0       0       2    3632
 38    1440       0    1439    3269
 40    2187       0    2187    3590
 42    2140       0    2139    3617
 44       0    2279    2279    5376
 46       0     303     303    5708
 48       0     385     385    5116
 50       0     181     181    6075
 52       0     350     350    5602
 54       0    1360    1360    5326
 56       0     311     311    4556
 58      47     495     496    4524
extra-layer energy share by band: 0-200Hz 46.2% 200-1000Hz 47.9% 1000-4000Hz 5.3% 4000-12000Hz 0.6% 12000-24000Hz 0.0%
extra/out RMS 0.169 = -15.5 dB; L/R ncc of extra 0.964
