t=8.7 tick=244 busy=268267 total=1014254 pct=26.4
t=15.8 tick=874 busy=488603 total=1013281 pct=48.2
t=22.4 tick=1201 busy=434001 total=1007885 pct=43.1
t=27.4 tick=1455 busy=327577 total=1005837 pct=32.6
t=33.7 tick=1628 busy=273959 total=1009372 pct=27.1
t=38.9 tick=1681 busy=292317 total=1004291 pct=29.1
t=45.3 tick=1784 busy=294021 total=1001368 pct=29.4
t=50.5 tick=1837 busy=318224 total=1007733 pct=31.6
t=56.8 tick=1893 busy=317297 total=1001326 pct=31.7
t=61.9 tick=1950 busy=389759 total=1011013 pct=38.6
t=68.4 tick=2021 busy=419687 total=1011517 pct=41.5
t=73.7 tick=2095 busy=410076 total=1008250 pct=40.7
t=81.6 tick=2244 busy=411684 total=1003076 pct=41.0
t=88.2 tick=2320 busy=416959 total=1009082 pct=41.3
t=93.6 tick=2394 busy=422534 total=1010246 pct=41.8
t=100.5 tick=2549 busy=404965 total=1004668 pct=40.3
t=106.0 tick=2630 busy=395462 total=1004280 pct=39.4
t=112.6 tick=2711 busy=388351 total=1006453 pct=38.6
t=118.2 tick=2791 busy=445804 total=1006387 pct=44.3
t=126.2 tick=2950 busy=442018 total=1012076 pct=43.7
t=133.0 tick=3031 busy=387480 total=1001503 pct=38.7
t=138.4 tick=3112 busy=393038 total=1005046 pct=39.1
t=144.9 tick=3194 busy=420455 total=1010419 pct=41.6
t=150.4 tick=3353 busy=434225 total=1000873 pct=43.4
t=157.1 tick=3435 busy=391594 total=1004899 pct=39.0
t=162.5 tick=3516 busy=396823 total=1001414 pct=39.6
t=168.8 tick=3598 busy=421737 total=1001461 pct=42.1
t=174.3 tick=3678 busy=431923 total=1006629 pct=42.9
t=180.7 tick=3838 busy=403449 total=1003620 pct=40.2
t=186.0 tick=3920 busy=387018 total=1006914 pct=38.4
t=192.9 tick=4003 busy=399862 total=1004866 pct=39.8
t=198.5 tick=4084 busy=439216 total=1007068 pct=43.6
t=205.0 tick=4163 busy=461572 total=1001131 pct=46.1
t=210.4 tick=4339 busy=376720 total=1005372 pct=37.5
t=216.8 tick=4434 busy=406744 total=1001611 pct=40.6
t=222.3 tick=4536 busy=414881 total=1007822 pct=41.2
