Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 387188
Time in ns: 68002175599

Children  Self    Command   Symbol
34.85%    0.00%   GsWorker  libvulkan_freedreno.so[+a271a0]
30.19%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe760a11586]
29.92%    29.92%  GsWorker  [kernel.kallsyms][+ffffffe761a84288]
29.92%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe761a84286]
29.77%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe761a84432]
28.79%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe761a7d85e]
28.61%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe761a7d8ea]
28.60%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe760a3aece]
28.60%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe760a3af86]
28.59%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe760a3b042]
28.38%    0.00%   GsWorker  libvulkan_freedreno.so[+ac11d8]
28.09%    0.00%   GsWorker  libvulkan_freedreno.so[+ac3694]
15.00%    0.00%   GsWorker  ioctl
15.00%    0.00%   GsWorker  __ioctl
15.00%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe760e13696]
14.87%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe76084c36a]
14.87%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe76084c2da]
14.84%    0.00%   GsWorker  libvulkan_freedreno.so[+a3a160]
14.83%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe76083b832]
14.83%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe7607be552]
14.81%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe761a8d7e6]
14.81%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe7607eda16]
14.38%    0.00%   GsWorker  __pthread_start(void*)
14.38%    0.00%   GsWorker  __start_thread
14.37%    0.01%   GsWorker  GsWorker::threadMain()
14.37%    0.00%   GsWorker  void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, void (GsWorker::*)(), GsWorker*>>(void*)
13.29%    0.00%   GsWorker  libvulkan_freedreno.so[+a21dc0]
12.41%    0.00%   GsWorker  syscall
12.37%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe760bca446]
12.31%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe760bca196]
12.30%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe760bce466]
12.30%    0.00%   GsWorker  [kernel.kallsyms][+ffffffe760bcdd5a]
12.25%    0.00%   GsWorker  __futex_wait_ex(void volatile*, bool, int, bool, timespec const*)
11.86%    0.00%   GsWorker  std::__ndk1::condition_variable::wait(std::__ndk1::unique_lock<std::__ndk1::mutex>&)
11.86%    0.00%   GsWorker  pthread_cond_wait
10.69%    0.00%   GsWorker  libvulkan_freedreno.so[+ac4764]
8.83%     0.00%   GsWorker  libvulkan_freedreno.so[+b64698]
7.95%     0.00%   GsWorker  libvulkan_freedreno.so[+a96b44]
7.71%     0.00%   GsWorker  libvulkan_freedreno.so[+add38c]
7.22%     0.00%   GsWorker  libvulkan_freedreno.so[+a27074]
6.46%     0.00%   GsWorker  libvulkan_freedreno.so[+ac10f4]
6.30%     0.02%   GsWorker  libvulkan_freedreno.so[+c653bc]
6.23%     0.00%   GsWorker  libvulkan_freedreno.so[+a96b90]
6.11%     0.00%   GsWorker  libvulkan_freedreno.so[+a97b34]
5.61%     0.00%   GsWorker  libvulkan_freedreno.so[+c60624]
5.46%     0.00%   GsWorker  libvulkan_freedreno.so[+c44140]
5.21%     0.00%   GsWorker  libvulkan_freedreno.so[+ac6614]
4.81%     0.00%   GsWorker  libvulkan_freedreno.so[+c18c0c]
4.77%     0.00%   GsWorker  libvulkan_freedreno.so[+c19504]
4.39%     0.00%   GsWorker  libvulkan_freedreno.so[+b45988]
