Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 56598
Time in ns: 20019950044

Children  Self    Command  Symbol
99.43%    0.00%   MTVU     ps2_mtvu::detail::Worker::loop()
99.43%    0.00%   MTVU     __pthread_start(void*)
99.43%    0.00%   MTVU     __start_thread
99.43%    0.00%   MTVU     void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, ps2_mtvu::detail::Worker::start()::'lambda'()>>(void*)
74.91%    0.00%   MTVU     std::__ndk1::__function::__func<PS2Memory::processPendingTransfers()::$_1, std::__ndk1::allocator<PS2Memory::processPendingTransfers()::$_1>, void ()>::operator()()
74.83%    1.66%   MTVU     PS2Memory::processVIF1DataImpl(unsigned char const*, unsigned int)
74.83%    0.00%   MTVU     PS2Memory::processVIF1Data(unsigned char const*, unsigned int)
71.77%    0.00%   MTVU     std::__ndk1::__function::__func<PS2Runtime::syncCoreSubsystems()::$_5, std::__ndk1::allocator<PS2Runtime::syncCoreSubsystems()::$_5>, void (unsigned int, unsigned int, unsigned int)>::operator()(unsigned int&&, unsigned int&&, unsigned int&&)
71.55%    0.49%   MTVU     VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
46.94%    0.00%   MTVU     [kernel.kallsyms][+ffffffe760a11586]
46.86%    0.04%   MTVU     syscall
46.83%    0.00%   MTVU     [kernel.kallsyms][+ffffffe761a7d85e]
46.12%    0.00%   MTVU     [kernel.kallsyms][+ffffffe761a7d8ea]
46.12%    0.00%   MTVU     [kernel.kallsyms][+ffffffe760a3aece]
46.12%    0.00%   MTVU     [kernel.kallsyms][+ffffffe760a3af86]
46.11%    0.00%   MTVU     [kernel.kallsyms][+ffffffe760a3b042]
46.10%    0.00%   MTVU     [kernel.kallsyms][+ffffffe760bca446]
41.65%    41.65%  MTVU     [kernel.kallsyms][+ffffffe761a84288]
41.65%    0.00%   MTVU     [kernel.kallsyms][+ffffffe761a84286]
41.53%    0.00%   MTVU     [kernel.kallsyms][+ffffffe761a84432]
41.06%    0.00%   MTVU     [kernel.kallsyms][+ffffffe760bca196]
41.04%    0.00%   MTVU     __futex_wait_ex(void volatile*, bool, int, bool, timespec const*)
41.04%    0.00%   MTVU     [kernel.kallsyms][+ffffffe760bce466]
