Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 474268
Time in ns: 204904141954

Children  Self    Symbol
69.11%    0.00%   [kernel.kallsyms][+ffffffe760a11586]
68.64%    0.00%   [kernel.kallsyms][+ffffffe761a7d85e]
68.50%    0.00%   [kernel.kallsyms][+ffffffe761a7d8ea]
68.50%    0.00%   [kernel.kallsyms][+ffffffe760a3aece]
68.50%    0.00%   [kernel.kallsyms][+ffffffe760a3af86]
68.50%    0.00%   [kernel.kallsyms][+ffffffe760a3b042]
68.47%    68.47%  [kernel.kallsyms][+ffffffe761a84288]
68.47%    0.00%   [kernel.kallsyms][+ffffffe761a84286]
68.44%    0.00%   [kernel.kallsyms][+ffffffe761a84432]
56.87%    0.00%   __pthread_start(void*)
56.87%    0.00%   __start_thread
23.94%    0.01%   syscall
23.85%    0.00%   [kernel.kallsyms][+ffffffe760bca446]
23.34%    0.00%   [kernel.kallsyms][+ffffffe760bca196]
23.33%    0.00%   [kernel.kallsyms][+ffffffe760bce466]
23.33%    0.00%   [kernel.kallsyms][+ffffffe760bcdd5a]
23.31%    0.00%   __futex_wait_ex(void volatile*, bool, int, bool, timespec const*)
22.90%    0.00%   std::__ndk1::condition_variable::wait(std::__ndk1::unique_lock<std::__ndk1::mutex>&)
22.90%    0.00%   pthread_cond_wait
19.54%    0.00%   ioctl
19.54%    0.00%   __ioctl
19.54%    0.00%   [kernel.kallsyms][+ffffffe760e13696]
16.39%    0.00%   [kernel.kallsyms][+ffffffe761a8da26]
11.56%    0.00%   libvulkan_freedreno.so[+a271a0]
9.78%     0.00%   android::IPCThreadState::talkWithDriver(bool)
9.78%     0.00%   [kernel.kallsyms][+ffffffe7616e829a]
9.77%     0.00%   aaudio::AudioStreamInternalPlay::callbackLoop()
9.77%     0.00%   aaudio::AudioStream_internalThreadProc(void*) (.cfi)
9.76%     0.00%   PS2Runtime::run()
9.76%     0.00%   main
9.76%     0.00%   aaudio::AudioStreamInternal::processData(void*, int, long)
9.76%     0.00%   clock_nanosleep
9.76%     0.00%   __clock_nanosleep
9.76%     0.00%   [kernel.kallsyms][+ffffffe760bbcd7a]
9.76%     0.00%   [kernel.kallsyms][+ffffffe760bb27f2]
9.76%     0.00%   [kernel.kallsyms][+ffffffe760bbdbd2]
9.75%     0.00%   [kernel.kallsyms][+ffffffe76084c36a]
9.75%     0.00%   [kernel.kallsyms][+ffffffe76084c2da]
9.75%     0.00%   [kernel.kallsyms][+ffffffe7616ee586]
9.74%     0.00%   android::AndroidRuntime::javaThreadShell(void*)
9.74%     0.00%   android::IPCThreadState::joinThreadPool(bool)
9.74%     0.00%   android::PoolThread::threadLoop()
9.74%     0.00%   android::Thread::_threadLoop(void*)
9.74%     0.00%   android::IPCThreadState::getAndExecuteCommand()
9.74%     0.00%   libvulkan_freedreno.so[+a3a160]
9.74%     0.00%   [kernel.kallsyms][+ffffffe76083b832]
9.74%     0.00%   [kernel.kallsyms][+ffffffe7607be552]
