Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g -e cpu-clock --trace-offcpu --duration 20
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 474268
Time in ns: 204904141954

Overhead  Symbol                                                                                                                                                                         Shared Object
68.47%    [kernel.kallsyms][+ffffffe761a84288]                                                                                                                                           [kernel.kallsyms]
0.86%     scudo::HybridMutex::tryLock()                                                                                                                                                  /apex/com.android.runtime/lib64/bionic/libc.so
0.59%     [kernel.kallsyms][+ffffffe761a8e810]                                                                                                                                           [kernel.kallsyms]
0.42%     VU1RecompImage<17692172933381506641ul>::B2a10(VU1Interpreter&, VU1Interpreter::RunContext&)                                                                                    /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.42%     VU1Interpreter::commitReadyPipelines()                                                                                                                                         /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.37%     scudo::HybridMutex::unlock()                                                                                                                                                   /apex/com.android.runtime/lib64/bionic/libc.so
0.36%     VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)                                                                 /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.34%     __memset_aarch64_nt                                                                                                                                                            /apex/com.android.runtime/lib64/bionic/libc.so
0.34%     VU1Interpreter::execUpper(unsigned int)                                                                                                                                        /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.33%     scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)                                       /apex/com.android.runtime/lib64/bionic/libc.so
0.33%     __memcpy_aarch64_nt                                                                                                                                                            /apex/com.android.runtime/lib64/bionic/libc.so
0.31%     scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)                                    /apex/com.android.runtime/lib64/bionic/libc.so
0.29%     VU1RecompImage<11917748289753363281ul>::B0628(VU1Interpreter&, VU1Interpreter::RunContext&)                                                                                    /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.28%     libvulkan_freedreno.so[+b40d34]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.26%     scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)  /apex/com.android.runtime/lib64/bionic/libc.so
0.18%     malloc                                                                                                                                                                         /apex/com.android.runtime/lib64/bionic/libc.so
0.17%     libvulkan_freedreno.so[+b40d68]                                                                                                                                                /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libvulkan_freedreno.so
0.17%     VU1RecompImage<17692172933381506641ul>::B0a58(VU1Interpreter&, VU1Interpreter::RunContext&)                                                                                    /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.16%     PS2Memory::processVIF1DataImpl(unsigned char const*, unsigned int)                                                                                                             /data/app/~~J9yZketwqaeWe_94jlP_lg==/com.ps2x.runner-rKnedQzg6II7qeuwr5Ef_Q==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.15%     [kernel.kallsyms][+ffffffe760a277ec]                                                                                                                                           [kernel.kallsyms]
