# Final [diag:stubs] block — e28a / e29a / e29b

## e28a
[diag:stubs] block=13 distinct=13 period_ms=5000
[diag:stub] target=0x3ffa58 count=602 firstRa=0x3271e8 lastRa=0x3271e8
[diag:stub] target=0x3ffbc0 count=602 firstRa=0x326f24 lastRa=0x326f24
[diag:stub] target=0x326eb0 count=602 firstRa=0x326bf8 lastRa=0x326bf8
[diag:stub] target=0x423de0 count=301 firstRa=0x31ac30 lastRa=0x31ac30
[diag:stub] target=0x31aac8 count=301 firstRa=0x3173e4 lastRa=0x3173e4
[diag:stub] target=0x326b88 count=301 firstRa=0x227f70 lastRa=0x227f70
[diag:stub] target=0x227f58 count=301 firstRa=0x3173c4 lastRa=0x3173c4
[diag:stub] target=0x317348 count=301 firstRa=0x317514 lastRa=0x317514
[diag:stub] target=0x317500 count=301 firstRa=0x31ac28 lastRa=0x31ac28
[diag:stub] target=0x423dd0 count=301 firstRa=0x31abf8 lastRa=0x31abf8
[diag:stub] target=0x317520 count=301 firstRa=0x31abe0 lastRa=0x31abe0
[diag:stub] target=0x31abd0 count=301 firstRa=0x31a5a0 lastRa=0x31a5a0
[diag:stub] target=0x3825f8 count=301 firstRa=0x3825dc lastRa=0x3825dc

## e29a
[diag:stubs] block=14 distinct=13 period_ms=5000
[diag:stub] target=0x3ffa58 count=602 firstRa=0x3271e8 lastRa=0x3271e8
[diag:stub] target=0x3ffbc0 count=602 firstRa=0x326f24 lastRa=0x326f24
[diag:stub] target=0x326eb0 count=602 firstRa=0x326bf8 lastRa=0x326bf8
[diag:stub] target=0x3825f8 count=301 firstRa=0x3825dc lastRa=0x3825dc
[diag:stub] target=0x423de0 count=301 firstRa=0x31ac30 lastRa=0x31ac30
[diag:stub] target=0x31aac8 count=301 firstRa=0x3173e4 lastRa=0x3173e4
[diag:stub] target=0x326b88 count=301 firstRa=0x227f70 lastRa=0x227f70
[diag:stub] target=0x227f58 count=301 firstRa=0x3173c4 lastRa=0x3173c4
[diag:stub] target=0x317348 count=301 firstRa=0x317514 lastRa=0x317514
[diag:stub] target=0x317500 count=301 firstRa=0x31ac28 lastRa=0x31ac28
[diag:stub] target=0x423dd0 count=301 firstRa=0x31abf8 lastRa=0x31abf8
[diag:stub] target=0x317520 count=301 firstRa=0x31abe0 lastRa=0x31abe0
[diag:stub] target=0x31abd0 count=301 firstRa=0x31a5a0 lastRa=0x31a5a0

## e29b
[diag:stubs] block=14 distinct=251 period_ms=5000
[diag:stub] target=0x397718 count=25026 firstRa=0x39f0bc lastRa=0x39ec88
[diag:stub] target=0x325260 count=23280 firstRa=0x325590 lastRa=0x325f10
[diag:stub] target=0x397278 count=15148 firstRa=0x3976c0 lastRa=0x3976c0
[diag:stub] target=0x3a0048 count=15148 firstRa=0x3976d4 lastRa=0x3976d4
[diag:stub] target=0x3971c8 count=15148 firstRa=0x3976a4 lastRa=0x3976a4
[diag:stub] target=0x3252f8 count=13968 firstRa=0x3252d8 lastRa=0x3252d8
[diag:stub] target=0x371dd8 count=11058 firstRa=0x38f758 lastRa=0x38f758
[diag:stub] target=0x3a0000 count=10864 firstRa=0x39895c lastRa=0x39897c
[diag:stub] target=0x362978 count=10670 firstRa=0x363138 lastRa=0x36340c
[diag:stub] target=0x394ed0 count=10670 firstRa=0x362f70 lastRa=0x363240
[diag:stub] target=0x395000 count=10573 firstRa=0x363010 lastRa=0x3632e4
[diag:stub] target=0x38f460 count=10282 firstRa=0x3790b4 lastRa=0x3640a4
[diag:stub] target=0x38f598 count=9991 firstRa=0x38f698 lastRa=0x38f698
[diag:stub] target=0x39feb8 count=9991 firstRa=0x3a0ab8 lastRa=0x398cc8
[diag:stub] target=0x38f668 count=9991 firstRa=0x379780 lastRa=0x379ac8
[diag:stub] target=0x3a4c90 count=9797 firstRa=0x398c98 lastRa=0x398c98
[diag:stub] target=0x379860 count=9797 firstRa=0x3996e0 lastRa=0x3996e0
[diag:stub] target=0x398a78 count=9797 firstRa=0x3988dc lastRa=0x3988dc
[diag:stub] target=0x31be50 count=9597 firstRa=0x376dd0 lastRa=0x3991d0
[diag:stub] target=0x320c48 count=9312 firstRa=0x180324 lastRa=0x180450
[diag:stub] target=0x3252e8 count=9312 firstRa=0x325578 lastRa=0x32550c
[diag:stub] target=0x325450 count=9312 firstRa=0x321158 lastRa=0x321158
[diag:stub] target=0x325250 count=9312 firstRa=0x321130 lastRa=0x321130
[diag:stub] target=0x321108 count=9312 firstRa=0x320c60 lastRa=0x320c60
[diag:stub] target=0x2abb80 count=6208 firstRa=0x2ab6d8 lastRa=0x2ab6d8
[diag:stub] target=0x397840 count=4559 firstRa=0x39ece8 lastRa=0x398894
[diag:stub] target=0x3974b0 count=3880 firstRa=0x3a0034 lastRa=0x3a0034
[diag:stub] target=0x3975e0 count=3880 firstRa=0x3a0028 lastRa=0x3a0028
[diag:stub] target=0x411c38 count=3104 firstRa=0x412520 lastRa=0x4126b8
[diag:stub] target=0x411b08 count=1552 firstRa=0x412798 lastRa=0x411fc4

# NOTE: the printer caps at 30 rows (ps2_runtime.cpp: 'i < 30u'), so for e29b
# these are the top 30 of 251 distinct targets, not the whole set.
