tick	line	dma	gif	dd	dg
120	42000	24408	701		
240	74058	50974	1419	26566	718
360	97487	76171	2100	25197	681
480	121745	102330	2807	26159	707
600	147154	129747	3548	27417	741
720	171908	156361	4268	26614	720
840	197024	183471	5000	27110	732
960	221813	210148	5721	26677	721
1080	246474	236751	6440	26603	719
1200	271785	264057	7178	27306	738
1320	296895	291067	7908	27010	730
1440	321426	317522	8623	26455	715
1560	346533	344528	9353	27006	730
1680	372032	372023	10096	27495	743
1800	397152	399034	10827	27011	731
1920	421628	425451	11540	26417	713
2040	446397	452165	12262	26714	722
2160	471281	478916	12985	26751	723
2280	496597	506222	13723	27306	738
2400	521436	532937	14446	26715	723
2520	545615	559021	15150	26084	704
2640	570320	585662	15871	26641	721
2760	594500	611672	16573	26010	702
2880	619064	638164	17289	26492	716
3000	642169	663066	17963	24902	674
3120	665422	688070	18638	25004	675
3240	688319	712756	19305	24686	667
3360	709752	735844	19929	23088	624
3480	733875	761892	20633	26048	704
3600	757995	787829	21334	25937	701
3720	781562	813232	22021	25403	687
3840	804607	838075	22692	24843	671
3960	829230	864637	23410	26562	718
4080	853309	890505	24110	25868	700
4200	876040	915035	24772	24530	662
4320	898733	939492	25433	24457	661
4440	922610	965244	26129	25752	696
4560	946217	990626	26815	25382	686
4680	969268	1015483	27487	24857	672
4800	992487	1040502	28163	25019	676
4920	1016146	1065996	28853	25494	690
5040	1039929	1091562	29543	25566	690
5160	1064318	1117869	30254	26307	711
5280	1086900	1142215	30912	24346	658
5400	1111339	1168485	31622	26270	710
5520	1134084	1193010	32285	24525	663
5640	1156958	1217658	32951	24648	666
5760	1180946	1243522	33651	25864	700
5880	1204813	1269199	34344	25677	693
6000	1227747	1293915	35012	24716	668
6120	1250673	1318631	35680	24716	668
6240	1274154	1343939	36364	25308	684
6360	1298151	1369728	37061	25789	697
6480	1321597	1394999	37744	25271	683
6600	1344512	1419679	38412	24680	668
6720	1367486	1444468	39081	24789	669
6840	1390673	1469406	39755	24938	674
6960	1414883	1495492	40461	26086	706
7080	1438310	1520762	41143	25270	682
7200	1461508	1545664	41817	24902	674
7320	1485121	1571156	42505	25492	688
7440	1508283	1596131	43180	24975	675
7560	1531584	1621254	43859	25123	679
7680	1555121	1646562	44543	25308	684
7800	1578906	1672204	45237	25642	694
7920	1602439	1697581	45922	25377	685
8040	1626385	1723301	46618	25720	696
8160	1648553	1747203	47264	23902	646
8280	1672529	1773065	47962	25862	698
8400	1695812	1798151	48640	25086	678
8520	1718854	1822978	49311	24827	671
8640	1742878	1848804	50009	25826	698
8760	1765752	1873446	50675	24642	666
8880	1789359	1898902	51363	25456	688
9000	1812604	1923877	52038	24975	675
9120	1836250	1949366	52727	25489	689
9240	1859639	1974567	53408	25201	681
9360	1882784	1999505	54082	24938	674
9480	1906671	2025183	54776	25678	694
9600	1929815	2050117	55450	24934	674
9720	1952800	2074874	56119	24757	669
9840	1976110	2099997	56798	25123	679
9960	1998942	2124528	57461	24531	663
10080	2022211	2149614	58139	25086	678
10200	2046399	2175699	58844	26085	705
10320	2069569	2200674	59519	24975	675
10440	2093081	2225945	60202	25271	683
10560	2116655	2251364	60889	25419	687
10680	2140039	2276562	61571	25198	682
10800	2163399	2301758	62251	25196	680
10920	2187546	2327732	62953	25974	702
11040	2210850	2352855	63632	25123	679
11160	2234156	2377978	64311	25123	679
11280	2257429	2402990	64987	25012	676
11400	2280999	2428405	65674	25415	687
11520	2304661	2453902	66363	25497	689
11640	2328605	2479724	67061	25822	698
11760	2351889	2504740	67737	25016	676
11880	2375199	2529863	68416	25123	679
12000	2398299	2554764	69089	24901	673
12120	2421890	2580184	69777	25420	688
12240	2445546	2605697	70466	25513	689
12360	2467286	2630208	71129	24511	663
12480	2486476	2654923	71796	24715	667
12600	2495459	2669132	72181	14209	385
12720	2497455	2669132	72181	0	0
12840	2499570	2669132	72181	0	0
12960	2501583	2669132	72181	0	0
13080	2503663	2669132	72181	0	0
13200	2505733	2669132	72181	0	0
13320	2507805	2669132	72181	0	0
13440	2509933	2669132	72181	0	0
13560	2512042	2669132	72181	0	0
13680	2513945	2669132	72181	0	0
13800	2516038	2669132	72181	0	0
13920	2518069	2669132	72181	0	0
14040	2520080	2669132	72181	0	0
14160	2522106	2669132	72181	0	0
14280	2524195	2669132	72181	0	0
14400	2526315	2669132	72181	0	0
14520	2528277	2669132	72181	0	0
14640	2530420	2669132	72181	0	0
14760	2532427	2669132	72181	0	0
14880	2534451	2669132	72181	0	0
15000	2536640	2669132	72181	0	0
15120	2538739	2669132	72181	0	0
15240	2540896	2669132	72181	0	0
15360	2542939	2669132	72181	0	0
15480	2544997	2669132	72181	0	0
15600	2547191	2669132	72181	0	0
15720	2549314	2669132	72181	0	0
15840	2551391	2669132	72181	0	0
