words scanned: 106303, relaxed hits: 1210
hit_A,refcount,refs,census?,csv_func,@A
0x1036a0,1,.rodata:0x45846c,-,sub_00103578[0x103578,0x103aa0),0x27bdffa0
0x103918,1,.rodata:0x458474,-,sub_00103578[0x103578,0x103aa0),0x27bdffb0
0x108c28,36,.rodata:0x4582a4+.rodata:0x4583c4+.rodata:0x45867c+.rodata:0x45879c+32,-,sub_00108A48[0x108a48,0x108c80),0x8c8205b8
0x108fa8,2,.rodata:0x458624+.rodata:0x45866c,-,sub_00108E88[0x108e88,0x10a960),0x27bdfc00
0x10a898,1,.rodata:0x458604,-,sub_00108E88[0x108e88,0x10a960),0x27bdffd0
0x10a8e8,1,.rodata:0x45860c,-,sub_00108E88[0x108e88,0x10a960),0x27bdffd0
0x113cb8,1,.rodata:0x4585d4,-,sub_00113C20[0x113c20,0x113e80),0x03e00008
0x113d28,1,.rodata:0x45856c,-,sub_00113C20[0x113c20,0x113e80),0x03e00008
0x113d48,1,.rodata:0x458594,-,sub_00113C20[0x113c20,0x113e80),0x27bdfff0
0x113db0,1,.rodata:0x458544,-,sub_00113C20[0x113c20,0x113e80),0x27bdffe0
0x113e18,1,.rodata:0x45850c,-,sub_00113C20[0x113c20,0x113e80),0x27bdfff0
0x113e40,1,.rodata:0x45851c,-,sub_00113C20[0x113c20,0x113e80),0x03e00008
0x113e70,1,.rodata:0x4584f4,-,sub_00113C20[0x113c20,0x113e80),0x03e00008
0x123210,36,.rodata:0x4582dc+.rodata:0x4583fc+.rodata:0x4586b4+.rodata:0x4587d4+32,-,sub_001231A8[0x1231a8,0x1235f8),0x27bdff50
0x1278d0,2,.rodata:0x458314+.rodata:0x458434,-,sub_00127848[0x127848,0x1286a0),0xc4800dfc
0x128660,1,.rodata:0x45834c,-,sub_00127848[0x127848,0x1286a0),0x27bdfff0
0x128680,1,.rodata:0x458354,-,sub_00127848[0x127848,0x1286a0),0x27bdfff0
0x1287b8,1,.rodata:0x458494,-,sub_001286A0[0x1286a0,0x128958),0x27bdffd0
0x1298e0,1,.rodata:0x4584bc,-,sub_001298C8[0x1298c8,0x129c00),0x27bdff50
0x12b7f0,1,.rodata:0x4584c4,-,sub_0012B788[0x12b788,0x12bac0),0x27bdffb0
0x12b948,1,.rodata:0x4584cc,-,sub_0012B788[0x12b788,0x12bac0),0x27bdffb0
0x1406c0,1,.rodata:0x459ce4,-,sub_001406B0[0x1406b0,0x1406c8),0x03e00008
0x1406e0,37,.rodata:0x4582bc+.rodata:0x4583dc+.rodata:0x458694+.rodata:0x4587b4+33,-,sub_001406D0[0x1406d0,0x1406f8),0x3c020050
0x1406f0,1,.rodata:0x459d04,-,sub_001406D0[0x1406d0,0x1406f8),0x03e00008
0x140bc0,36,.rodata:0x4582cc+.rodata:0x4583ec+.rodata:0x4586a4+.rodata:0x4587c4+32,CENSUS,sub_00140B80[0x140b80,0x140bc8),0x03e00008
0x144928,1,.rodata:0x45ae64,CENSUS,sub_001448D8[0x1448d8,0x144aa8),0x3c020053
0x1449e8,1,.rodata:0x45ae6c,-,sub_001448D8[0x1448d8,0x144aa8),0x3c020053
0x147fd8,1,.rodata:0x45ad74,-,sub_00147F78[0x147f78,0x148158),0x3c04004a
0x14e130,1,.rodata:0x45ada4,CENSUS,sub_0014E0E0[0x14e0e0,0x14e2c0),0x3c020053
0x14e1f8,1,.rodata:0x45adac,-,sub_0014E0E0[0x14e0e0,0x14e2c0),0x3c020053
0x14f360,1,.rodata:0x45addc,-,sub_0014F250[0x14f250,0x14f418),0x3c020053
0x14fad0,1,.rodata:0x45acec,-,sub_0014F900[0x14f900,0x14fc40),0x27bdffe0
0x153200,1,.rodata:0x45ac04,CENSUS,sub_001530E0[0x1530e0,0x1532a0),0x8f82e11c
0x153258,1,.rodata:0x45ac0c,CENSUS,sub_001530E0[0x1530e0,0x1532a0),0x8f83e11c
0x154898,1,.rodata:0x45ae1c,-,sub_001547E0[0x1547e0,0x154948),0x27bdffb0
0x1549e0,1,.rodata:0x45acb4,-,sub_001549A8[0x1549a8,0x1549e8),0x03e00008
0x155380,1,.rodata:0x45acc4,CENSUS,sub_00155328[0x155328,0x155388),0x03e00008
0x155aa0,1,.rodata:0x45ac54,-,sub_00155A50[0x155a50,0x155aa8),0x03e00008
0x1560a0,1,.rodata:0x45ac64,-,sub_00155E58[0x155e58,0x156338),0x27bdff50
0x1564b0,1,.rodata:0x45abd4,-,sub_00156390[0x156390,0x156570),0x8f82e0d0
0x156510,1,.rodata:0x45abdc,-,sub_00156390[0x156390,0x156570),0x8f83e0d0
0x1566e8,1,.rodata:0x45ac34,CENSUS,sub_001565C8[0x1565c8,0x1567b8),0x8f82e0c4
0x15bb00,1,.rodata:0x45ae94,-,sub_0015B028[0x15b028,0x15bb08),0x03e00008
0x15bcc0,1,.rodata:0x45ae04,-,sub_0015BB18[0x15bb18,0x15bcc8),0x03e00008
0x15c6c8,1,.rodata:0x45ad44,-,sub_0015C228[0x15c228,0x15c6d0),0x03e00008
0x15c7d0,1,.rodata:0x45ac84,-,sub_0015C6E0[0x15c6e0,0x15c7d8),0x03e00008
0x15ce98,1,.rodata:0x45b8f4,-,sub_0015CD80[0x15cd80,0x15cf28),0x27bdffd0
0x15cee8,1,.rodata:0x45b8fc,-,sub_0015CD80[0x15cd80,0x15cf28),0x27bdffe0
0x15cfe8,1,.rodata:0x45b8ec,-,sub_0015CF80[0x15cf80,0x15d020),0x27bdfff0
0x15dd88,1,.rodata:0x45b894,-,sub_0015DC70[0x15dc70,0x15dfd8),0x27bdffd0
