t [diag:watch] addr=0x548840 width=4 value=0x548880 pc=0x3201a8 thread=1 ra=0x319db8 sp=0x1ffff20
t [diag:watch] addr=0x587b80 width=4 value=0x587c00 pc=0x3201f0 thread=1 ra=0x319de0 sp=0x1ffff20
t53 [diag:watch] addr=0x8 width=8 value=0x0 pc=0x3e64d0 thread=3 ra=0x3de8f4 sp=0x618490
t247 [diag:cd] sceCdRead payload lbn=0x13ba33 buf=0xd48740 bytes=4d504368ac130000
t247 [diag:watch] addr=0x54878c width=4 value=0xffffffff pc=0x3aed88 thread=1 ra=0x3aed68 sp=0x1fffd80
t248 [diag:watch] addr=0x54878c width=4 value=0x2 pc=0x3aedf4 thread=1 ra=0x3aedec sp=0x1fffd80
t248 [diag:watch] addr=0x5487c8 width=4 value=0x0 pc=0x3b0748 thread=1 ra=0x3b045c sp=0x1fffdc0
t248 [diag:watch] addr=0x5487cc width=4 value=0x0 pc=0x3b0750 thread=1 ra=0x3b045c sp=0x1fffdc0
t248 [diag:watch] addr=0x5487c8 width=8 value=0x3aecb8 pc=0x3b046c thread=1 ra=0x3b045c sp=0x1fffdc0
t248 [diag:watch] addr=0x5487c8 width=8 value=0x3aed20003aecb8 pc=0x3b0478 thread=1 ra=0x3b045c sp=0x1fffdc0
t248 [diag:watch] addr=0x548808 width=4 value=0x0 pc=0x3b0728 thread=1 ra=0x3aeba4 sp=0x1fffd00
t248 [diag:watch] addr=0x548808 width=4 value=0x13ac pc=0x3aec1c thread=1 ra=0x3aeba4 sp=0x1fffd00
t248 [diag:watch] addr=0x587b18 width=4 value=0x3 pc=0x3b0954 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b1c width=4 value=0x3 pc=0x3b0960 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b18 width=4 value=0x587b18 pc=0x3b0968 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b1c width=4 value=0x587b18 pc=0x3b0970 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b18 width=4 value=0x587b18 pc=0x3b0974 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b1c width=4 value=0x587b18 pc=0x3b0978 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b20 width=4 value=0x3 pc=0x3b097c thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b24 width=4 value=0x3 pc=0x3b0980 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b20 width=4 value=0x587b20 pc=0x3b0984 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b24 width=4 value=0x587b20 pc=0x3b0988 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b20 width=4 value=0x587b20 pc=0x3b098c thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b24 width=4 value=0x587b20 pc=0x3b0990 thread=1 ra=0x3b11d8 sp=0x1fffcf0
t248 [diag:watch] addr=0x587b10 width=4 value=0x0 pc=0x3b0c98 thread=1 ra=0x3b0528 sp=0x1fffc40
t248 [diag:watch] addr=0x587b14 width=4 value=0x0 pc=0x3b0ca0 thread=1 ra=0x3b0528 sp=0x1fffc40
t248 [diag:watch] addr=0x54884c width=4 value=0x3 pc=0x3b0820 thread=1 ra=0x3b0e70 sp=0x1fffc00
t248 [diag:watch] addr=0x548848 width=4 value=0x3 pc=0x3b0828 thread=1 ra=0x3b0e70 sp=0x1fffc00
t248 [diag:watch] addr=0x548840 width=4 value=0x2 pc=0x3b0830 thread=1 ra=0x3b0e70 sp=0x1fffc00
t248 [diag:watch] addr=0x548850 width=4 value=0x0 pc=0x3b0838 thread=1 ra=0x3b0e70 sp=0x1fffc00
t248 [diag:watch] addr=0x548844 width=4 value=0x1104d70 pc=0x3b0860 thread=1 ra=0x3b0864 sp=0x1fffc00
t248 [diag:watch] addr=0x587b20 width=4 value=0x548848 pc=0x3b0e7c thread=1 ra=0x3b0e70 sp=0x1fffc40
t248 [diag:watch] addr=0x587b24 width=4 value=0x548848 pc=0x3b0e80 thread=1 ra=0x3b0e70 sp=0x1fffc40
t248 [diag:watch] addr=0x548848 width=4 value=0x587b20 pc=0x3b0e84 thread=1 ra=0x3b0e70 sp=0x1fffc40
t248 [diag:watch] addr=0x54884c width=4 value=0x587b20 pc=0x3b0e8c thread=1 ra=0x3b0e70 sp=0x1fffc40
t248 [diag:watch] addr=0x587b20 width=4 value=0x587b20 pc=0x3b10f8 thread=1 ra=0x3b0fd0 sp=0x1fffd60
t248 [diag:watch] addr=0x587b24 width=4 value=0x587b20 pc=0x3b1100 thread=1 ra=0x3b0fd0 sp=0x1fffd60
t248 [diag:watch] addr=0x54884c width=4 value=0xb pc=0x3b1108 thread=1 ra=0x3b0fd0 sp=0x1fffd60
t248 [diag:watch] addr=0x548848 width=4 value=0xb pc=0x3b1110 thread=1 ra=0x3b0fd0 sp=0x1fffd60
t248 [diag:watch] addr=0x587b18 width=4 value=0x548848 pc=0x3b111c thread=1 ra=0x3b0fd0 sp=0x1fffd60
t248 [diag:watch] addr=0x587b1c width=4 value=0x548848 pc=0x3b1120 thread=1 ra=0x3b0fd0 sp=0x1fffd60
t248 [diag:watch] addr=0x548848 width=4 value=0x587b18 pc=0x3b1124 thread=1 ra=0x3b0fd0 sp=0x1fffd60
t248 [diag:watch] addr=0x54884c width=4 value=0x587b18 pc=0x3b1128 thread=1 ra=0x3b0fd0 sp=0x1fffd60
t248 [diag:watch] addr=0x548850 width=4 value=0x1 pc=0x3b1130 thread=1 ra=0x3b0fd0 sp=0x1fffd60
t248 [diag:watch] addr=0x587b14 width=4 value=0x1 pc=0x3b0c30 thread=1 ra=0x3b0c34 sp=0x1fffcf0
