t=8.2 tick=357 busy=158761 total=1009289 pct=15.7
t=15.2 tick=525 busy=166600 total=1003704 pct=16.6
t=21.4 tick=842 busy=192435 total=1009960 pct=19.1
t=28.4 tick=946 busy=211485 total=1011181 pct=20.9
t=35.5 tick=1094 busy=306794 total=1005615 pct=30.5
t=41.7 tick=1480 busy=99578 total=1001443 pct=9.9
t=46.7 tick=1585 busy=114264 total=1007053 pct=11.3
t=52.9 tick=1631 busy=170958 total=1007202 pct=17.0
t=59.9 tick=1659 busy=186330 total=1007978 pct=18.5
t=66.1 tick=1690 busy=205846 total=1003598 pct=20.5
t=71.1 tick=1726 busy=211816 total=1009491 pct=21.0
t=77.3 tick=1800 busy=229123 total=1014319 pct=22.6
t=82.3 tick=1837 busy=217416 total=1017738 pct=21.4
t=88.5 tick=1874 busy=232923 total=1004071 pct=23.2
t=93.6 tick=1911 busy=218066 total=1015464 pct=21.5
t=99.8 tick=1948 busy=243912 total=1010710 pct=24.1
t=104.8 tick=1985 busy=232031 total=1014041 pct=22.9
t=111.0 tick=2021 busy=248228 total=1005350 pct=24.7
t=116.0 tick=2058 busy=249812 total=1004693 pct=24.9
t=122.3 tick=2136 busy=237573 total=1006998 pct=23.6
t=127.8 tick=2174 busy=225461 total=1002843 pct=22.5
t=134.0 tick=2211 busy=229627 total=1003426 pct=22.9
t=139.1 tick=2248 busy=238390 total=1004130 pct=23.7
t=145.3 tick=2289 busy=227736 total=1007185 pct=22.6
t=150.3 tick=2330 busy=267474 total=1000932 pct=26.7
t=156.6 tick=2413 busy=232336 total=1008463 pct=23.0
t=161.6 tick=2454 busy=235339 total=1003259 pct=23.5
t=167.8 tick=2496 busy=220736 total=1016244 pct=21.7
t=172.8 tick=2538 busy=222480 total=1001638 pct=22.2
t=179.0 tick=2581 busy=225330 total=1005452 pct=22.4
t=184.0 tick=2623 busy=226525 total=1006219 pct=22.5
t=190.3 tick=2666 busy=216254 total=1001450 pct=21.6
t=195.3 tick=2709 busy=224531 total=1006545 pct=22.3
t=201.5 tick=2794 busy=216131 total=1003689 pct=21.5
t=206.6 tick=2837 busy=250432 total=1004109 pct=24.9
t=212.8 tick=2879 busy=265074 total=1015866 pct=26.1
t=217.8 tick=2921 busy=240463 total=1015732 pct=23.7
t=224.0 tick=2964 busy=238475 total=1013290 pct=23.5
t=229.4 tick=3006 busy=239160 total=1010285 pct=23.7
t=235.6 tick=3048 busy=246571 total=1002581 pct=24.6
t=240.7 tick=3090 busy=241798 total=1010695 pct=23.9
t=246.9 tick=3175 busy=229859 total=1012274 pct=22.7
t=252.0 tick=3218 busy=228408 total=1015099 pct=22.5
t=258.2 tick=3260 busy=248018 total=1007850 pct=24.6
t=263.3 tick=3303 busy=233819 total=1011776 pct=23.1
t=269.4 tick=3345 busy=232440 total=1014203 pct=22.9
t=274.5 tick=3388 busy=235715 total=1005930 pct=23.4
t=280.7 tick=3430 busy=220398 total=1015488 pct=21.7
t=285.7 tick=3473 busy=217937 total=1003088 pct=21.7
t=291.9 tick=3558 busy=221137 total=1007279 pct=22.0
t=297.0 tick=3600 busy=222362 total=1005362 pct=22.1
t=303.2 tick=3643 busy=226950 total=1000599 pct=22.7
t=308.2 tick=3685 busy=235070 total=1002492 pct=23.4
t=314.4 tick=3727 busy=231200 total=1002222 pct=23.1
t=319.5 tick=3770 busy=249498 total=1008428 pct=24.7
t=325.7 tick=3812 busy=242098 total=1000676 pct=24.2
t=330.7 tick=3855 busy=225834 total=1000249 pct=22.6
t=336.9 tick=3939 busy=245235 total=1011127 pct=24.3
t=342.0 tick=3981 busy=232246 total=1007450 pct=23.1
t=348.2 tick=4024 busy=229468 total=1005616 pct=22.8
t=353.6 tick=4066 busy=225108 total=1004866 pct=22.4
t=359.8 tick=4109 busy=245121 total=1003138 pct=24.4
t=364.9 tick=4151 busy=247760 total=1010758 pct=24.5
t=371.1 tick=4192 busy=224704 total=1003797 pct=22.4
t=376.1 tick=4236 busy=227201 total=1007647 pct=22.5
t=382.3 tick=4325 busy=214289 total=1005460 pct=21.3
t=387.4 tick=4369 busy=226316 total=1004531 pct=22.5
t=393.6 tick=4419 busy=227813 total=1004012 pct=22.7
t=398.6 tick=4472 busy=232272 total=1003771 pct=23.1
