t=8.8 tick=220 busy=178886 total=1000959 pct=17.9
t=14.0 tick=378 busy=171172 total=1010005 pct=16.9
t=20.8 tick=741 busy=298530 total=1001574 pct=29.8
t=25.8 tick=876 busy=241395 total=1006434 pct=24.0
t=32.3 tick=998 busy=318535 total=1020423 pct=31.2
t=37.5 tick=1227 busy=330518 total=1006432 pct=32.8
t=43.9 tick=1455 busy=149869 total=1004962 pct=14.9
t=48.9 tick=1574 busy=194136 total=1006676 pct=19.3
t=55.6 tick=1672 busy=229818 total=1005671 pct=22.9
t=60.7 tick=1715 busy=238424 total=1008509 pct=23.6
t=66.9 tick=1762 busy=265052 total=1004648 pct=26.4
t=72.2 tick=1808 busy=269207 total=1003273 pct=26.8
t=78.6 tick=1854 busy=262394 total=1002952 pct=26.2
t=83.9 tick=1900 busy=286527 total=1010974 pct=28.3
t=90.3 tick=1946 busy=283567 total=1002486 pct=28.3
t=95.4 tick=2037 busy=286692 total=1005448 pct=28.5
t=101.8 tick=2084 busy=280906 total=1008555 pct=27.9
t=107.0 tick=2131 busy=282003 total=1015679 pct=27.8
t=113.7 tick=2178 busy=271858 total=1013771 pct=26.8
t=118.9 tick=2225 busy=285725 total=1015690 pct=28.1
t=125.6 tick=2321 busy=271300 total=1001202 pct=27.1
t=130.7 tick=2370 busy=296152 total=1012947 pct=29.2
t=137.0 tick=2418 busy=281881 total=1001672 pct=28.1
