t=8.5 tick=275 busy=261162 total=1001281 pct=26.1
t=13.5 tick=601 busy=321212 total=1000710 pct=32.1
t=19.9 tick=868 busy=535509 total=1006015 pct=53.2
t=27.0 tick=1455 busy=220212 total=1000822 pct=22.0
t=33.5 tick=1621 busy=192556 total=1006167 pct=19.1
t=38.9 tick=1671 busy=193095 total=1000756 pct=19.3
t=45.2 tick=1720 busy=209596 total=1000824 pct=20.9
t=50.5 tick=1813 busy=235851 total=1000693 pct=23.6
t=57.0 tick=1864 busy=235990 total=1000676 pct=23.6
t=64.0 tick=1916 busy=322780 total=1001167 pct=32.2
t=71.1 tick=2046 busy=319844 total=1002258 pct=31.9
t=77.9 tick=2115 busy=305299 total=1001223 pct=30.5
t=83.1 tick=2184 busy=315722 total=1017448 pct=31.0
t=89.7 tick=2253 busy=320067 total=1000805 pct=32.0
t=94.9 tick=2326 busy=366317 total=1017734 pct=36.0
t=101.2 tick=2474 busy=328938 total=1001086 pct=32.9
t=106.7 tick=2550 busy=321168 total=1001186 pct=32.1
t=113.1 tick=2625 busy=321379 total=1000991 pct=32.1
t=118.7 tick=2701 busy=300833 total=1000979 pct=30.1
t=125.1 tick=2777 busy=366793 total=1006067 pct=36.5
t=130.5 tick=2926 busy=342689 total=1001115 pct=34.2
t=136.8 tick=3002 busy=311181 total=1001362 pct=31.1
t=142.4 tick=3080 busy=324948 total=1014106 pct=32.0
t=148.8 tick=3156 busy=311045 total=1001207 pct=31.1
t=154.0 tick=3233 busy=357229 total=1001648 pct=35.7
t=160.4 tick=3384 busy=328414 total=1012725 pct=32.4
t=165.6 tick=3459 busy=318163 total=1001345 pct=31.8
t=172.3 tick=3535 busy=328497 total=1001136 pct=32.8
t=177.7 tick=3612 busy=315378 total=1000949 pct=31.5
t=184.0 tick=3687 busy=351425 total=1013703 pct=34.7
t=189.4 tick=3762 busy=313605 total=1001159 pct=31.3
t=195.7 tick=3915 busy=327674 total=1012375 pct=32.4
t=201.0 tick=3992 busy=320992 total=1001138 pct=32.1
t=207.3 tick=4068 busy=341170 total=1012321 pct=33.7
t=212.9 tick=4143 busy=341839 total=1001061 pct=34.1
t=219.4 tick=4225 busy=347946 total=1009854 pct=34.5
t=224.7 tick=4314 busy=321993 total=1009340 pct=31.9
t=231.1 tick=4506 busy=362312 total=1009943 pct=35.9
