t=8.4 tick=270 busy=638025 total=1005133 pct=63.5
t=13.4 tick=599 busy=753782 total=1012801 pct=74.4
t=19.8 tick=852 busy=766991 total=1003470 pct=76.4
t=25.2 tick=1085 busy=745202 total=1011091 pct=73.7
t=31.5 tick=1606 busy=133823 total=1025249 pct=13.1
t=36.6 tick=1645 busy=364965 total=1020665 pct=35.8
t=43.1 tick=1692 busy=386889 total=1051537 pct=36.8
t=48.2 tick=1736 busy=398280 total=1002461 pct=39.7
t=54.4 tick=1779 busy=446553 total=1000612 pct=44.6
t=59.5 tick=1822 busy=441394 total=1006236 pct=43.9
t=65.9 tick=1914 busy=578641 total=1010138 pct=57.3
t=71.4 tick=1961 busy=611820 total=1006513 pct=60.8
t=77.7 tick=2007 busy=496562 total=1000335 pct=49.6
t=83.3 tick=2057 busy=538442 total=1012932 pct=53.2
t=90.2 tick=2108 busy=480423 total=1000722 pct=48.0
t=95.4 tick=2159 busy=511201 total=1008924 pct=50.7
t=101.6 tick=2255 busy=519034 total=1020641 pct=50.9
t=107.1 tick=2306 busy=599912 total=1004518 pct=59.7
t=113.5 tick=2355 busy=549920 total=1002178 pct=54.9
t=118.8 tick=2405 busy=536959 total=1008213 pct=53.3
t=125.5 tick=2511 busy=534427 total=1009387 pct=52.9
t=130.9 tick=2567 busy=541777 total=1018658 pct=53.2
t=137.3 tick=2624 busy=553802 total=1004208 pct=55.1
t=142.5 tick=2678 busy=609296 total=1010553 pct=60.3
t=149.1 tick=2728 busy=511645 total=1000512 pct=51.1
t=154.4 tick=2782 busy=521843 total=1005695 pct=51.9
t=160.6 tick=2893 busy=503561 total=1002493 pct=50.2
t=165.9 tick=2948 busy=522508 total=1020258 pct=51.2
t=172.5 tick=3007 busy=513332 total=1006473 pct=51.0
t=178.1 tick=3064 busy=526233 total=1001719 pct=52.5
t=184.5 tick=3117 busy=614104 total=1005591 pct=61.1
t=189.5 tick=3168 busy=486889 total=1020404 pct=47.7
t=196.1 tick=3278 busy=526199 total=1007374 pct=52.2
t=201.3 tick=3334 busy=522626 total=1004080 pct=52.1
t=207.7 tick=3390 busy=553015 total=1018296 pct=54.3
t=213.2 tick=3446 busy=521476 total=1005942 pct=51.8
t=219.6 tick=3501 busy=630734 total=1000232 pct=63.1
t=225.1 tick=3554 busy=627801 total=1006056 pct=62.4
t=231.5 tick=3659 busy=521972 total=1000282 pct=52.2
t=236.8 tick=3715 busy=522362 total=1004875 pct=52.0
t=243.5 tick=3715 busy=516992 total=1011473 pct=51.1
t=248.8 tick=3829 busy=505742 total=1003133 pct=50.4
t=255.5 tick=3886 busy=514937 total=1001372 pct=51.4
t=260.7 tick=3996 busy=600083 total=1002864 pct=59.8
t=267.5 tick=4047 busy=532485 total=1004079 pct=53.0
t=273.1 tick=4103 busy=515115 total=1015307 pct=50.7
t=279.5 tick=4158 busy=541563 total=1015420 pct=53.3
t=284.6 tick=4214 busy=554081 total=1015883 pct=54.5
t=290.9 tick=4337 busy=482322 total=1010257 pct=47.7
t=296.2 tick=4395 busy=482682 total=1013410 pct=47.6
t=302.6 tick=4459 busy=565774 total=1014647 pct=55.8
