t=8.5 tick=300 busy=266704 total=1013329 pct=26.3
t=13.7 tick=600 busy=413825 total=1001091 pct=41.3
t=20.1 tick=901 busy=412682 total=1008388 pct=40.9
t=25.3 tick=1467 busy=346378 total=1003497 pct=34.5
t=31.9 tick=1647 busy=393535 total=1040045 pct=37.8
t=37.1 tick=1742 busy=420023 total=1028159 pct=40.9
t=43.6 tick=1831 busy=428929 total=1002175 pct=42.8
t=48.9 tick=1922 busy=436401 total=1002914 pct=43.5
t=55.3 tick=2104 busy=483040 total=1005723 pct=48.0
t=61.0 tick=2199 busy=460540 total=1020464 pct=45.1
t=67.3 tick=2294 busy=561978 total=1008914 pct=55.7
t=72.5 tick=2396 busy=540936 total=1003265 pct=53.9
t=79.4 tick=2508 busy=532223 total=1011537 pct=52.6
t=84.9 tick=2626 busy=489705 total=1000009 pct=49.0
t=91.4 tick=2858 busy=527157 total=1005475 pct=52.4
t=96.7 tick=2971 busy=512214 total=1015438 pct=50.4
t=103.7 tick=3090 busy=516640 total=1010061 pct=51.1
t=109.2 tick=3214 busy=538681 total=1002314 pct=53.7
t=115.8 tick=3443 busy=509131 total=1000972 pct=50.9
t=121.1 tick=3561 busy=513295 total=1004322 pct=51.1
t=127.8 tick=3677 busy=525168 total=1007715 pct=52.1
t=133.5 tick=3786 busy=510609 total=1001193 pct=51.0
t=141.2 tick=4028 busy=517738 total=1012403 pct=51.1
t=146.3 tick=4145 busy=541273 total=1006782 pct=53.8
t=151.7 tick=4273 busy=544869 total=1007979 pct=54.1
t=158.1 tick=4411 busy=648742 total=1000499 pct=64.8
t=163.5 tick=4587 busy=531447 total=1002567 pct=53.0
