t=8.7 tick=259 busy=257969 total=1000824 pct=25.8
t=15.9 tick=907 busy=591652 total=1013637 pct=58.4
t=22.2 tick=1207 busy=428087 total=1001002 pct=42.8
t=27.3 tick=1477 busy=227888 total=1001668 pct=22.8
t=33.7 tick=1637 busy=283236 total=1026631 pct=27.6
t=38.9 tick=1707 busy=283136 total=1000606 pct=28.3
t=45.2 tick=1772 busy=304341 total=1010120 pct=30.1
t=50.6 tick=1901 busy=325389 total=1000779 pct=32.5
t=57.0 tick=1966 busy=302634 total=1011428 pct=29.9
t=62.0 tick=2029 busy=331289 total=1016527 pct=32.6
t=69.3 tick=2103 busy=370643 total=1000753 pct=37.0
t=74.9 tick=2181 busy=485777 total=1006118 pct=48.3
t=81.3 tick=2329 busy=374156 total=1009789 pct=37.1
t=86.8 tick=2406 busy=348210 total=1000479 pct=34.8
t=93.3 tick=2482 busy=369996 total=1001336 pct=37.0
t=98.9 tick=2566 busy=360244 total=1001426 pct=36.0
t=105.2 tick=2650 busy=371097 total=1018854 pct=36.4
t=110.6 tick=2819 busy=362988 total=1009182 pct=36.0
t=117.0 tick=2900 busy=372308 total=1002324 pct=37.1
t=122.3 tick=2984 busy=360364 total=1001871 pct=36.0
t=129.3 tick=3068 busy=368644 total=1009518 pct=36.5
t=134.7 tick=3154 busy=351455 total=1003369 pct=35.0
t=141.0 tick=3321 busy=399011 total=1019410 pct=39.1
t=146.5 tick=3405 busy=370141 total=1001351 pct=37.0
t=152.9 tick=3489 busy=363130 total=1002224 pct=36.2
t=158.4 tick=3575 busy=347715 total=1002238 pct=34.7
t=165.0 tick=3659 busy=389383 total=1023431 pct=38.0
t=170.0 tick=3740 busy=387428 total=1009879 pct=38.4
t=176.3 tick=3910 busy=372080 total=1009691 pct=36.9
t=181.8 tick=3996 busy=353095 total=1017946 pct=34.7
t=188.7 tick=4079 busy=389311 total=1019627 pct=38.2
t=193.9 tick=4161 busy=448152 total=1004936 pct=44.6
t=200.3 tick=4347 busy=457309 total=1002763 pct=45.6
t=205.9 tick=4444 busy=361152 total=1012025 pct=35.7
t=212.1 tick=4549 busy=378469 total=1001276 pct=37.8
