t=8.4 tick=300 busy=278556 total=1004811 pct=27.7
t=13.5 tick=600 busy=413476 total=1002991 pct=41.2
t=19.8 tick=889 busy=416220 total=1002495 pct=41.5
t=24.8 tick=1201 busy=416316 total=1006927 pct=41.3
t=31.4 tick=1641 busy=275356 total=1001985 pct=27.5
t=36.5 tick=1711 busy=286918 total=1017414 pct=28.2
t=42.8 tick=1774 busy=327577 total=1001817 pct=32.7
t=48.0 tick=1838 busy=317763 total=1000120 pct=31.8
t=54.5 tick=1903 busy=313856 total=1039759 pct=30.2
t=59.6 tick=1965 busy=317852 total=1004596 pct=31.6
t=65.9 tick=2094 busy=577849 total=1009782 pct=57.2
t=71.4 tick=2164 busy=522370 total=1012744 pct=51.6
t=78.5 tick=2237 busy=370926 total=1013271 pct=36.6
t=83.8 tick=2311 busy=391281 total=1008556 pct=38.8
t=90.2 tick=2387 busy=372193 total=1012004 pct=36.8
t=95.4 tick=2548 busy=374093 total=1001004 pct=37.4
t=102.1 tick=2631 busy=368506 total=1004487 pct=36.7
t=107.3 tick=2716 busy=353133 total=1001197 pct=35.3
t=113.7 tick=2801 busy=365247 total=1016092 pct=35.9
t=118.8 tick=2882 busy=398846 total=1008190 pct=39.6
t=125.5 tick=3049 busy=375512 total=1000807 pct=37.5
t=131.2 tick=3136 busy=365211 total=1008540 pct=36.2
t=138.6 tick=3221 busy=382869 total=1003156 pct=38.2
t=144.9 tick=3303 busy=373333 total=1009803 pct=37.0
t=150.6 tick=3473 busy=361720 total=1001236 pct=36.1
t=156.9 tick=3557 busy=372691 total=1017207 pct=36.6
t=162.2 tick=3643 busy=383559 total=1017782 pct=37.7
t=168.7 tick=3725 busy=366785 total=1009981 pct=36.3
t=174.3 tick=3808 busy=364982 total=1009289 pct=36.2
t=180.8 tick=3979 busy=349592 total=1007581 pct=34.7
t=186.0 tick=4064 busy=363669 total=1006182 pct=36.1
t=193.2 tick=4147 busy=427851 total=1007815 pct=42.5
t=198.5 tick=4237 busy=377612 total=1017306 pct=37.1
t=205.2 tick=4334 busy=377217 total=1001361 pct=37.7
t=210.5 tick=4533 busy=390588 total=1007788 pct=38.8
