t=8.3 tick=300 busy=258019 total=1000817 pct=25.8
t=15.2 tick=901 busy=589321 total=1007191 pct=58.5
t=21.5 tick=1201 busy=426279 total=1009539 pct=42.2
t=26.7 tick=1501 busy=348163 total=1005629 pct=34.6
t=33.3 tick=1650 busy=394627 total=1000752 pct=39.4
t=40.3 tick=1847 busy=460141 total=1010417 pct=45.5
t=47.4 tick=1946 busy=468523 total=1009279 pct=46.4
t=54.1 tick=2042 busy=535659 total=1006675 pct=53.2
t=59.8 tick=2144 busy=464621 total=1011210 pct=45.9
t=66.3 tick=2342 busy=566331 total=1013653 pct=55.9
t=71.9 tick=2452 busy=529135 total=1002728 pct=52.8
t=79.4 tick=2570 busy=533907 total=1006357 pct=53.1
t=85.9 tick=2814 busy=563930 total=1014832 pct=55.6
t=91.4 tick=2927 busy=531757 total=1011898 pct=52.6
t=98.6 tick=3046 busy=542855 total=1013252 pct=53.6
t=104.0 tick=3171 busy=532900 total=1019855 pct=52.3
t=110.8 tick=3408 busy=536749 total=1008681 pct=53.2
t=116.3 tick=3531 busy=521020 total=1002513 pct=52.0
t=122.8 tick=3653 busy=540390 total=1000070 pct=54.0
t=128.3 tick=3768 busy=525666 total=1017935 pct=51.6
t=136.1 tick=4013 busy=532163 total=1003299 pct=53.0
t=143.2 tick=4134 busy=602158 total=1010889 pct=59.6
t=148.5 tick=4261 busy=526269 total=1005046 pct=52.4
t=155.2 tick=4397 busy=636156 total=1016101 pct=62.6
