t=8.3 tick=300 busy=261844 total=1003282 pct=26.1
t=13.3 tick=600 busy=451398 total=1003569 pct=45.0
t=19.9 tick=901 busy=410322 total=1002974 pct=40.9
t=25.0 tick=1201 busy=425104 total=1006910 pct=42.2
t=31.3 tick=1657 busy=546484 total=1001694 pct=54.6
t=36.6 tick=1777 busy=486428 total=1010079 pct=48.2
t=43.0 tick=1883 busy=503541 total=1015012 pct=49.6
t=48.2 tick=1983 busy=508833 total=1012447 pct=50.3
t=54.5 tick=2082 busy=503203 total=1004233 pct=50.1
t=60.6 tick=2298 busy=556573 total=1013149 pct=54.9
t=67.0 tick=2424 busy=636069 total=1016602 pct=62.6
t=72.3 tick=2558 busy=580060 total=1001107 pct=57.9
t=79.0 tick=2693 busy=590021 total=1009290 pct=58.5
t=84.2 tick=2826 busy=562290 total=1015420 pct=55.4
t=90.9 tick=3079 busy=596951 total=1019424 pct=58.6
t=96.9 tick=3216 busy=613982 total=1003402 pct=61.2
t=104.3 tick=3338 busy=604358 total=1012280 pct=59.7
t=111.0 tick=3603 busy=597738 total=1004425 pct=59.5
t=118.0 tick=3729 busy=588424 total=1001356 pct=58.8
t=124.5 tick=3855 busy=563506 total=1002183 pct=56.2
t=130.0 tick=3989 busy=595537 total=1016984 pct=58.6
t=137.8 tick=4250 busy=583003 total=1008387 pct=57.8
t=144.5 tick=4396 busy=726754 total=1000101 pct=72.7
