t=8.6 tick=300 busy=262069 total=1013516 pct=25.9
t=13.7 tick=600 busy=410732 total=1006737 pct=40.8
t=20.2 tick=1200 busy=432115 total=1001840 pct=43.1
t=25.3 tick=1500 busy=356678 total=1000862 pct=35.6
t=31.6 tick=1658 busy=550016 total=1001217 pct=54.9
t=36.8 tick=1779 busy=492976 total=1004449 pct=49.1
t=43.1 tick=1887 busy=514306 total=1007768 pct=51.0
t=48.3 tick=1988 busy=524381 total=1005217 pct=52.2
t=54.6 tick=2090 busy=530594 total=1005829 pct=52.8
t=60.5 tick=2317 busy=652125 total=1010735 pct=64.5
t=66.9 tick=2442 busy=591225 total=1014886 pct=58.3
t=72.2 tick=2579 busy=590524 total=1000033 pct=59.1
t=78.5 tick=2715 busy=610513 total=1013544 pct=60.2
t=84.0 tick=2845 busy=638958 total=1010999 pct=63.2
t=90.4 tick=3101 busy=561368 total=1001991 pct=56.0
t=96.2 tick=3234 busy=595734 total=1011586 pct=58.9
t=103.5 tick=3353 busy=603190 total=1014308 pct=59.5
t=109.9 tick=3487 busy=589040 total=1015157 pct=58.0
t=115.3 tick=3618 busy=562817 total=1005239 pct=56.0
t=121.7 tick=3871 busy=567608 total=1007209 pct=56.4
t=127.0 tick=4004 busy=561586 total=1014150 pct=55.4
t=134.1 tick=4134 busy=614526 total=1007275 pct=61.0
t=139.4 tick=4269 busy=683745 total=1003076 pct=68.2
t=145.8 tick=4604 busy=626917 total=1001812 pct=62.6
