window ticks 1950->2556 (606 frames) wall 20.69 s = 34.14 ms/frame, 29.29 vs/s
tid comm cpu run_ms_per_frame wait_ms_per_frame blocked_ms_per_frame cpu_ms_per_frame(proc) slices util_pct
29660 GsWorker 0 32.02 1.59 0.53 32.03 2722 93.8
29667 MTVU 7 32.02 0.46 1.66 32.03 6366 93.8
29662 GsWorker 4 31.52 2.17 0.45 31.53 2933 92.3
29661 GsWorker 1 31.31 2.36 0.47 31.30 3023 91.7
29657 GameThread 6 13.23 0.21 20.70 13.22 2060 38.8
29635 GsWorker 5 9.75 5.26 19.13 9.75 413167 28.6
29653 AAudio_1 4 0.12 0.00 34.02 0.12 2070 0.3
29633 com.ps2x.runner 3 0.07 0.03 34.04 0.07 1902 0.2
29659 PGS-Waiter 4 0.05 0.09 34.00 0.05 2749 0.1
29626 binder:29615_2 5 0.03 0.04 34.07 0.03 861 0.1
29647 binder:29615_4 5 0.02 0.02 34.09 0.03 582 0.1
29634 com.ps2x.runner 5 0.00 0.00 34.14 0.00 39 0.0
29624 FinalizerWatchd 4 0.00 0.00 34.14 0.00 1 0.0
29621 HeapTaskDaemon 2 0.00 0.00 34.14 0.00 1 0.0
29615 com.ps2x.runner 6 0.00 0.00 34.14 0.00 0 0.0
29617 Signal Catcher 5 0.00 0.00 34.14 0.00 0 0.0
29618 perfetto_hprof_ 6 0.00 0.00 34.14 0.00 0 0.0
29619 ADB-JDWP Connec 1 0.00 0.00 34.14 0.00 0 0.0
29620 Jit thread pool 0 0.00 0.00 34.14 0.00 0 0.0
29622 ReferenceQueueD 3 0.00 0.00 34.14 0.00 0 0.0
29623 FinalizerDaemon 2 0.00 0.00 34.14 0.00 0 0.0
29625 binder:29615_1 1 0.00 0.00 34.14 0.00 0 0.0
29629 binder:29615_3 0 0.00 0.00 34.14 0.00 0 0.0
29631 RenderThread 1 0.00 0.00 34.14 0.00 0 0.0
29637 VsyncReceiver 2 0.00 0.00 34.14 0.00 0 0.0
29638 SurfaceSyncGrou 5 0.00 0.00 34.14 0.00 0 0.0
29639 InsetsAnimation 5 0.00 0.00 34.14 0.00 0 0.0
29646 com.ps2x.runner 1 0.00 0.00 34.14 0.00 0 0.0
29658 com.ps:traceq0 1 0.00 0.00 34.14 0.00 0 0.0
29664 binder:29615_4 5 0.00 0.00 34.14 0.00 0 0.0
29665 InteractionJank 5 0.00 0.00 34.14 0.00 0 0.0
