A: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3a-1.log)
B: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
matched ticks: 123 (gate 26, extra 97)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
|---|---|---|---|---|---|---|---|
| 100 | 3949391b/3949391b | 618977f1/3d2c63b8 | fd889dc5/fd889dc5 | 547/547 | 391/392 | 512x448/512x448 | OK |
| 150 | 2ebbd68f/2ebbd68f | 3242e903/cfdb944a | 23dabe7c/23dabe7c | 1284/1284 | 691/692 | 512x448/512x448 | OK |
| 200 | 2ebbd68f/2ebbd68f | 45e21e5d/5daf4114 | 23dabe7c/23dabe7c | 2134/2134 | 991/992 | 512x448/512x448 | OK |
| 250 | 1b376ee1/1b376ee1 | 169b8f6f/2e68b226 | fd889dc5/fd889dc5 | 3514/3514 | 1286/1287 | 512x448/512x448 | OK |
| 300 | e3d89538/e3d89538 | c6364d9e/d87f8e0b | de9eef2c/de9eef2c | 10475/10475 | 1586/1587 | 512x448/512x448 | OK |
| 350 | 1b4e76e8/1b4e76e8 | 96efbeb0/6b2ebe9d | 1a3e002b/1a3e002b | 16575/16575 | 1886/1887 | 512x448/512x448 | OK |
| 400 | 16c7245f/16c7245f | 1b0c63ea/f9026b67 | 9665c306/9665c306 | 22675/22675 | 2186/2187 | 512x448/512x448 | OK |
| 450 | a02266d1/a02266d1 | acaf53c/aab6bc39 | b67a893f/b67a893f | 28775/28775 | 2486/2487 | 512x448/512x448 | OK |
| 500 | d881c4e9/d881c4e9 | b7a3c246/578f8943 | f7d0f59f/f7d0f59f | 34875/34875 | 2786/2787 | 512x448/512x448 | OK |
| 550 | 47219e37/47219e37 | bd9dce9/a4cc50c4 | fd53a593/fd53a593 | 40975/40975 | 3086/3087 | 512x448/512x448 | OK |
| 600 | 420fe543/420fe543 | 7fb93997/945595ba | a6c2e872/a6c2e872 | 47120/47120 | 3386/3387 | 512x448/512x448 | OK |
| 650 | 81699264/81699264 | f0328355/c54f2e20 | 69536bd0/69536bd0 | 53272/53272 | 3686/3687 | 512x448/512x448 | OK |
| 700 | 2c5496fd/2c5496fd | 1c5097f3/f2e2b396 | f4aa138c/f4aa138c | 60003/60003 | 3986/3987 | 512x448/512x448 | OK |
| 750 | ad27c72a/ad27c72a | 8cc9e1b1/23dc4bfc | 8b65404c/8b65404c | 66453/66453 | 4286/4287 | 512x448/512x448 | OK |
