A: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
B: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3d-1.log)
matched ticks: 123 (gate 26, extra 97)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
|---|---|---|---|---|---|---|---|
| 100 | 3949391b/dc2e1eaa | 3d2c63b8/3d2c63b8 | fd889dc5/fd889dc5 | 547/536 | 392/387 | 512x448/512x448 | MISMATCH |
| 150 | 2ebbd68f/4be23470 | cfdb944a/cfdb944a | 23dabe7c/e2d6fd01 | 1284/1267 | 692/687 | 512x448/512x448 | MISMATCH |
| 200 | 2ebbd68f/4be23470 | 5daf4114/5daf4114 | 23dabe7c/e2d6fd01 | 2134/2117 | 992/987 | 512x448/512x448 | MISMATCH |
| 250 | 1b376ee1/3e32ea91 | 2e68b226/2e68b226 | fd889dc5/fd889dc5 | 3514/3505 | 1287/1282 | 512x448/512x448 | MISMATCH |
| 300 | e3d89538/fa560c26 | d87f8e0b/d87f8e0b | de9eef2c/b6fd683 | 10475/10353 | 1587/1582 | 512x448/512x448 | MISMATCH |
| 350 | 1b4e76e8/f0bc882f | 6b2ebe9d/6b2ebe9d | 1a3e002b/11e95d4c | 16575/16453 | 1887/1882 | 512x448/512x448 | MISMATCH |
| 400 | 16c7245f/46139150 | f9026b67/f9026b67 | 9665c306/da0ea775 | 22675/22553 | 2187/2182 | 512x448/512x448 | MISMATCH |
| 450 | a02266d1/95a709ff | aab6bc39/aab6bc39 | b67a893f/7c643600 | 28775/28653 | 2487/2482 | 512x448/512x448 | MISMATCH |
| 500 | d881c4e9/27b41cfe | 578f8943/578f8943 | f7d0f59f/1688c1af | 34875/34753 | 2787/2782 | 512x448/512x448 | MISMATCH |
| 550 | 47219e37/aa3de828 | a4cc50c4/a4cc50c4 | fd53a593/628df46 | 40975/40853 | 3087/3082 | 512x448/512x448 | MISMATCH |
| 600 | 420fe543/260ae9b5 | 945595ba/945595ba | a6c2e872/df0931be | 47120/46997 | 3387/3382 | 512x448/512x448 | MISMATCH |
| 650 | 81699264/1edf8e | c54f2e20/c54f2e20 | 69536bd0/6a4f685c | 53272/53149 | 3687/3682 | 512x448/512x448 | MISMATCH |
| 700 | 2c5496fd/5499341d | f2e2b396/f2e2b396 | f4aa138c/5bcb5b88 | 60003/59880 | 3987/3982 | 512x448/512x448 | MISMATCH |
| 750 | ad27c72a/3bb0ab64 | 23dc4bfc/23dc4bfc | 8b65404c/35856f69 | 66453/66330 | 4287/4282 | 512x448/512x448 | MISMATCH |
| 800 | 8e83e824/a30aa9b8 | 4eade04d/4eade04d | 9e5b3322/5c6c7679 | 72903/72780 | 4587/4582 | 512x448/512x448 | MISMATCH |
| 850 | d511caea/6b36296 | 60a25873/60a25873 | a9a3e11a/f9a53cbb | 79353/79230 | 4887/4882 | 512x448/512x448 | MISMATCH |
| 900 | f8aabf8c/38beb071 | 6f30bda9/6f30bda9 | b99c9767/c5c4ff53 | 85803/85680 | 5187/5182 | 512x448/512x448 | MISMATCH |
| 950 | 138a6c6e/1f163d6c | bf2f764f/bf2f764f | 6681d3db/7a2b0fe3 | 92253/92130 | 5487/5482 | 512x448/512x448 | MISMATCH |
| 1000 | 638c713f/f119b19b | cdbddb85/cdbddb85 | bbf91f4b/546b7fb6 | 98703/98580 | 5787/5782 | 512x448/512x448 | MISMATCH |
| 1050 | 76ce209a/d851cb00 | 7cb03b32/7cb03b32 | bfc1865b/7b5a45de | 105153/105030 | 6087/6082 | 512x448/512x448 | MISMATCH |
| 1100 | 14657f20/8a4aec38 | a83e7fc/a83e7fc | f224ee36/da57c29 | 111603/111480 | 6387/6382 | 512x448/512x448 | MISMATCH |
| 1150 | dd2df8df/75ecc7f | d9c7e836/d9c7e836 | 344edc34/9b4bf018 | 118053/117930 | 6687/6682 | 512x448/512x448 | MISMATCH |
| 1200 | 3c30f6a8/698a3e4d | 679b9500/679b9500 | 7a0d8dd/23e67543 | 124503/124380 | 6987/6982 | 512x448/512x448 | MISMATCH |
| 1250 | 7906d62d/61e66853 | 1ac556aa/1ac556aa | f92b80ec/bb117eea | 131327/131204 | 7282/7277 | 512x448/512x448 | MISMATCH |
| 1300 | ac2609c6/f643c378 | a5d7124f/a5d7124f | d29d5b0b/8c71c5fc | 152776/152653 | 7567/7562 | 512x448/512x448 | MISMATCH |
| 1350 | 1bdab019/81aa06e | 5615f249/5615f249 | 3d4f3af2/d470d07f | 182026/181903 | 7867/7862 | 512x448/512x448 | MISMATCH |
| 1400 | a87c7ad2/f333a718 | 2eebf53/2eebf53 | 819f2270/fbc0802e | 208713/208590 | 8167/8162 | 512x448/512x448 | MISMATCH (extra) |
| 1450 | 18be276f/bda70191 | b61880fd/b61880fd | 38b07365/bf98763 | 219225/219102 | 8467/8462 | 512x448/512x448 | MISMATCH (extra) |
| 1500 | 82a72981/7daad08e | 24e70d87/24e70d87 | b70880b/caccf972 | 225380/225257 | 8752/8747 | 512x448/512x448 | MISMATCH (extra) |
| 1550 | 9ccff54c/1a686e8d | 70ae6430/70ae6430 | 525c84f8/ccc3b455 | 231830/231707 | 9052/9047 | 512x448/512x448 | MISMATCH (extra) |
| 1600 | a9712d41/cf97d0b1 | 7f3cc966/7f3cc966 | d76fa6c4/42f355b6 | 238280/238157 | 9352/9347 | 512x448/512x448 | MISMATCH (extra) |
| 1650 | 3e7871cb/846f694a | d0b0f2e4/d0b0f2e4 | 3cfbff85/e8d954b4 | 244730/244607 | 9652/9647 | 512x448/512x448 | MISMATCH (extra) |
| 1700 | 503a03c9/dc025fd | df3f581a/df3f581a | 2110cc0c/bc9420a9 | 251180/251057 | 9952/9947 | 512x448/512x448 | MISMATCH (extra) |
