tick,live_vram,direct_vram,live_priv,direct_priv,live_present,direct_present,queue1_match,queue2_match,live_sub,capture_packets,live_priv_count,capture_priv_count,priv_event_minus_live_call_count,all_match
100,237fbbda,237fbbda,3d2c63b8,3d2c63b8,fd889dc5,fd889dc5,1,1,549,549,392,394,2,1
150,f75887ab,f75887ab,cfdb944a,cfdb944a,712439e1,712439e1,1,1,1290,1290,692,694,2,1
200,f75887ab,f75887ab,5daf4114,5daf4114,712439e1,712439e1,1,1,2140,2140,992,994,2,1
250,f016ee4c,f016ee4c,2e68b226,2e68b226,fd889dc5,fd889dc5,1,1,3514,3514,1287,1289,2,1
300,2c94268d,2c94268d,d87f8e0b,d87f8e0b,282ce22d,282ce22d,1,1,10472,10472,1587,1589,2,1
350,104ccb98,104ccb98,6b2ebe9d,6b2ebe9d,a9768733,a9768733,1,1,16572,16572,1887,1889,2,1
400,80ff95ef,80ff95ef,f9026b67,f9026b67,32e4d99d,32e4d99d,1,1,22672,22672,2187,2189,2,1
450,508130fd,508130fd,aab6bc39,aab6bc39,fd7cd061,fd7cd061,1,1,28772,28772,2487,2489,2,1
500,9d9e17fb,9d9e17fb,578f8943,578f8943,2b5ab05a,2b5ab05a,1,1,34872,34872,2787,2789,2,1
550,dd1fc6a3,dd1fc6a3,a4cc50c4,a4cc50c4,6495cd56,6495cd56,1,1,40972,40972,3087,3089,2,1
600,7310ac99,7310ac99,945595ba,945595ba,0a6948f2,0a6948f2,1,1,47117,47117,3387,3389,2,1
650,67c39043,67c39043,c54f2e20,c54f2e20,7e526dbd,7e526dbd,1,1,53269,53269,3687,3689,2,1
700,43a7135a,43a7135a,f2e2b396,f2e2b396,97b4641e,97b4641e,1,1,59904,59904,3987,3989,2,1
750,106376ab,106376ab,23dc4bfc,23dc4bfc,feccd20d,feccd20d,1,1,66354,66354,4287,4289,2,1
800,cde9a96f,cde9a96f,4eade04d,4eade04d,a7907cf1,a7907cf1,1,1,75557,75557,4567,4569,2,1
850,5a8b008d,5a8b008d,60a25873,60a25873,69bffc4a,69bffc4a,1,1,104203,104203,4867,4869,2,1
900,a7a2a08b,a7a2a08b,6f30bda9,6f30bda9,06e14995,06e14995,1,1,128410,128410,5167,5169,2,1
950,978caec5,978caec5,bf2f764f,bf2f764f,f96b53f0,f96b53f0,1,1,144266,144266,5467,5469,2,1
1000,8ce5f5ca,8ce5f5ca,cdbddb85,cdbddb85,aa8880e5,aa8880e5,1,1,167899,167899,5767,5769,2,1
1050,face48b0,face48b0,7cb03b32,7cb03b32,fa6c1764,fa6c1764,1,1,173994,173994,6052,6054,2,1
1100,229d0c68,229d0c68,0a83e7fc,0a83e7fc,7055ce6e,7055ce6e,1,1,180444,180444,6352,6354,2,1
1150,68ce25a7,68ce25a7,d9c7e836,d9c7e836,0c7f9ef1,0c7f9ef1,1,1,187115,187115,6647,6649,2,1
1200,fe310ab0,fe310ab0,679b9500,679b9500,8eb80d72,8eb80d72,1,1,194293,194293,6947,6949,2,1
1250,af876551,af876551,1ac556aa,1ac556aa,9c5400a8,9c5400a8,1,1,201543,201543,7247,7249,2,1
1300,0d85b473,0d85b473,a5d7124f,a5d7124f,38270e64,38270e64,1,1,208793,208793,7547,7549,2,1
1350,1eb9cfe8,1eb9cfe8,5615f249,5615f249,2e3341f8,2e3341f8,1,1,216126,216126,7847,7849,2,1
1400,78b8084b,78b8084b,02eebf53,02eebf53,7f23c9af,7f23c9af,1,1,222771,222771,8147,8149,2,1
1450,95839db1,95839db1,b61880fd,b61880fd,c33e8a06,c33e8a06,1,1,229185,229185,8447,8449,2,1
1500,09d769fc,09d769fc,24e70d87,24e70d87,1c6a9288,1c6a9288,1,1,237797,237797,8742,8744,2,1
1550,b637c991,b637c991,70ae6430,70ae6430,b9adf897,b9adf897,1,1,247877,247877,9042,9044,2,1
1600,f6ea80d7,f6ea80d7,7f3cc966,7f3cc966,fd889dc5,fd889dc5,1,1,255114,255114,9282,9284,2,1
1650,e95522c9,e95522c9,d0b0f2e4,d0b0f2e4,b1c92cee,b1c92cee,1,1,316789,316789,9507,9509,2,1
1700,e4954eda,e4954eda,df3f581a,df3f581a,2addb825,2addb825,1,1,385189,385189,9757,9759,2,1
1750,0f137396,0f137396,efbe5f68,efbe5f68,4a8fb189,4a8fb189,1,1,452979,452979,10007,10009,2,1
1800,c8008092,c8008092,1a8ff3b9,1a8ff3b9,12387e72,12387e72,1,1,517843,517843,10257,10259,2,1
1850,10e89182,10e89182,6c041d37,6c041d37,aa61e2fd,aa61e2fd,1,1,585234,585234,10502,10504,2,1
1900,86ce3efa,86ce3efa,7a92826d,7a92826d,77656e3d,77656e3d,1,1,652767,652767,10752,10754,2,1
1950,a90c7b2c,a90c7b2c,8b1189bb,8b1189bb,bb9d0053,bb9d0053,1,1,721220,721220,11002,11004,2,1
2000,ba272d29,ba272d29,999feef1,999feef1,90591b91,90591b91,1,1,786819,786819,11252,11254,2,1
2050,241e7637,241e7637,6621fe06,6621fe06,f97b5a6f,f97b5a6f,1,1,850625,850625,11502,11504,2,1
2100,427718b7,427718b7,12facb10,12facb10,e9746356,e9746356,1,1,917198,917198,11747,11749,2,1
2150,0793d45b,0793d45b,c4af1be2,c4af1be2,8e41fd92,8e41fd92,1,1,980405,980405,11997,11999,2,1
2200,c91f5c6e,c91f5c6e,337da86c,337da86c,5140238b,5140238b,1,1,1046349,1046349,12247,12249,2,1
2250,e25b92c9,e25b92c9,e81cdaee,e81cdaee,9b9bbff1,9b9bbff1,1,1,1110548,1110548,12497,12499,2,1
2300,eaf05fea,eaf05fea,94f5a7f8,94f5a7f8,193859a3,193859a3,1,1,1169697,1169697,12742,12744,2,1
2350,86576901,86576901,62ed27e5,62ed27e5,471f45d3,471f45d3,1,1,1228304,1228304,12992,12994,2,1
2400,be5c2b80,be5c2b80,f0c0d4af,f0c0d4af,afdb9c15,afdb9c15,1,1,1287930,1287930,13242,13244,2,1
2450,d6c0fe69,d6c0fe69,80852391,80852391,0d9d9b2c,0d9d9b2c,1,1,1346895,1346895,13492,13494,2,1
2500,c0432ca9,c0432ca9,0e58d05b,0e58d05b,9ebbddb4,9ebbddb4,1,1,1403580,1403580,13742,13744,2,1
2550,630ab3aa,630ab3aa,df12416d,df12416d,5079f672,5079f672,1,1,1465857,1465857,13992,13994,2,1
2600,ca55c20c,ca55c20c,89291d52,89291d52,ce33d424,ce33d424,1,1,1522739,1522739,14242,14244,2,1
2650,03219f27,03219f27,9e087728,9e087728,d54188ac,d54188ac,1,1,1581509,1581509,14497,14499,2,1
2700,4e9f5e1e,4e9f5e1e,ac96dc5e,ac96dc5e,25f12667,25f12667,1,1,1638816,1638816,14747,14749,2,1
2750,0df9a246,0df9a246,fc959504,fc959504,02af0c20,02af0c20,1,1,1697358,1697358,15002,15004,2,1
2800,89aba2be,89aba2be,0b23fa3a,0b23fa3a,3dac5ff7,3dac5ff7,1,1,1753801,1753801,15252,15254,2,1
2850,6f6571a5,6f6571a5,5575e00b,5575e00b,c338ab80,c338ab80,1,1,1811362,1811362,15507,15509,2,1
2900,24aba6f9,24aba6f9,44ff2501,44ff2501,aedf6750,aedf6750,1,1,1867755,1867755,15757,15759,2,1
2950,55b8a440,55b8a440,75f8bd67,75f8bd67,81fe7c41,81fe7c41,1,1,1924273,1924273,16012,16014,2,1
3000,3ed0b123,3ed0b123,a38c42dd,a38c42dd,86a4f61f,86a4f61f,1,1,1982063,1982063,16262,16264,2,1
