tick,live_vram,nearest_vram,path1_rtz_vram,all_rtz_vram,nearest_match,path1_rtz_match,all_rtz_match
1,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
2,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
3,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
4,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
5,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
6,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
7,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
8,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
9,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
10,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
11,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
12,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
13,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
14,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
15,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
16,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
17,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
18,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
19,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
20,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
21,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
22,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
23,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
24,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
25,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
26,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
27,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
28,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
29,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
30,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
31,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
32,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
33,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
34,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
35,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
36,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
37,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
38,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
39,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
40,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
41,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
42,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
43,ce1c9dc5,ce1c9dc5,ce1c9dc5,ce1c9dc5,1,1,1
44,d5ed42e7,d5ed42e7,d5ed42e7,d5ed42e7,1,1,1
45,3c6df95c,3c6df95c,3c6df95c,3c6df95c,1,1,1
46,c5fb130a,c5fb130a,c5fb130a,c5fb130a,1,1,1
47,6f99a4c9,6f99a4c9,6f99a4c9,6f99a4c9,1,1,1
48,70a986af,70a986af,70a986af,0b432d2e,1,1,0
49,b8fcc73e,b8fcc73e,b8fcc73e,1c954429,1,1,0
50,9e26cd6a,9e26cd6a,9e26cd6a,2d361e38,1,1,0
51,ca1aad8a,ca1aad8a,ca1aad8a,ce3a7d99,1,1,0
52,fcf95c8f,fcf95c8f,fcf95c8f,df4f2145,1,1,0
53,e81a567c,e81a567c,e81a567c,030700d6,1,1,0
54,6fd6bc75,6fd6bc75,6fd6bc75,9c014254,1,1,0
55,c27244b1,c27244b1,c27244b1,edf4fb0f,1,1,0
56,0f236836,0f236836,0f236836,302b837d,1,1,0
57,03fe604d,03fe604d,03fe604d,89d1b26f,1,1,0
58,27c40964,27c40964,27c40964,696f4546,1,1,0
59,774a7632,774a7632,774a7632,6580b19e,1,1,0
60,c014b397,c014b397,c014b397,7957d8e8,1,1,0
