tick,packet_index,path,gif_bytes,gif_fnv32,upper_before,upper_after,upper_changed,lower_before,lower_after,lower_changed
902,128702,3,1696,cc6dd8df,ecf3e93c,35bd96b7,8500,ca77b54e,978cdd54,5400
903,128848,3,1696,cc6dd8df,35bd96b7,cc796369,8500,978cdd54,a9e712f1,5400
904,128994,3,1696,cc6dd8df,cc796369,1a7f40b9,8500,a9e712f1,3277cf03,5400
905,129105,3,1696,cc6dd8df,1a7f40b9,a4326a77,8500,3277cf03,9cb9639d,5400
913,130009,3,1696,cc6dd8df,a4326a77,abbe2ab9,1378,9cb9639d,9cb9639d,0
914,130122,3,1696,cc6dd8df,abbe2ab9,ca791572,1402,9cb9639d,9cb9639d,0
915,130235,3,1696,cc6dd8df,ca791572,1418b92b,1390,9cb9639d,9cb9639d,0
916,130348,3,1696,cc6dd8df,1418b92b,515e3c07,1404,9cb9639d,9cb9639d,0
917,130461,3,1696,cc6dd8df,515e3c07,f7e94b14,1392,9cb9639d,9cb9639d,0
918,130574,3,1696,cc6dd8df,f7e94b14,c69f551c,1391,9cb9639d,9cb9639d,0
919,130687,3,1696,cc6dd8df,c69f551c,526fdb4b,1401,9cb9639d,9cb9639d,0
920,130800,3,1696,cc6dd8df,526fdb4b,f0642646,1406,9cb9639d,9cb9639d,0
922,131358,3,1696,cc6dd8df,f0642646,091f6f23,7634,9cb9639d,826dbd16,4125
923,131819,3,1696,cc6dd8df,091f6f23,1d75d1be,6114,826dbd16,9cb9639d,4125
