tick	packet_index	path	rect	crop	texture_state	source_fingerprint	classification	reason
40	1	3	(319,0)-(350,445)	upper=2635;lower=660	prim=sprite,tme=1,exact;frame=fbp=112,fbw=8,psm=1;tex0=tbp0=0,tbw=8,psm=0,tw=10,th=9,tcc=0,tfx=0,cbp=0,cpsm=0,csm=0,csa=0;clamp=clamp=0x5;test=test=0x30000;alpha=alpha=0x8000000064;uv=uv0=(320,0);uv1=(352,447);stq0=(0,0,1);stq1=(0,0,1)	texel4=69691905	overlap-candidate	first display-buffer column blit touching both crops; full-height resample, not a glyph producer
43	15	3	(351,0)-(382,445)	upper=2720;lower=1920	prim=sprite,tme=1,exact;frame=fbp=112,fbw=8,psm=1;tex0=tbp0=0,tbw=8,psm=0,tw=10,th=9,tcc=0,tfx=0,cbp=0,cpsm=0,csm=0,csa=0;clamp=clamp=0x5;test=test=0x30000;alpha=alpha=0x8000000064;uv=uv0=(352,0);uv1=(384,447);stq0=(1,1,1);stq1=(1,1,1)	texel4=babad785	overlap-candidate	repeat display column blit with different source texels; resample, not a glyph producer
247	2858	1	(416,383)-(432,447)	upper=0;lower=518	prim=triangle,tme=1,bbox;frame=fbp=0,fbw=8,psm=0;tex0=tbp0=13257,tbw=1,psm=0,tw=4,th=6,tcc=1,tfx=0,cbp=0,cpsm=0,csm=0,csa=0;clamp=clamp=0x0;test=test=0x5100d;alpha=alpha=0x44;uv=uv0=(512,447);uv1=(512,447);stq0=(1,0,1);stq1=(0,1,1)	texel4=69691905	overlap-candidate	first small textured batch touching lower crop; off-screen column triangle, constant vertex-texel fp
247	2866	1	(416,0)-(432,256)	upper=340;lower=0	prim=triangle,tme=1,bbox;frame=fbp=0,fbw=8,psm=0;tex0=tbp0=13449,tbw=1,psm=0,tw=4,th=8,tcc=1,tfx=0,cbp=0,cpsm=0,csm=0,csa=0;clamp=clamp=0x0;test=test=0x5100d;alpha=alpha=0x44;uv=uv0=(512,447);uv1=(512,447);stq0=(1,0,1);stq1=(0,1,1)	texel4=69691905	overlap-candidate	first small textured batch touching upper crop; off-screen column triangle, constant vertex-texel fp
256	5151	1	(55,20)-(465,345)	upper=8500;lower=0	prim=triangle,tme=1,bbox;frame=fbp=0,fbw=8,psm=0;tex0=tbp0=5760,tbw=8,psm=27,tw=9,th=9,tcc=1,tfx=0,cbp=10764,cpsm=0,csm=0,csa=0;clamp=clamp=0x5;test=test=0x31143;alpha=alpha=0x44;uv=uv0=(512,447);uv1=(512,447);stq0=(0.99707,0.00292969,1);stq1=(0.000976562,0.678711,1)	texel4=c3fc27a6	full-crop-overwrite	upper full-cover textured composite to off-screen buffer; composite candidate, not a proved glyph producer
256	5145	1	(252,202)-(511,447)	upper=300;lower=5400	prim=triangle,tme=1,bbox;frame=fbp=0,fbw=8,psm=0;tex0=tbp0=4736,tbw=4,psm=27,tw=8,th=8,tcc=1,tfx=0,cbp=10760,cpsm=0,csm=0,csa=0;clamp=clamp=0x5;test=test=0x31143;alpha=alpha=0x44;uv=uv0=(512,447);uv1=(512,447);stq0=(0.998047,0.0761719,1);stq1=(0.00585938,0.923828,1)	texel4=af10936f	full-crop-overwrite	lower full-cover textured composite to off-screen buffer; composite candidate, not a proved glyph producer
600	47176	2	(343,378)-(350,387)	upper=0;lower=80	prim=sprite,tme=1,exact;frame=fbp=0,fbw=8,psm=0;tex0=tbp0=11017,tbw=8,psm=20,tw=9,th=8,tcc=1,tfx=0,cbp=11016,cpsm=0,csm=0,csa=0;clamp=clamp=0x5;test=test=0x31143;alpha=alpha=0x44;uv=uv0=(512,447);uv1=(512,447);stq0=(0.546875,0.0664062,1);stq1=(0.583984,0.144531,1)	texel4=e856e77a	overlap-candidate	glyph-sized T4-atlas sprite to off-screen buffer; glyph-composition candidate, needs pixel-trace proof
600	47176	2	(352,381)-(358,387)	upper=0;lower=49	prim=sprite,tme=1,exact;frame=fbp=0,fbw=8,psm=0;tex0=tbp0=11017,tbw=8,psm=20,tw=9,th=8,tcc=1,tfx=0,cbp=11016,cpsm=0,csm=0,csa=0;clamp=clamp=0x5;test=test=0x31143;alpha=alpha=0x44;uv=uv0=(512,447);uv1=(512,447);stq0=(0.957031,0.00390625,1);stq1=(0.990234,0.0625,1)	texel4=67fec805	overlap-candidate	glyph-sized T4-atlas sprite to off-screen buffer; glyph-composition candidate, needs pixel-trace proof
600	47176	2	(382,381)-(390,387)	upper=0;lower=63	prim=sprite,tme=1,exact;frame=fbp=0,fbw=8,psm=0;tex0=tbp0=11017,tbw=8,psm=20,tw=9,th=8,tcc=1,tfx=0,cbp=11016,cpsm=0,csm=0,csa=0;clamp=clamp=0x5;test=test=0x31143;alpha=alpha=0x44;uv=uv0=(512,447);uv1=(512,447);stq0=(0.734375,0.00390625,1);stq1=(0.771484,0.0625,1)	texel4=3d26b932	overlap-candidate	glyph-sized T4-atlas sprite to off-screen buffer; glyph-composition candidate, needs pixel-trace proof
600	47176	2	(401,378)-(407,387)	upper=0;lower=70	prim=sprite,tme=1,exact;frame=fbp=0,fbw=8,psm=0;tex0=tbp0=11017,tbw=8,psm=20,tw=9,th=8,tcc=1,tfx=0,cbp=11016,cpsm=0,csm=0,csa=0;clamp=clamp=0x5;test=test=0x31143;alpha=alpha=0x44;uv=uv0=(512,447);uv1=(512,447);stq0=(0.941406,0.148438,1);stq1=(0.974609,0.226562,1)	texel4=e7ff9185	overlap-candidate	glyph-sized T4-atlas sprite to off-screen buffer; glyph-composition candidate, needs pixel-trace proof
