tick	packet	path	batch	cand	kind	dst_xy	dst_addr	old	new	src_uv	taps	tap_state	blend	state	test	classification
600	47176	2	0	-	batch-c1	-	-	-	-	-	-	-	-	rect=(95,378)-(102,386) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	1	-	batch-c1	-	-	-	-	-	-	-	-	rect=(104,377)-(104,377) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	2	-	batch-c1	-	-	-	-	-	-	-	-	rect=(107,378)-(115,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	3	-	batch-c1	-	-	-	-	-	-	-	-	rect=(117,378)-(125,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	4	-	batch-c1	-	-	-	-	-	-	-	-	rect=(127,378)-(135,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	5	-	batch-c1	-	-	-	-	-	-	-	-	rect=(137,378)-(145,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	6	-	batch-c1	-	-	-	-	-	-	-	-	rect=(146,377)-(146,377) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	7	-	batch-c1	-	-	-	-	-	-	-	-	rect=(150,378)-(157,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	8	-	batch-c1	-	-	-	-	-	-	-	-	rect=(159,378)-(160,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	9	-	batch-c1	-	-	-	-	-	-	-	-	rect=(162,381)-(169,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
