check	pass	detail
capture_sha	PASS	a6f75fb34fce
paths_lines	PASS	1982063
paths_5470	PASS	'5470 3'
tap_header	PASS	18cols
tap_parse	PASS	17batch+1pixel
one_pixel_row	PASS	n=1
pix_tick	PASS	259
pix_packet	PASS	5470
pix_path	PASS	3
pix_batch	PASS	10
pix_xy	PASS	(342,377)
pix_dstaddr	PASS	0019ae38
batch10_row	PASS	n=1
batch10_state	PASS	fst=1 tme=1 abe=0 frame=fbp112,fbw8,psm1,fbmsk=0xff000000 te
taps_quad	PASS	pre=(343,378);(344,378);(343,379);(344,3
tap0_addr	PASS	000bae74
tap0_word_rgb	PASS	63353341
taps13_words	PASS	66302e3d,8004051d,8004051d
texel_rgb	PASS	texel=63353341 fx=0.0000 fy=0.0000
interp_uv	PASS	interpF=(343.500,378.500) quantF
dst_old_raw	PASS	dc302f3b
dst_new_raw	PASS	dc353341
dst_logical_masked	PASS	00302f3b>00353341
write_class	PASS	accepted-write-changed
pix_state	PASS	state-ok
uncapped	PASS	GB7C7_SUMMARY rows=18 bytes=7368 capped=0
replay_complete	PASS	pass=556 fail=0 markers=350
frame_hash_equal	PASS	on=7 off=60 common=7 mm=0
ppm_equal	PASS	259:eq 300:eq 301:eq
on_binaries_equal	PASS	build2rows=7 build5rows=7
RESULT A reason=all-match
