generated VU1 code 21.62 ms/frame; inside innermost loops (>=0.05 ms) 17.14 (79%)
| image | loop | body pairs | ms/frame | share | FMAC upper | LQ/SQ | DIV | CLIP | FTOI | flag ops | branches |
|---|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| a5645 | 0628-0718 | 31 | 2.97 | 13.7% | 24 | 13 | 1 | 1 | 2 | 1 | 1 |
| f5873 | 2a10-2a50 | 9 | 2.21 | 10.2% | 6 | 6 | 1 | 0 | 1 | 0 | 1 |
| a5645 | 0448-07b8 | 111 | 1.58 | 7.3% | 72 | 39 | 3 | 3 | 6 | 4 | 2 |
| f5873 | 0a58-0af0 | 20 | 1.18 | 5.4% | 16 | 2 | 0 | 0 | 1 | 0 | 1 |
| ad77d | 14b0-1560 | 23 | 1.02 | 4.7% | 16 | 10 | 2 | 2 | 2 | 2 | 3 |
| f5873 | 2950-2b00 | 55 | 0.64 | 3.0% | 24 | 24 | 4 | 0 | 4 | 0 | 3 |
| a5645 | 09b0-0aa0 | 31 | 0.54 | 2.5% | 24 | 6 | 1 | 1 | 2 | 1 | 1 |
| f5873 | 30d8-3130 | 12 | 0.50 | 2.3% | 8 | 4 | 1 | 1 | 1 | 1 | 2 |
| ad77d | 13f8-1570 | 48 | 0.44 | 2.0% | 32 | 20 | 4 | 4 | 4 | 2 | 4 |
| f5873 | 2ea0-2ef8 | 12 | 0.38 | 1.8% | 8 | 6 | 1 | 1 | 1 | 1 | 2 |
| a5645 | 0d20-1130 | 131 | 0.34 | 1.6% | 69 | 43 | 10 | 0 | 13 | 0 | 7 |
| a5645 | 0158-0218 | 25 | 0.31 | 1.4% | 25 | 14 | 0 | 0 | 0 | 0 | 1 |
| b3bda | 27c8-2878 | 23 | 0.29 | 1.3% | 16 | 8 | 2 | 2 | 2 | 2 | 3 |
| b3bda | 2360-2428 | 26 | 0.27 | 1.2% | 20 | 3 | 0 | 0 | 0 | 0 | 1 |
| f5873 | 1450-14b0 | 13 | 0.24 | 1.1% | 8 | 6 | 1 | 1 | 1 | 1 | 2 |
