[ios-env] launcher kept PS2X_SOUND
[ios-env] launcher kept PS2X_VSYNC_RATE_LOG
[snd-output] stream rate=36000 channels=2 bits=16
[ios-render] screen=640x448 render=1920x1344
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[padscript] armed n=31 source=env clock=vsync
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
[ios-render] screen=874x402 render=2622x1206
