# K1 liveness: wall=240s progress=1000000lines poll=15s
t=15s alive log=5083437B trace_lines=33411 trace=2016518B
t=30s alive log=12698357B trace_lines=84058 trace=5036228B
t=45s alive log=19029275B trace_lines=139413 trace=8341301B
t=60s alive log=25413546B trace_lines=195040 trace=11675052B
t=75s alive log=31058106B trace_lines=244397 trace=14619305B
t=91s alive log=36666418B trace_lines=293274 trace=17542264B
t=106s alive log=42268400B trace_lines=341977 trace=20463145B
t=121s alive log=47876811B trace_lines=390966 trace=23385921B
t=136s alive log=53513312B trace_lines=440056 trace=26321556B
t=151s alive log=59183695B trace_lines=489191 trace=29269873B
t=166s alive log=64789308B trace_lines=538048 trace=32181066B
t=181s alive log=70453188B trace_lines=587231 trace=35124169B
t=196s alive log=76063473B trace_lines=636005 trace=38046295B
t=211s alive log=81670670B trace_lines=684971 trace=40970404B
t=227s alive log=87293719B trace_lines=733852 trace=43900773B
t=242s alive log=92918735B trace_lines=783005 trace=46834268B
SIGTERM el=242s rc=0 BOUND=wall
