t=8.2 tick=197 busy=133132 total=1003975 pct=13.3
t=15.0 tick=343 busy=164994 total=1011383 pct=16.3
t=21.2 tick=672 busy=239671 total=1010193 pct=23.7
t=28.0 tick=819 busy=152500 total=1004572 pct=15.2
t=34.9 tick=875 busy=166646 total=1015093 pct=16.4
t=41.0 tick=1100 busy=295076 total=1006787 pct=29.3
t=47.9 tick=1281 busy=238003 total=1008948 pct=23.6
t=54.1 tick=1461 busy=138202 total=1001059 pct=13.8
t=60.9 tick=1627 busy=120131 total=1015105 pct=11.8
t=67.8 tick=1658 busy=144538 total=1005393 pct=14.4
t=73.9 tick=1689 busy=148977 total=1019388 pct=14.6
t=80.9 tick=1760 busy=159407 total=1014614 pct=15.7
t=87.0 tick=1796 busy=158310 total=1000815 pct=15.8
t=93.9 tick=1834 busy=152530 total=1001876 pct=15.2
t=100.9 tick=1910 busy=167528 total=1007986 pct=16.6
t=107.0 tick=1949 busy=168145 total=1009839 pct=16.7
t=113.9 tick=1988 busy=167543 total=1007783 pct=16.6
t=120.1 tick=2025 busy=171066 total=1020713 pct=16.8
t=127.0 tick=2103 busy=169375 total=1010054 pct=16.8
t=134.2 tick=2140 busy=166394 total=1002004 pct=16.6
t=140.4 tick=2179 busy=145195 total=1011870 pct=14.3
t=147.3 tick=2253 busy=154263 total=1012925 pct=15.2
t=153.4 tick=2289 busy=155214 total=1005451 pct=15.4
t=160.4 tick=2327 busy=138577 total=1007795 pct=13.8
t=167.3 tick=2387 busy=104984 total=1003542 pct=10.5
