Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 148317
Event count: 126658118938

Children  Self    Symbol
87.49%    0.00%   __pthread_start(void*)
87.49%    0.00%   __start_thread
84.60%    0.00%   EeScheduler::run()
84.60%    0.00%   void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, PS2Runtime::run()::$_0>>(void*)
77.83%    7.34%   VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
73.92%    0.00%   sub_00382760_0x382760(unsigned char*, R5900Context*, PS2Runtime*)
73.84%    0.00%   PS2Runtime::Store32(unsigned char*, R5900Context*, unsigned int, unsigned int)
73.82%    0.03%   PS2Memory::writeIORegister(unsigned int, unsigned int)
73.66%    0.00%   PS2Memory::processPendingTransfers()
73.63%    0.30%   PS2Memory::processVIF1Data(unsigned char const*, unsigned int)
72.86%    0.00%   std::__ndk1::__function::__func<PS2Runtime::syncCoreSubsystems()::$_3, std::__ndk1::allocator<PS2Runtime::syncCoreSubsystems()::$_3>, void (unsigned int, unsigned int, unsigned int)>::operator()(unsigned int&&, unsigned int&&, unsigned int&&)
25.00%    24.96%  VU1Interpreter::commitReadyPipelines()
17.94%    3.80%   VU1Interpreter::execUpper(unsigned int)
13.06%    0.00%   [kernel.kallsyms][+ffffffe760a11586]
12.88%    0.00%   [kernel.kallsyms][+ffffffe761a7d85e]
12.76%    12.73%  VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const
10.18%    0.00%   [kernel.kallsyms][+ffffffe761a7d8ea]
10.17%    0.00%   [kernel.kallsyms][+ffffffe760a3aece]
10.17%    0.00%   [kernel.kallsyms][+ffffffe760a3af86]
10.17%    0.00%   [kernel.kallsyms][+ffffffe760a3b042]
9.39%     0.00%   ioctl
9.38%     0.00%   __ioctl
8.04%     0.12%   PS2Runtime::dispatchGuestBranch(unsigned char*, R5900Context*, unsigned int, unsigned int, unsigned int, PS2Runtime::GuestBranchKind, char const*)
7.18%     0.00%   [kernel.kallsyms][+ffffffe760e13696]
7.11%     0.00%   [kernel.kallsyms][+ffffffe76084c36a]
7.11%     0.00%   [kernel.kallsyms][+ffffffe76084c2da]
6.82%     0.00%   libvulkan_freedreno.so[+a3a6cc]
6.81%     0.00%   [kernel.kallsyms][+ffffffe76083fcf2]
6.76%     0.00%   [kernel.kallsyms][+ffffffe76083f5ee]
6.76%     0.00%   [kernel.kallsyms][+ffffffe760856326]
6.44%     0.04%   PS2Runtime::executeVU0Microprogram(unsigned char*, R5900Context*, unsigned int)
5.37%     0.00%   [kernel.kallsyms][+ffffffe760857eaa]
4.99%     4.98%   @plt
4.68%     0.04%   sub_0022ADD8_0x22add8(unsigned char*, R5900Context*, PS2Runtime*)
4.57%     0.00%   [kernel.kallsyms][+ffffffe760d2ecf6]
4.54%     1.12%   VU1Interpreter::progressXgkick()
4.30%     1.66%   VU1Interpreter::normalizeFmacResult(float*, unsigned char, unsigned char*)
4.30%     0.28%   VU1Interpreter::applyFmacDestAcc(float*, unsigned char)
3.58%     3.58%   [kernel.kallsyms][+ffffffe761a8e810]
3.52%     0.00%   PS2Memory::submitGifPacket(GifPathId, unsigned char const*, unsigned int, bool, bool)
3.47%     3.46%   VU1Interpreter::normalizeOperand(float) const
3.46%     0.01%   GifArbiter::drain()
3.36%     0.02%   syscall
3.25%     0.02%   GsWorker::enqueue(GsCommand)
3.24%     3.23%   VU1Interpreter::markPairWrites(VU1Interpreter::DecodedInstructionPair const&)
3.20%     0.25%   VU1Interpreter::applyFmacDest(float*, float*, unsigned char)
3.16%     0.01%   pthread_cond_signal
3.14%     0.01%   std::__ndk1::condition_variable::notify_one()
3.06%     0.00%   GS::noteGifPath(GifPathId)
2.81%     0.00%   [kernel.kallsyms][+ffffffe760bca446]
2.68%     0.00%   [kernel.kallsyms][+ffffffe760bca252]
2.59%     0.02%   GsWorker::threadMain()
2.59%     0.00%   void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, void (GsWorker::*)(), GsWorker*>>(void*)
2.59%     0.03%   sub_0022A830_0x22a830(unsigned char*, R5900Context*, PS2Runtime*)
2.58%     2.02%   VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
2.48%     0.00%   [kernel.kallsyms][+ffffffe760bcd2be]
2.47%     0.00%   [kernel.kallsyms][+ffffffe760b09cb6]
2.45%     2.44%   VU1Interpreter::calculateFmacExactResult(unsigned int, double&) const
2.36%     0.14%   GS::processGIFPacket(unsigned char const*, unsigned int)
2.34%     0.00%   PS2Runtime::run()
2.34%     0.00%   main
2.34%     0.00%   libvulkan_freedreno.so[+a3b0fc]
2.25%     0.01%   sub_0022A408_0x22a408(unsigned char*, R5900Context*, PS2Runtime*)
2.22%     0.01%   sub_0022A128_0x22a128(unsigned char*, R5900Context*, PS2Runtime*)
2.19%     0.01%   GS::executeQueuedCommand(GsCommand&)
2.18%     0.00%   [kernel.kallsyms][+ffffffe760dfb456]
2.18%     0.00%   [kernel.kallsyms][+ffffffe760e1943a]
2.18%     0.00%   [kernel.kallsyms][+ffffffe760e19622]
2.18%     0.00%   [kernel.kallsyms][+ffffffe761a7d916]
2.18%     0.00%   [kernel.kallsyms][+ffffffe760a2e3f2]
2.18%     0.00%   [kernel.kallsyms][+ffffffe760af8146]
2.18%     0.00%   [kernel.kallsyms][+ffffffe760dfb2c2]
2.18%     0.00%   [kernel.kallsyms][+ffffffe760e19d26]
2.18%     0.00%   [kernel.kallsyms][+ffffffe760e1d04a]
2.18%     0.00%   [kernel.kallsyms][+ffffffe760e20b2a]
2.17%     0.00%   [kernel.kallsyms][+ffffffe760e23c72]
2.17%     0.00%   [kernel.kallsyms][+ffffffe760d315fa]
2.03%     0.00%   EndDrawing
1.95%     1.91%   __memset_aarch64_nt
1.76%     1.00%   clock_gettime
1.76%     0.00%   [kernel.kallsyms][+ffffffe760d2c77e]
1.57%     0.07%   WaitTime
1.55%     1.31%   VU1Interpreter::getDecodedInstructionPairForPc(unsigned char const*, unsigned int, PS2Memory*, unsigned int)
1.50%     1.50%   VU1Interpreter::calculateFmacProductSticky(unsigned char) const
1.48%     0.00%   [kernel.kallsyms][+ffffffe760d2ff4a]
1.39%     0.00%   [kernel.kallsyms][+ffffffe761704d6e]
1.36%     0.08%   VU1Interpreter::resetScheduler()
1.33%     1.33%   [kernel.kallsyms][+ffffffe761a8e860]
1.22%     0.02%   sub_003E2768_0x3e2768(unsigned char*, R5900Context*, PS2Runtime*)
1.13%     0.00%   [kernel.kallsyms][+ffffffe7608580a2]
1.13%     1.13%   VU1Interpreter::updateFmacFlags(unsigned char const*, unsigned char, unsigned int)
1.06%     0.00%   sub_003DDFA8_0x3ddfa8(unsigned char*, R5900Context*, PS2Runtime*)
