Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 148317
Event count: 126658118938

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Shared Object
24.96%    VU1Interpreter::commitReadyPipelines()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
12.73%    VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
7.34%     VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
4.95%     @plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
3.80%     VU1Interpreter::execUpper(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
3.58%     [kernel.kallsyms][+ffffffe761a8e810]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
3.46%     VU1Interpreter::normalizeOperand(float) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
3.23%     VU1Interpreter::markPairWrites(VU1Interpreter::DecodedInstructionPair const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.44%     VU1Interpreter::calculateFmacExactResult(unsigned int, double&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.02%     VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.91%     __memset_aarch64_nt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   /apex/com.android.runtime/lib64/bionic/libc.so
1.66%     VU1Interpreter::normalizeFmacResult(float*, unsigned char, unsigned char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.50%     VU1Interpreter::calculateFmacProductSticky(unsigned char) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.33%     [kernel.kallsyms][+ffffffe761a8e860]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
1.31%     VU1Interpreter::getDecodedInstructionPairForPc(unsigned char const*, unsigned int, PS2Memory*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.13%     VU1Interpreter::updateFmacFlags(unsigned char const*, unsigned char, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.12%     VU1Interpreter::progressXgkick()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.00%     clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         /apex/com.android.runtime/lib64/bionic/libc.so
0.79%     VU1Interpreter::queueVfWrite(unsigned char, unsigned char, float const*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.78%     [kernel.kallsyms][+ffffffe760a47efc]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.76%     __kernel_clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [vdso]
0.50%     [kernel.kallsyms][+ffffffe760a21688]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.48%     [kernel.kallsyms][+ffffffe760cfb750]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.45%     [kernel.kallsyms][+ffffffe760a21680]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.41%     PS2Memory::advanceEeTimers(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.31%     __memcpy_aarch64_nt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   /apex/com.android.runtime/lib64/bionic/libc.so
0.31%     [kernel.kallsyms][+ffffffe760a2784c]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.30%     PS2Memory::processVIF1Data(unsigned char const*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.28%     VU1Interpreter::applyFmacDestAcc(float*, unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
0.27%     [kernel.kallsyms][+ffffffe760d2cbf8]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
0.26%     EeScheduler::accountCycles(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              /data/app/~~Tw-cqYQIQ8C9F-9VNa-tjQ==/com.ps2x.runner-6lwKPhyd1JqRxAwZpsTXEg==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
