Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 130822
Event count: 98380655774

Overhead  Command          Symbol
4.72%     GameThread       [kernel.kallsyms][+ffffffe761a8e810]
3.19%     GameThread       VU1Interpreter::commitReadyPipelines()
2.52%     GameThread       VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
2.42%     GameThread       VU1Interpreter::execUpper(unsigned int)
1.17%     com.ps2x.runner  clock_gettime
1.12%     GameThread       PS2Memory::processVIF1DataImpl(unsigned char const*, unsigned int)
0.90%     com.ps2x.runner  __kernel_clock_gettime
0.89%     GameThread       VU1Interpreter::progressXgkick()
0.86%     GsWorker         void ParallelGS::GSInterface::drawing_kick_append<false, false, false, 3u>()
0.68%     GameThread       __memcpy_aarch64_nt
0.66%     GsWorker         GS::writeRegisterPacked(unsigned char, unsigned long, unsigned long)
0.62%     GameThread       VU1RecompImage<17692172933381506641ul>::f2a18(VU1Interpreter&, VU1Interpreter::RunContext&)
0.62%     GameThread       VU1RecompImage<17692172933381506641ul>::f2a10(VU1Interpreter&, VU1Interpreter::RunContext&)
0.61%     GameThread       [kernel.kallsyms][+ffffffe760a2784c]
0.57%     GameThread       __vfprintf
0.56%     GameThread       libunwind::findUnwindSectionsByPhdr(dl_phdr_info*, unsigned long, void*)
0.55%     GameThread       VU1RecompImage<17692172933381506641ul>::f2a20(VU1Interpreter&, VU1Interpreter::RunContext&)
0.55%     GsWorker         GS::buildDrawBatch(int) const
0.54%     GsWorker         GS::vertexKick(bool)
0.50%     GameThread       sub_0037E120_0x37e120(unsigned char*, R5900Context*, PS2Runtime*)
0.47%     GameThread       VU1RecompImage<17692172933381506641ul>::f2a50(VU1Interpreter&, VU1Interpreter::RunContext&)
0.46%     GameThread       __emutls_get_address
0.41%     GameThread       VU1RecompImage<17692172933381506641ul>::f2a38(VU1Interpreter&, VU1Interpreter::RunContext&)
0.38%     GameThread       VU1RecompImage<17692172933381506641ul>::f2a40(VU1Interpreter&, VU1Interpreter::RunContext&)
0.34%     GameThread       __sfvwrite
0.33%     GameThread       [kernel.kallsyms][+ffffffe761a8e664]
0.32%     GameThread       VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
0.32%     GameThread       pthread_mutex_unlock
0.31%     GameThread       VU1Interpreter::getDecodedInstructionPairForPc(unsigned char const*, unsigned int, PS2Memory*, unsigned int)
0.30%     GameThread       VU1Interpreter::readBranchVi(unsigned char) const
0.30%     GameThread       scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.30%     GameThread       VU1RecompImage<11917748289753363281ul>::f0638(VU1Interpreter&, VU1Interpreter::RunContext&)
0.29%     GameThread       [kernel.kallsyms][+ffffffe761a6b788]
0.29%     GsWorker         ps2_gfx_stats::detail::ensureInit()
0.29%     GameThread       [kernel.kallsyms][+ffffffe760a277ec]
0.29%     GsWorker         void ParallelGS::GSInterface::packed_XYZ<false, true, (ParallelGS::PRIMType)4>(void const*)
0.29%     GameThread       VU1RecompImage<11917748289753363281ul>::f0678(VU1Interpreter&, VU1Interpreter::RunContext&)
0.29%     GameThread       VU1RecompImage<11917748289753363281ul>::f0710(VU1Interpreter&, VU1Interpreter::RunContext&)
0.28%     GameThread       VU1RecompImage<17692172933381506641ul>::f2a28(VU1Interpreter&, VU1Interpreter::RunContext&)
0.28%     GsWorker         GS::processGIFPacket(unsigned char const*, unsigned int)
0.28%     GameThread       sub_00376938_0x376938(unsigned char*, R5900Context*, PS2Runtime*)
0.27%     GameThread       VU1RecompImage<11917748289753363281ul>::f0628(VU1Interpreter&, VU1Interpreter::RunContext&)
0.27%     GameThread       VU1RecompImage<11917748289753363281ul>::f0640(VU1Interpreter&, VU1Interpreter::RunContext&)
0.27%     GameThread       VU1RecompImage<11917748289753363281ul>::f0690(VU1Interpreter&, VU1Interpreter::RunContext&)
0.27%     GameThread       VU1Interpreter::recordViWriteForBranch(unsigned char, int)
0.27%     GameThread       VU1RecompImage<11917748289753363281ul>::f0680(VU1Interpreter&, VU1Interpreter::RunContext&)
0.27%     GameThread       ps2DiagWatchEnabled()
0.26%     GameThread       pthread_mutex_lock
0.25%     GameThread       VU1RecompImage<11917748289753363281ul>::f0718(VU1Interpreter&, VU1Interpreter::RunContext&)
0.25%     GameThread       VU1RecompImage<17692172933381506641ul>::f2a30(VU1Interpreter&, VU1Interpreter::RunContext&)
0.25%     GameThread       VU1RecompImage<11917748289753363281ul>::f06c8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.25%     GameThread       VU1RecompImage<11917748289753363281ul>::f0630(VU1Interpreter&, VU1Interpreter::RunContext&)
0.25%     GameThread       VU1RecompImage<17692172933381506641ul>::f0a58(VU1Interpreter&, VU1Interpreter::RunContext&)
0.25%     GameThread       VU1RecompImage<11917748289753363281ul>::f0648(VU1Interpreter&, VU1Interpreter::RunContext&)
0.25%     GameThread       VU1RecompImage<11917748289753363281ul>::f06b0(VU1Interpreter&, VU1Interpreter::RunContext&)
0.24%     GameThread       VU1RecompImage<11917748289753363281ul>::f0658(VU1Interpreter&, VU1Interpreter::RunContext&)
0.24%     GameThread       sub_0032E100_0x32e100(unsigned char*, R5900Context*, PS2Runtime*)
0.24%     GameThread       VU1RecompImage<11917748289753363281ul>::f06b8(VU1Interpreter&, VU1Interpreter::RunContext&)
0.24%     GameThread       __memset_aarch64_nt
