Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 600515
Event count: 451006521975

Children  Self   Symbol
39.43%    0.00%  libvulkan_freedreno.so[+a271a0]
32.09%    0.00%  libvulkan_freedreno.so[+ac11d8]
31.74%    0.00%  libvulkan_freedreno.so[+ac3694]
15.64%    0.00%  __pthread_start(void*)
15.64%    0.00%  __start_thread
15.52%    0.00%  libvulkan_freedreno.so[+a21dc0]
14.30%    0.01%  EeScheduler::run()
14.30%    0.00%  std::__ndk1::__function::__func<PS2Runtime::run()::$_1, std::__ndk1::allocator<PS2Runtime::run()::$_1>, void ()>::operator()()
14.30%    0.00%  void* std::__ndk1::__thread_proxy[abi:ne190000]<std::__ndk1::tuple<std::__ndk1::unique_ptr<std::__ndk1::__thread_struct, std::__ndk1::default_delete<std::__ndk1::__thread_struct>>, std::__ndk1::function<void ()>>>(void*)
11.89%    0.00%  libvulkan_freedreno.so[+ac4764]
10.12%    0.00%  libvulkan_freedreno.so[+b64698]
9.91%     0.01%  sub_00382760_0x382760(unsigned char*, R5900Context*, PS2Runtime*)
9.81%     0.00%  PS2Runtime::Store32(unsigned char*, R5900Context*, unsigned int, unsigned int)
9.76%     0.02%  PS2Memory::writeIORegister(unsigned int, unsigned int)
9.69%     0.26%  VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)
9.64%     0.00%  PS2Memory::processPendingTransfers()
9.62%     0.00%  PS2Memory::processVIF1Data(unsigned char const*, unsigned int)
9.62%     0.24%  PS2Memory::processVIF1DataImpl(unsigned char const*, unsigned int)
9.15%     0.00%  libvulkan_freedreno.so[+a96b44]
9.09%     0.00%  std::__ndk1::__function::__func<PS2Runtime::syncCoreSubsystems()::$_3, std::__ndk1::allocator<PS2Runtime::syncCoreSubsystems()::$_3>, void (unsigned int, unsigned int, unsigned int)>::operator()(unsigned int&&, unsigned int&&, unsigned int&&)
8.62%     0.00%  libvulkan_freedreno.so[+add38c]
8.18%     0.00%  libvulkan_freedreno.so[+a27074]
