Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -g --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 194954
Event count: 166417934387

Overhead  Command          Pid  Tid  Shared Object                                                                                                               Symbol
25.66%    com.ps2x.runner  309  343  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  stbi_zlib_compress
15.99%    GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSCpuBackend::WritePixel(GSDrawState const&, int, int, int, unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)
7.32%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSCpuBackend::SampleTexture(GSDrawState const&, float, float, float, unsigned short, unsigned short)
5.58%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSCpuBackend::DrawTriangle(GSPrimitiveBatch const&)
5.37%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSCpuBackend::LookupCLUT(GSDrawState const&, unsigned char, unsigned int, unsigned char, unsigned char, unsigned char, unsigned char)
2.74%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSMem::ReadCT32(unsigned char*, unsigned int, unsigned int, unsigned int, unsigned int)
1.98%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSMem::ReadP8H(unsigned char*, unsigned int, unsigned int, unsigned int, unsigned int)
1.61%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  @plt
1.36%     com.ps2x.runner  309  343  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  stbi_write_png_to_mem
1.05%     com.ps2x.runner  309  343  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSCpuBackend::CopyFrameToHostRgba(GSFrameReg const&, unsigned int, unsigned int, std::__ndk1::vector<unsigned char, std::__ndk1::allocator<unsigned char>>&, bool, bool, bool, unsigned int, unsigned int) const
0.91%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dff210]
0.89%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfbef4]
0.85%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfbf14]
0.79%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSCpuBackend::DrawSprite(GSPrimitiveBatch const&)
0.78%     com.ps2x.runner  309  343  /apex/com.android.runtime/lib64/bionic/libc.so                                                                              scudo::HybridMutex::tryLock()
0.76%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfbf68]
0.70%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfbf90]
0.70%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSMem::WriteCT32(unsigned char*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
0.68%     com.ps2x.runner  309  343  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+de581c]
0.65%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1Interpreter::commitReadyPipelines()
0.64%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc04c]
0.63%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfbff4]
0.58%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc014]
0.54%     com.ps2x.runner  309  343  /apex/com.android.runtime/lib64/bionic/libc.so                                                                              __memcpy_aarch64_nt
0.43%     com.ps2x.runner  309  343  /apex/com.android.runtime/lib64/bionic/libc.so                                                                              scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.41%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc194]
0.39%     com.ps2x.runner  309  343  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+de5824]
0.36%     com.ps2x.runner  309  343  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSMem::ReadCT24(unsigned char*, unsigned int, unsigned int, unsigned int, unsigned int)
0.34%     com.ps2x.runner  309  343  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+de5818]
0.32%     com.ps2x.runner  309  343  /apex/com.android.runtime/lib64/bionic/libc.so                                                                              scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.32%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dff228]
0.31%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc148]
0.29%     com.ps2x.runner  309  343  /apex/com.android.runtime/lib64/bionic/libc.so                                                                              realloc
0.29%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const
0.28%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc030]
0.27%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc044]
0.26%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dff424]
0.25%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc08c]
0.25%     com.ps2x.runner  309  343  /apex/com.android.runtime/lib64/bionic/libc.so                                                                              scudo::HybridMutex::unlock()
0.25%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  GSMem::WriteCT24(unsigned char*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
0.24%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc00c]
0.24%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc06c]
0.24%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfbfec]
0.23%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc18c]
0.23%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfbf88]
0.23%     GameThread       309  379  /apex/com.android.runtime/lib64/bionic/libc.so                                                                              __memset_aarch64_nt
0.23%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc084]
0.22%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc02c]
0.22%     com.ps2x.runner  309  343  [vdso]                                                                                                                      __kernel_clock_gettime
0.22%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfbeec]
0.22%     GameThread       309  379  /data/app/~~iJ9u4zXpt7Nae68VO9zlyA==/com.ps2x.runner-2TG_FPWA9orWwqB6n_6OhQ==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so  libps2EntryRunner.so[+dfc0a4]
