t=8.2 tick=211 busy=129941 total=1009156 pct=12.9
t=15.1 tick=361 busy=123789 total=1014867 pct=12.2
t=21.3 tick=709 busy=271377 total=1006292 pct=27.0
t=28.3 tick=846 busy=157097 total=1005146 pct=15.6
t=35.2 tick=1126 busy=269382 total=1000334 pct=26.9
t=41.4 tick=1326 busy=252774 total=1007777 pct=25.1
t=46.5 tick=1501 busy=101392 total=1004926 pct=10.1
t=52.6 tick=1609 busy=111704 total=1000723 pct=11.2
t=59.6 tick=1638 busy=118986 total=1000763 pct=11.9
t=65.7 tick=1705 busy=156858 total=1005345 pct=15.6
t=70.7 tick=1743 busy=161092 total=1003354 pct=16.1
t=76.9 tick=1780 busy=182994 total=1013333 pct=18.1
t=82.0 tick=1816 busy=167238 total=1008065 pct=16.6
t=88.2 tick=1854 busy=167399 total=1006397 pct=16.6
t=95.2 tick=1892 busy=168647 total=1015665 pct=16.6
t=102.2 tick=1965 busy=169538 total=1000534 pct=16.9
t=108.4 tick=2002 busy=162394 total=1014807 pct=16.0
t=115.4 tick=2076 busy=187122 total=1011319 pct=18.5
t=121.6 tick=2116 busy=177973 total=1007439 pct=17.7
t=127.0 tick=2155 busy=170094 total=1014686 pct=16.8
t=133.3 tick=2192 busy=178337 total=1008050 pct=17.7
t=138.3 tick=2231 busy=167618 total=1015793 pct=16.5
t=144.4 tick=2270 busy=166794 total=1002561 pct=16.6
t=151.5 tick=2353 busy=207443 total=1014803 pct=20.4
t=158.5 tick=2394 busy=176144 total=1014289 pct=17.4
t=164.7 tick=2436 busy=207648 total=1003780 pct=20.7
t=169.7 tick=2477 busy=162299 total=1011976 pct=16.0
t=175.9 tick=2562 busy=179735 total=1008463 pct=17.8
t=182.9 tick=2605 busy=161030 total=1003245 pct=16.1
t=189.1 tick=2648 busy=166884 total=1006501 pct=16.6
t=196.1 tick=2733 busy=178022 total=1004101 pct=17.7
t=203.1 tick=2776 busy=177499 total=1005018 pct=17.7
t=209.3 tick=2819 busy=175925 total=1010777 pct=17.4
t=216.2 tick=2904 busy=181291 total=1005184 pct=18.0
t=222.4 tick=2946 busy=196336 total=1005699 pct=19.5
t=229.3 tick=2989 busy=174064 total=1000058 pct=17.4
t=236.7 tick=3074 busy=176458 total=1007031 pct=17.5
t=242.8 tick=3117 busy=182561 total=1005979 pct=18.1
t=249.8 tick=3159 busy=181504 total=1013748 pct=17.9
t=255.9 tick=3245 busy=182475 total=1003982 pct=18.2
t=262.9 tick=3288 busy=198045 total=1013163 pct=19.5
t=269.8 tick=3330 busy=196827 total=1004969 pct=19.6
t=276.0 tick=3416 busy=179029 total=1003034 pct=17.8
t=283.0 tick=3458 busy=172391 total=1003365 pct=17.2
t=289.2 tick=3501 busy=164598 total=1004627 pct=16.4
t=296.1 tick=3586 busy=180983 total=1011167 pct=17.9
t=303.2 tick=3629 busy=180150 total=1012871 pct=17.8
t=309.3 tick=3672 busy=181551 total=1006581 pct=18.0
t=316.3 tick=3756 busy=179360 total=1007717 pct=17.8
t=322.5 tick=3799 busy=186260 total=1004992 pct=18.5
t=329.5 tick=3842 busy=189585 total=1010085 pct=18.8
t=336.5 tick=3927 busy=183935 total=1004290 pct=18.3
t=342.7 tick=3970 busy=166452 total=1005904 pct=16.5
t=350.3 tick=4013 busy=181963 total=1007158 pct=18.1
t=356.5 tick=4098 busy=193908 total=1012657 pct=19.1
t=363.5 tick=4141 busy=179901 total=1009454 pct=17.8
t=370.5 tick=4182 busy=182994 total=1020819 pct=17.9
t=376.7 tick=4270 busy=179173 total=1014554 pct=17.7
t=383.6 tick=4316 busy=160865 total=1012346 pct=15.9
t=389.8 tick=4361 busy=165158 total=1011209 pct=16.3
t=396.8 tick=4465 busy=179664 total=1011584 pct=17.8
