t=8.3 tick=225 busy=173000 total=1004222 pct=17.2
t=15.3 tick=546 busy=170975 total=1007658 pct=17.0
t=21.5 tick=729 busy=243096 total=1002769 pct=24.2
t=28.5 tick=850 busy=237951 total=1005207 pct=23.7
t=35.5 tick=1113 busy=269708 total=1008240 pct=26.8
t=41.7 tick=1315 busy=297501 total=1012554 pct=29.4
t=48.8 tick=1497 busy=139237 total=1009636 pct=13.8
t=55.0 tick=1608 busy=164067 total=1014013 pct=16.2
t=62.0 tick=1663 busy=180407 total=1000270 pct=18.0
t=69.1 tick=1699 busy=198060 total=1006328 pct=19.7
t=75.3 tick=1736 busy=217056 total=1008677 pct=21.5
t=80.3 tick=1809 busy=226030 total=1003450 pct=22.5
t=86.5 tick=1846 busy=235680 total=1012820 pct=23.3
t=91.6 tick=1883 busy=217109 total=1012523 pct=21.4
t=97.8 tick=1920 busy=215439 total=1002838 pct=21.5
t=102.9 tick=1957 busy=220983 total=1013596 pct=21.8
t=109.1 tick=1993 busy=221243 total=1000054 pct=22.1
t=116.1 tick=2067 busy=241519 total=1000834 pct=24.1
t=122.3 tick=2105 busy=239951 total=1001257 pct=24.0
t=127.7 tick=2144 busy=228095 total=1002002 pct=22.8
t=133.9 tick=2181 busy=232381 total=1006090 pct=23.1
t=139.0 tick=2218 busy=241765 total=1014577 pct=23.8
t=145.2 tick=2256 busy=224954 total=1009323 pct=22.3
t=150.2 tick=2295 busy=240930 total=1001623 pct=24.1
t=156.4 tick=2379 busy=248794 total=1004926 pct=24.8
t=161.5 tick=2419 busy=232476 total=1020148 pct=22.8
