Cmdline: /system/bin/simpleperf record --app com.ps2x.runner --add-meta-info app_type=profileable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --call-graph fp --duration 30
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 137186
Event count: 111751374042

Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Shared Object
10.42%    VU1Interpreter::run(unsigned char*, unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
8.98%     VU1Interpreter::commitReadyPipelines()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
6.35%     VU1Interpreter::execUpper(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
5.25%     VU1Interpreter::calculatePairReadyCycle(VU1Interpreter::DecodedInstructionPair const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
4.84%     [kernel.kallsyms][+ffffffe761a8e810]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
3.94%     __memset_aarch64_nt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   /apex/com.android.runtime/lib64/bionic/libc.so
3.60%     VU1Interpreter::execLower(unsigned int, unsigned char*, unsigned int, GS&, PS2Memory*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
3.58%     VU1Interpreter::calculateFmacExactResults(unsigned char, double*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
3.43%     VU1Interpreter::normalizeFmacResult(float*, unsigned char, unsigned char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.73%     VU1Interpreter::calculateFmacProductSticky(unsigned char) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.73%     @plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.48%     VU1Interpreter::getDecodedInstructionPairForPc(unsigned char const*, unsigned int, PS2Memory*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
2.26%     [kernel.kallsyms][+ffffffe761a8e860]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
1.76%     VU1Interpreter::markPairWrites(VU1Interpreter::DecodedInstructionPair const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.39%     VU1Interpreter::updateFmacFlags(unsigned char const*, unsigned char, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    /data/app/~~nYRd8kouwvq7q2v5A-TA_w==/com.ps2x.runner-1DLptr4PfA1hiwdyAMjP8g==/base.apk!/lib/arm64-v8a/libps2EntryRunner.so
1.31%     [kernel.kallsyms][+ffffffe760a47efc]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms]
1.16%     clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         /apex/com.android.runtime/lib64/bionic/libc.so
