[R1B5] file_lines=7755209 sha256=3b3ca14e009c2d6601037b067bea2221219664b57bfe6f4a2cd59b197142e412
[R1B5] exec1 evidx=162 file=155548 ts=1.2109 pc=83238 a0=100008
[R1B5] exec2 evidx=168 file=155603 ts=1.3851 pc=1001b8 a0=200000
[R1B5] exec3 evidx=363835 file=686453 ts=18.0183 pc=83238 a0=1000008
[R1B5] exec4 evidx=363841 file=686494 ts=18.1076 pc=10002f8 a0=100000
[R1B5] exec5 evidx=471605 file=857030 ts=35.9087 pc=83238 a0=100008
[R1B5] last_t0=35.9087
[R1B5] g1 file=857080 ts=35.9332 RFU060 (3c) pc=10017c a0=4a30f0
[R1B5] g2 file=857081 ts=35.9332 RFU061 (3d) pc=100198 a0=53f115
[R1B5] g3 file=857082 ts=35.9332 CreateSema (40) pc=423da8 a0=1fffd00
[R1B5] g4 file=857083 ts=35.9332 CreateSema (40) pc=423da8 a0=1fffd20
[R1B5] g5 file=857084 ts=35.9332 RFU116 (74) pc=42c2f8 a0=83
[R1B5] g6 file=857085 ts=35.9332 RFU116 (74) pc=42c2f8 a0=5a
[R1B5] g7 file=857086 ts=35.9332 (null) (83) pc=42c1b0 a0=80000000
[R1B5] g8 file=857088 ts=35.9352 (null) (83) pc=42c1b0 a0=80000000
[R1B5] g9 file=857090 ts=35.9369 RFU116 (74) pc=42c768 a0=5a
[R1B5] g10 file=857091 ts=35.9369 RFU090_iReferEventFlagStatus (5a) pc=42c778 a0=80076000
[R1B5] g11 file=857092 ts=35.9369 RFU090_iReferEventFlagStatus (5a) pc=42c778 a0=82000
[R1B5] g12 file=857093 ts=35.9369 FlushCache (64) pc=424028 a0=0
[R1B5] g13 file=857094 ts=35.9369 FlushCache (64) pc=424028 a0=2
[R1B5] g14 file=857095 ts=35.9369 RFU116 (74) pc=42c768 a0=5b
[R1B5] g15 file=857096 ts=35.9369 RFU091_GetEntryAddress (5b) pc=42c7c0 a0=fc
[R1B5] g16 file=857097 ts=35.9369 RFU116 (74) pc=42c768 a0=fc
[R1B5] g17 file=857098 ts=35.9369 RFU091_GetEntryAddress (5b) pc=42c7c0 a0=fe
[R1B5] g18 file=857099 ts=35.937 RFU116 (74) pc=42c768 a0=fe
[R1B5] g19 file=857100 ts=35.937 RFU091_GetEntryAddress (5b) pc=42c7c0 a0=fd
[R1B5] g20 file=857101 ts=35.937 RFU116 (74) pc=42c768 a0=fd
[R1B5] g21 file=857102 ts=35.937 RFU091_GetEntryAddress (5b) pc=42c7c0 a0=ff
[R1B5] g22 file=857103 ts=35.937 RFU116 (74) pc=42c768 a0=ff
[R1B5] g23 file=857104 ts=35.937 RFU091_GetEntryAddress (5b) pc=42c7c0 a0=12c
[R1B5] g24 file=857105 ts=35.937 RFU116 (74) pc=42c768 a0=12c
[R1B5] g25 file=857106 ts=35.937 RFU091_GetEntryAddress (5b) pc=42c7c0 a0=8
[R1B5] g26 file=857107 ts=35.937 RFU116 (74) pc=42c768 a0=8
[R1B5] g27 file=857108 ts=35.937 CreateSema (40) pc=423da8 a0=1fffd00
[R1B5] g28 file=857109 ts=35.937 CreateThread (20) pc=423ba8 a0=1fffcd0
[R1B5] g29 file=857110 ts=35.937 StartThread (22) pc=423bc8 a0=c
[R1B5] g30 file=857111 ts=35.937 GetThreadId (2f) pc=423c98 a0=c
[R1B5] vbsamp file=412851 :: [    2.2908] Bios    :   vblank.004: WaitVblankStart (0, 0, 0, 0)
[R1B5] vbsamp file=417649 :: [    2.2992] Bios    :   vblank.004: WaitVblankStart (1, 1e17b0, 0, 5b100)
