frame	y	rowmean_luma
par1-2100	388	164.473
par1-2100	389	166.402
par1-2100	390	166.347
par1-2100	391	170.323
par1-2100	392	168.142
par1-2100	393	170.584
par1-2100	394	168.391
par1-2100	395	170.698
par1-2100	396	168.596
par1-2100	397	170.859
par1-2100	398	168.870
par1-2100	399	170.916
par1-2100	400	169.289
par1-2100	401	170.994
par1-2100	402	169.620
par1-2100	403	171.023
par1-2100	404	169.769
par1-2100	405	171.046
par1-2100	406	169.841
par1-2100	407	171.166
par1-2100	408	170.025
par1-2100	409	171.448
cpu1-2100	388	164.073
cpu1-2100	389	164.960
cpu1-2100	390	167.851
cpu1-2100	391	167.961
cpu1-2100	392	168.080
cpu1-2100	393	168.190
cpu1-2100	394	168.283
cpu1-2100	395	168.312
cpu1-2100	396	168.522
cpu1-2100	397	168.533
cpu1-2100	398	168.820
cpu1-2100	399	169.084
cpu1-2100	400	169.279
cpu1-2100	401	169.441
cpu1-2100	402	169.553
cpu1-2100	403	169.434
cpu1-2100	404	169.487
cpu1-2100	405	169.534
cpu1-2100	406	169.627
cpu1-2100	407	169.835
cpu1-2100	408	169.915
cpu1-2100	409	169.994
par2-2098	388	166.377
par2-2098	389	166.402
par2-2098	390	168.498
par2-2098	391	170.323
par2-2098	392	170.452
par2-2098	393	170.584
par2-2098	394	170.658
par2-2098	395	170.698
par2-2098	396	170.792
par2-2098	397	170.859
par2-2098	398	170.910
par2-2098	399	170.916
par2-2098	400	170.957
par2-2098	401	170.994
par2-2098	402	171.011
par2-2098	403	171.023
par2-2098	404	171.038
par2-2098	405	171.046
par2-2098	406	171.105
par2-2098	407	171.166
par2-2098	408	171.319
par2-2098	409	171.448
