block	distinct	logline	w29	w31	s29	s31	dormant
0	961	5651	533	533	533	533	1048
1	497	34366	301	301	301	301	628
2	222	50769	303	303	303	303	635
3	222	65371	301	301	301	301	633
4	222	75708	302	302	302	302	644
5	222	86085	302	302	302	302	645
6	222	96466	301	302	302	302	638
7	222	106822	299	299	299	299	629
8	222	117088	299	298	298	298	631
9	222	127339	303	304	304	304	637
10	222	137756	299	298	298	298	633
11	222	148013	301	301	301	301	643
12	222	158357	301	302	302	302	643
13	222	168718	301	300	300	300	637
14	222	179039	303	303	303	303	636
15	222	189443	300	301	301	301	634
16	222	199729	301	300	300	300	636
17	222	210082	301	301	301	301	643
18	222	220427	303	303	303	303	632
19	222	230826	301	302	302	302	605
20	222	241141	302	301	301	301	602
21	222	251469	301	302	302	302	604
22	222	261746	301	300	300	300	600
23	222	272077	302	302	302	302	604
24	222	282417	301	302	302	302	604
25	222	292742	299	299	299	299	598
26	222	302987	301	301	301	301	602
27	222	313230	300	300	300	300	600
28	222	323511	300	300	300	300	600
29	222	333767	300	300	300	300	600
30	222	344036	300	299	299	299	598
31	222	354333	301	301	301	301	602
32	222	364639	300	301	301	301	602
33	222	374918	300	300	300	300	600
34	222	385187	299	299	299	299	598
35	222	395442	301	301	301	301	602
36	222	405695	300	299	299	300	600
37	222	415951	300	301	301	300	600
38	222	426278	300	300	300	300	600
39	222	436547	299	299	299	299	598
40	222	446729	301	301	301	301	602
41	222	457044	300	300	300	300	600
42	222	467302	300	300	300	300	600
43	222	477581	300	300	300	300	600
44	222	487838	300	300	300	300	600
45	222	498118	300	300	300	300	600
46	222	508376	300	299	299	299	599
47	222	518636	297	298	298	298	595
48	222	528823	289	289	289	289	578
49	222	538722	310	310	310	310	620
50	222	549333	303	303	303	303	606
51	222	559685	293	293	293	293	586
52	222	569731	302	302	302	302	604
53	222	580069	301	301	301	301	602
54	222	590368	276	276	276	276	552
55	222	599817	267	267	267	267	534
56	222	608973	267	267	267	267	534
57	222	618120	239	239	239	239	478
58	222	626303	267	267	267	267	534
59	222	635444	285	285	285	285	570
60	222	645205	265	265	265	265	530
61	222	654290	298	298	298	298	596
62	222	664482	280	280	280	280	560
63	222	674095	266	266	266	266	532
64	222	683187	276	276	276	276	552
65	222	692662	279	279	279	279	558
66	222	702207	270	270	270	270	540
67	222	711456	284	284	284	284	568
68	222	721181	258	258	258	258	516
69	222	730022	141	140	140	141	282
70	222	734868	205	206	206	205	410
71	222	741911	245	245	245	245	490
72	222	750322	175	175	175	175	350
73	222	756327	173	173	173	173	346
74	222	762281	168	168	168	168	336
75	222	768072	172	172	172	172	344
76	222	773989	180	180	180	180	360
77	222	780181	185	185	185	185	370
78	222	786541	180	180	180	180	360
79	222	792726	182	182	182	182	364
80	222	798986	180	180	180	180	360
81	222	805172	182	182	182	182	364
82	222	811432	184	184	184	184	368
83	222	817758	191	191	191	191	382
84	222	824319	167	167	167	167	334
85	222	830062	167	167	167	167	334
86	222	835797	181	181	181	181	362
87	222	842035	188	188	188	188	376
88	222	848492	193	193	193	193	386
89	222	855123	198	198	198	198	396
90	222	861927	192	191	191	192	384
91	222	868504	192	193	193	192	384
92	222	875117	194	194	194	194	388
93	222	881771	186	186	186	186	372
94	222	888174	161	161	161	161	322
95	222	893718	174	174	174	174	348
96	222	899690	175	175	175	175	350
97	222	905725	167	167	167	167	334
98	222	911469	171	171	171	171	342
99	222	917352	168	168	168	168	336
100	222	923137	167	167	167	167	334
101	222	928870	155	155	155	155	310
102	222	934218	151	151	151	151	302
103	222	939411	159	159	159	159	318
104	222	944901	165	165	165	165	330
105	222	950575	175	175	175	175	350
106	222	956590	173	173	173	173	346
107	222	962548	169	169	169	169	338
108	222	968357	177	177	177	177	354
109	222	974448	185	185	185	185	370
110	222	980807	186	186	186	186	372
111	222	987193	189	189	189	189	378
112	222	993694	186	186	186	186	372
113	222	1000087	181	181	181	181	362
114	222	1006297	189	189	189	189	378
115	222	1012792	188	188	188	188	376
116	222	1019255	188	187	187	187	375
117	222	1025704	186	187	187	187	373
118	222	1032118	123	123	123	123	246
