tick	logline	pc	dma	gif	d_dma	d_gif	ratio
120	39051	0x377ae8	22394	647	NA	NA	NA
240	71402	0x317244	48088	1341	25694	694	0.02701
360	95537	0x317244	74099	2044	26011	703	0.02703
480	118838	0x317244	99148	2721	25049	677	0.02703
600	142478	0x3825c0	124641	3410	25493	689	0.02703
720	164904	0x317244	148802	4063	24161	653	0.02703
840	188618	0x317244	174369	4754	25567	691	0.02703
960	212096	0x317244	199603	5436	25234	682	0.02703
1080	234496	0x317244	223764	6089	24161	653	0.02703
1200	256151	0x3827e0	247181	6722	23417	633	0.02703
1320	278129	0x3827e0	270939	7364	23758	642	0.02702
1440	299543	0x3827e0	294097	7990	23158	626	0.02703
1560	321063	0x377b1c	317368	8619	23271	629	0.02703
1680	341803	0x397ef4	339760	9225	22392	606	0.02706
1800	362843	0x1d8efc	362515	9840	22755	615	0.02703
1920	383030	0x3825c0	384344	10429	21829	589	0.02698
2040	402579	0x382ae8	405469	11000	21125	571	0.02703
2160	422188	0x1d8efc	426636	11573	21167	573	0.02707
2280	440307	0x1d8efc	446209	12102	19573	529	0.02703
2400	456419	0x3172e0	463673	12574	17464	472	0.02703
2520	471494	0x377ae8	479936	13013	16263	439	0.02699
2640	487033	0x3171bc	496751	13468	16815	455	0.02706
2760	501700	0x317244	512586	13895	15835	427	0.02697
2880	516674	0x1d8efc	528793	14334	16207	439	0.02709
3000	530819	0x1d8efc	544037	14746	15244	412	0.02703
3120	545058	0x3827e0	559466	15163	15429	417	0.02703
3240	560513	0x3a0714	576124	15613	16658	450	0.02701
3360	573220	0x1d8efc	589880	15985	13756	372	0.02704
3480	586286	0x1d8efc	604014	16367	14134	382	0.02703
3600	598000	0x3827e0	616705	16710	12691	343	0.02703
3720	607640	0x1d8efc	627102	16991	10397	281	0.02703
3840	617547	0x377b6c	637831	17280	10729	289	0.02694
3960	626198	0x1d8efc	647156	17533	9325	253	0.02713
4080	634743	0x3988dc	656387	17782	9231	249	0.02697
4200	644456	0x3172e0	666877	18066	10490	284	0.02707
4320	652959	0x1d8efc	676053	18314	9176	248	0.02703
4440	664522	0x1d8efc	688522	18651	12469	337	0.02703
4560	673857	0x382ae8	698657	18924	10135	273	0.02694
4680	682658	0x3827e0	708164	19181	9507	257	0.02703
4800	690975	0x1d8efc	717123	19424	8959	243	0.02712
4920	700747	0x377b1c	727698	19709	10575	285	0.02695
5040	709589	0x3827e0	737246	19967	9548	258	0.02702
5160	719320	0x382ae8	747756	20251	10510	284	0.02702
5280	729413	0x3827e0	758669	20546	10913	295	0.02703
5400	735476	0x3827e0	765111	20720	6442	174	0.02701
5520	747805	0x39e72c	778451	21081	13340	361	0.02706
5640	756170	0x36356c	787488	21325	9037	244	0.02700
5760	765089	0x377b6c	797040	21583	9552	258	0.02701
5880	773216	0x382ae8	805809	21820	8769	237	0.02703
6000	782140	0x1d8efc	815358	22079	9549	259	0.02712
6120	791263	0x36356c	825228	22345	9870	266	0.02695
6240	799866	0x3a0714	834429	22594	9201	249	0.02706
6360	808775	0x3a0714	844038	22854	9609	260	0.02706
6480	817976	0x31ac30	853912	23121	9874	267	0.02704
6600	826781	0x31ac30	863421	23378	9509	257	0.02703
6720	834900	0x317244	872189	23614	8768	236	0.02692
6840	844059	0x3172e0	881995	23880	9806	266	0.02713
6960	853880	0x3827e0	892614	24167	10619	287	0.02703
7080	864035	0x3827e0	903524	24461	10910	294	0.02695
7200	873880	0x1d8efc	914148	24749	10624	288	0.02711
7320	883617	0x397ef4	924582	25031	10434	282	0.02703
7440	892493	0x377ae8	934185	25290	9603	259	0.02697
7560	900724	0x377b1c	943001	25528	8816	238	0.02700
7680	909496	0x3171bc	952443	25784	9442	256	0.02711
7800	918088	0x3172e0	961656	26033	9213	249	0.02703
7920	926553	0x3172e0	970795	26280	9139	247	0.02703
8040	934595	0x3827e0	979409	26512	8614	232	0.02693
8160	942346	0x36356c	987770	26738	8361	226	0.02703
8280	950917	0x377b1c	996947	26986	9177	248	0.02702
8400	959897	0x3827e0	1006643	27248	9696	262	0.02702
8520	968687	0x3172e0	1016046	27503	9403	255	0.02712
8640	977870	0x3172e0	1025962	27771	9916	268	0.02703
8760	987437	0x3a0714	1036214	28048	10252	277	0.02702
8880	997162	0x3a0714	1046726	28332	10512	284	0.02702
9000	1006408	0x3a0714	1056683	28601	9957	269	0.02702
9120	1016384	0x382ae8	1067436	28891	10753	290	0.02697
9240	1026409	0x3827e0	1078201	29182	10765	291	0.02703
9360	1035879	0x31aa8c	1088418	29459	10217	277	0.02711
