# T24 liveness: wall=600s progress=2000000lines poll=15s
t=15s alive log=7643254B trace_lines=48538 trace=2904374B
t=30s alive log=14178882B trace_lines=97300 trace=5820161B
t=45s alive log=19828994B trace_lines=146335 trace=8754671B
t=60s alive log=25433220B trace_lines=195054 trace=11668835B
t=75s alive log=31062610B trace_lines=244013 trace=14596583B
t=91s alive log=36708257B trace_lines=293158 trace=17531744B
t=106s alive log=42325167B trace_lines=341938 trace=20450760B
t=121s alive log=47931433B trace_lines=390676 trace=23363318B
t=136s alive log=53570049B trace_lines=439554 trace=26291669B
t=151s alive log=59192629B trace_lines=488476 trace=29213735B
t=166s alive log=64850795B trace_lines=537605 trace=32152656B
t=181s alive log=70454723B trace_lines=586378 trace=35065214B
t=196s alive log=76061862B trace_lines=634978 trace=37978605B
t=211s alive log=81681838B trace_lines=683741 trace=40900017B
t=226s alive log=87316091B trace_lines=732934 trace=43828720B
t=241s alive log=92924734B trace_lines=781578 trace=46744507B
t=257s alive log=98587788B trace_lines=830663 trace=49679729B
t=272s alive log=104256545B trace_lines=879869 trace=52621287B
t=287s alive log=109908265B trace_lines=929008 trace=55553219B
t=302s alive log=115573891B trace_lines=977980 trace=58494838B
t=317s alive log=121242159B trace_lines=1027120 trace=61429999B
t=332s alive log=126869515B trace_lines=1076212 trace=64355473B
t=348s alive log=132535828B trace_lines=1125406 trace=67297092B
t=363s alive log=138158064B trace_lines=1174222 trace=70216108B
t=378s alive log=143786848B trace_lines=1223038 trace=73135124B
t=393s alive log=149434957B trace_lines=1272124 trace=76070285B
t=408s alive log=155082915B trace_lines=1320880 trace=79003050B
t=423s alive log=160737449B trace_lines=1370240 trace=81940607B
t=438s alive log=166375652B trace_lines=1419166 trace=84863685B
t=453s alive log=172030857B trace_lines=1468308 trace=87814158B
t=468s alive log=177639236B trace_lines=1517297 trace=90736403B
t=484s alive log=183298819B trace_lines=1566427 trace=93674793B
t=499s alive log=188928010B trace_lines=1615239 trace=96600328B
t=514s alive log=194574162B trace_lines=1664218 trace=99525741B
t=529s alive log=200222497B trace_lines=1713034 trace=102454444B
t=544s alive log=205874898B trace_lines=1762285 trace=105389605B
t=559s alive log=211542230B trace_lines=1811451 trace=108334453B
t=574s alive log=217207260B trace_lines=1860565 trace=111272843B
t=590s alive log=222868914B trace_lines=1909739 trace=114214523B
t=605s alive log=228532904B trace_lines=1959058 trace=117162539B
SIGTERM el=605s rc=0 BOUND=wall
