[  458.0173] Bios    :  intrman.017: CpuSuspendIntr (1dd160, bed2c, c5a30, 0)
[  458.0173] Bios    :  intrman.014:  (115f8, 1dd158, c5a30, 0)
[  458.0173] Bios    :  timrman.010: GetTimerCounter (6bf8014a, c5a30, 0, 0)
[  458.0173] Bios    :  intrman.014:  (115f8, 1dd158, 6, 12c40)
[  458.0173] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 6, 12c40, 12c40)
[  458.0173] Bios    :  timrman.011: SetTimerCompare (6bf8014a, 83b2be93, 3936e, 0)
[  458.0173] Bios    :  intrman.018: CpuResumeIntr (1, 83b2be93, 3936e, 0)
[  458.0173] Bios    :  thsemap.006: SignalSema (13cdb0f, 1dd1a0, 3936e, 0)
[  458.0173] Bios    :  intrman.023: QueryIntrContext (13cdb0f, 1dd1a0, 3936e, 0)
[  458.0173] Bios    :  intrman.017: CpuSuspendIntr (1dd110, 1dd1a0, 3936e, 0)
[  458.0173] Bios    :  intrman.018: CpuResumeIntr (1, 9e6d8, 3936e, 0)
[  458.0173] Bios    :  thevent.010: WaitEventFlag (13cce23, 7, 11, 1dd158)
[  458.0173] Bios    :  intrman.023: QueryIntrContext (13cce23, 7, 11, 1dd158)
[  458.0174] Bios    :  intrman.017: CpuSuspendIntr (1dd118, 7, 11, 1dd158)
[  458.0174] Bios    :  intrman.018: CpuResumeIntr (1, 7, 9e670, 1dd158)
[  458.0174] Bios    :  thsemap.008: WaitSema (13cdb0f, 7, 9e670, 1dd158)
[  458.0174] Bios    :  intrman.023: QueryIntrContext (13cdb0f, 7, 9e670, 1dd158)
[  458.0174] Bios    :  intrman.017: CpuSuspendIntr (1dd110, 7, 9e670, 1dd158)
[  458.0174] Bios    :  intrman.018: CpuResumeIntr (1, 7, 9e6d8, 1dd158)
[  458.0174] Bios    :   thbase.034: GetSystemTime (1dd198, 7, 9e6d8, 1dd158)
[  458.0174] Bios    :  intrman.014:  (115f8, 1dd198, 9e6d8, 1dd158)
[  458.0174] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 9e6d8, 1dd158, 1dd158)
[  458.0174] Bios    :   thbase.037: CancelAlarm (bed2c, c5a30, 1dd158, 1dd158)
[  458.0174] Bios    :  intrman.023: QueryIntrContext (bed2c, c5a30, 1dd158, 1dd158)
[  458.0174] Bios    :  intrman.017: CpuSuspendIntr (1dd168, c5a30, 1dd158, 1dd158)
[  458.0174] Bios    :  intrman.018: CpuResumeIntr (1, 13330, 1dd158, 1dd158)
[  458.0174] Bios    :   thbase.040: SysClock2USec (1dd198, 1dd1a4, 1dd1a8, 83af2989)
[  458.0174] Bios    :   thbase.039: USec2SysClock (186a0, 1dd198, f4240, 0)
[  458.0174] Bios    :   thbase.034: GetSystemTime (1dd190, 0, 7d, 0)
[  458.0174] Bios    :  intrman.014:  (115f8, 1dd190, 7d, 0)
[  458.0174] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 7d, 0, 0)
[  458.0174] Bios    :   thbase.035: SetAlarm (1dd198, bed2c, c5a30, 0)
[  458.0174] Bios    :  intrman.023: QueryIntrContext (1dd198, bed2c, c5a30, 0)
[  458.0174] Bios    :  intrman.017: CpuSuspendIntr (1dd160, bed2c, c5a30, 0)
[  458.0174] Bios    :  intrman.014:  (115f8, 1dd158, c5a30, 0)
[  458.0174] Bios    :  timrman.010: GetTimerCounter (6bf8014a, c5a30, 0, 0)
[  458.0174] Bios    :  intrman.014:  (115f8, 1dd158, 6, 12c40)
[  458.0174] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 6, 12c40, 12c40)
[  458.0174] Bios    :  timrman.011: SetTimerCompare (6bf8014a, 83b2be93, 38a50, 0)
[  458.0174] Bios    :  intrman.018: CpuResumeIntr (1, 83b2be93, 38a50, 0)
[  458.0174] Bios    :  thsemap.006: SignalSema (13cdb0f, 1dd1a0, 38a50, 0)
[  458.0174] Bios    :  intrman.023: QueryIntrContext (13cdb0f, 1dd1a0, 38a50, 0)
[  458.0174] Bios    :  intrman.017: CpuSuspendIntr (1dd110, 1dd1a0, 38a50, 0)
[  458.0174] Bios    :  intrman.018: CpuResumeIntr (1, 9e6d8, 38a50, 0)
[  458.0174] Bios    :  thevent.010: WaitEventFlag (13cce23, 7, 11, 1dd158)
[  458.0174] Bios    :  intrman.023: QueryIntrContext (13cce23, 7, 11, 1dd158)
[  458.0174] Bios    :  intrman.017: CpuSuspendIntr (1dd118, 7, 11, 1dd158)
[  458.0176] Bios    :  thevent.007: iSetEventFlag (12f0c19, 1, 80000000, 138a4)
[  458.0176] Bios    :  intrman.023: QueryIntrContext (12f0c19, 1, 80000000, 138a4)
[  458.0176] Bios    :  thevent.007: iSetEventFlag (25dd05, 1, a0, 14)
[  458.0176] Bios    :  intrman.023: QueryIntrContext (25dd05, 1, a0, 14)
[  458.0176] Bios    : Bios call: RFU005 (5)
[  458.0176] Bios    :  thevent.007: iSetEventFlag (25dd05, 2, a0, 14)
[  458.0176] Bios    : Bios call: iSignalSema (43)
