[  561.2485] Bios    :   thbase.034: GetSystemTime (1dd198, ac000000, 9e6d8, d01b1351)
[  561.2485] Bios    :  intrman.014:  (115f8, 1dd198, 9e6d8, d01b1351)
[  561.2485] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 9e6d8, d01b1351, d01b1351)
[  561.2485] Bios    :   thbase.040: SysClock2USec (1dd198, 1dd1a4, 1dd1a8, bf61f307)
[  561.2485] Bios    :  thevent.006: SetEventFlag (13cce23, 1, 64, 0)
[  561.2485] Bios    :  intrman.023: QueryIntrContext (13cce23, 1, 64, 0)
[  561.2485] Bios    :  intrman.017: CpuSuspendIntr (1dd0f0, 1, 64, 0)
[  561.2485] Bios    :  intrman.018: CpuResumeIntr (1, 1, 64, 0)
[  561.2485] Bios    :   thbase.039: USec2SysClock (186a0, 1dd198, 0, c5b58)
[  561.2485] Bios    :   thbase.034: GetSystemTime (1dd190, 0, 7d, 0)
[  561.2485] Bios    :  intrman.014:  (115f8, 1dd190, 7d, 0)
[  561.2485] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 7d, 0, 0)
[  561.2485] Bios    :   thbase.035: SetAlarm (1dd198, bed2c, c5a30, 0)
[  561.2485] Bios    :  intrman.023: QueryIntrContext (1dd198, bed2c, c5a30, 0)
[  561.2485] Bios    :  intrman.017: CpuSuspendIntr (1dd160, bed2c, c5a30, 0)
[  561.2485] Bios    :  intrman.014:  (115f8, 1dd158, c5a30, 0)
[  561.2485] Bios    :  timrman.010: GetTimerCounter (6bf8014a, c5a30, 0, 0)
[  561.2485] Bios    :  intrman.014:  (115f8, 1dd158, 7, 12c40)
[  561.2485] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 7, 12c40, 12c40)
[  561.2485] Bios    :  timrman.011: SetTimerCompare (6bf8014a, bfaa3e93, ffe96, 0)
[  561.2485] Bios    :  intrman.018: CpuResumeIntr (1, bfaa3e93, ffe96, 0)
[  561.2485] Bios    :  thsemap.006: SignalSema (13cdb0f, 1dd1a0, ffe96, 0)
[  561.2485] Bios    :  intrman.023: QueryIntrContext (13cdb0f, 1dd1a0, ffe96, 0)
[  561.2485] Bios    :  intrman.017: CpuSuspendIntr (1dd110, 1dd1a0, ffe96, 0)
[  561.2485] Bios    :  intrman.018: CpuResumeIntr (1, 9e6d8, ffe96, 0)
[  561.2485] Bios    :  thevent.010: WaitEventFlag (13cce23, 7, 11, 1dd158)
[  561.2485] Bios    :  intrman.023: QueryIntrContext (13cce23, 7, 11, 1dd158)
[  561.2485] Bios    :  intrman.017: CpuSuspendIntr (1dd118, 7, 11, 1dd158)
[  561.2485] Bios    :  intrman.018: CpuResumeIntr (1, 7, 9e670, 1dd158)
[  561.2485] Bios    :  thsemap.008: WaitSema (13cdb0f, 7, 9e670, 1dd158)
[  561.2485] Bios    :  intrman.023: QueryIntrContext (13cdb0f, 7, 9e670, 1dd158)
[  561.2485] Bios    :  intrman.017: CpuSuspendIntr (1dd110, 7, 9e670, 1dd158)
[  561.2485] Bios    :  intrman.018: CpuResumeIntr (1, 7, 9e6d8, 1dd158)
[  561.2485] Bios    :   thbase.034: GetSystemTime (1dd198, 7, 9e6d8, 1dd158)
[  561.2485] Bios    :  intrman.014:  (115f8, 1dd198, 9e6d8, 1dd158)
[  561.2485] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 9e6d8, 1dd158, 1dd158)
[  561.2485] Bios    :   thbase.037: CancelAlarm (bed2c, c5a30, 1dd158, 1dd158)
[  561.2485] Bios    :  intrman.023: QueryIntrContext (bed2c, c5a30, 1dd158, 1dd158)
[  561.2485] Bios    :  intrman.017: CpuSuspendIntr (1dd168, c5a30, 1dd158, 1dd158)
[  561.2485] Bios    :  intrman.018: CpuResumeIntr (1, 132e0, 1dd158, 1dd158)
[  561.2485] Bios    :   thbase.040: SysClock2USec (1dd198, 1dd1a4, 1dd1a8, bf9a3e61)
[  561.2485] Bios    :   thbase.039: USec2SysClock (186a0, 1dd198, f4240, 0)
[  561.2485] Bios    :   thbase.034: GetSystemTime (1dd190, 0, 7d, 0)
[  561.2485] Bios    :  intrman.014:  (115f8, 1dd190, 7d, 0)
[  561.2485] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 7d, 0, 0)
[  561.2485] Bios    :   thbase.035: SetAlarm (1dd198, bed2c, c5a30, 0)
[  561.2485] Bios    :  intrman.023: QueryIntrContext (1dd198, bed2c, c5a30, 0)
[  561.2485] Bios    :  intrman.017: CpuSuspendIntr (1dd160, bed2c, c5a30, 0)
[  561.2485] Bios    :  intrman.014:  (115f8, 1dd158, c5a30, 0)
[  561.2485] Bios    :  timrman.010: GetTimerCounter (6bf8014a, c5a30, 0, 0)
[  561.2485] Bios    :  intrman.014:  (115f8, 1dd158, 7, 12c40)
[  561.2485] Bios    :  timrman.010: GetTimerCounter (6bf8014a, 7, 12c40, 12c40)
[  561.2486] Bios    :  timrman.011: SetTimerCompare (6bf8014a, bfaa3e93, ff578, 0)
[  561.2486] Bios    :  intrman.018: CpuResumeIntr (1, bfaa3e93, ff578, 0)
[  561.2486] Bios    :  thsemap.006: SignalSema (13cdb0f, 1dd1a0, ff578, 0)
[  561.2486] Bios    :  intrman.023: QueryIntrContext (13cdb0f, 1dd1a0, ff578, 0)
[  561.2486] Bios    :  intrman.017: CpuSuspendIntr (1dd110, 1dd1a0, ff578, 0)
[  561.2486] Bios    :  intrman.018: CpuResumeIntr (1, 9e6d8, ff578, 0)
[  561.2486] Bios    :  thevent.010: WaitEventFlag (13cce23, 7, 11, 1dd158)
[  561.2486] Bios    :  intrman.023: QueryIntrContext (13cce23, 7, 11, 1dd158)
[  561.2486] Bios    :  intrman.017: CpuSuspendIntr (1dd118, 7, 11, 1dd158)
[  561.2486] Bios    : Bios call: RFU005 (5)
[  561.2545] Bios    :  thevent.007: iSetEventFlag (12f0c19, 1, 80000000, 138a4)
[  561.2545] Bios    :  intrman.023: QueryIntrContext (12f0c19, 1, 80000000, 138a4)
[  561.2545] Bios    :  thevent.007: iSetEventFlag (25dd05, 1, a0, 14)
[  561.2545] Bios    :  intrman.023: QueryIntrContext (25dd05, 1, a0, 14)
[  561.2545] Bios    : Bios call: RFU005 (5)
