half: n ee_top6 iop_top6 cdvd sif misc
326.0: n=41388 ee=[(1798, 'GetThreadId'), (1285, 'WaitSema'), (984, 'SignalSema'), (560, 'RFU005'), (346, 'iSignalSema'), (140, 'sceSifSetDma_isceSifSetDma')]
    iop=[(4512, 'libsd.010:sceSdGetAddr'), (4078, 'intrman.023:QueryIntrContext'), (3735, 'intrman.017:CpuSuspendIntr'), (2508, 'intrman.018:CpuResumeIntr'), (1251, 'sifman.008:sceSifDmaStat'), (1041, 'thevent.010:WaitEventFlag')] cdvd=738 sif=12139 misc=967
326.5: n=32651 ee=[(1281, 'GetThreadId'), (1058, 'WaitSema'), (780, 'SignalSema'), (521, 'RFU005'), (285, 'iSignalSema'), (101, 'sceSifSetDma_isceSifSetDma')]
    iop=[(4512, 'libsd.010:sceSdGetAddr'), (3696, 'intrman.023:QueryIntrContext'), (3300, 'intrman.017:CpuSuspendIntr'), (2119, 'intrman.018:CpuResumeIntr'), (1003, 'thevent.010:WaitEventFlag'), (863, 'thevent.006:SetEventFlag')] cdvd=113 sif=8273 misc=798
327.0: n=75413 ee=[(8788, 'GetThreadId'), (4557, 'ReferThreadStatus'), (4436, 'RotateThreadReadyQueue'), (2170, 'WaitSema'), (1839, 'SignalSema'), (624, 'RFU005')]
    iop=[(4734, 'intrman.023:QueryIntrContext'), (4516, 'intrman.017:CpuSuspendIntr'), (4416, 'libsd.010:sceSdGetAddr'), (3566, 'sifman.008:sceSifDmaStat'), (3204, 'intrman.018:CpuResumeIntr'), (1093, 'thevent.010:WaitEventFlag')] cdvd=2023 sif=20625 misc=1272
327.5: n=65422 ee=[(2831, 'GetThreadId'), (1729, 'WaitSema'), (1334, 'SignalSema'), (707, 'RFU005'), (588, 'iSignalSema'), (288, 'sceSifSetDChain_isceSifSetDChain')]
    iop=[(5594, 'intrman.023:QueryIntrContext'), (5421, 'intrman.017:CpuSuspendIntr'), (4464, 'libsd.010:sceSdGetAddr'), (4033, 'intrman.018:CpuResumeIntr'), (2562, 'sifman.008:sceSifDmaStat'), (1180, 'thevent.010:WaitEventFlag')] cdvd=2820 sif=21651 misc=1533
328.0: n=205274 ee=[(37907, 'GetThreadId'), (28984, 'ReferThreadStatus'), (28697, 'RotateThreadReadyQueue'), (4053, 'WaitSema'), (3639, 'SignalSema'), (799, 'RFU005')]
    iop=[(11930, 'sifman.008:sceSifDmaStat'), (6491, 'intrman.017:CpuSuspendIntr'), (6402, 'intrman.023:QueryIntrContext'), (4910, 'intrman.018:CpuResumeIntr'), (4464, 'libsd.010:sceSdGetAddr'), (1283, 'thevent.010:WaitEventFlag')] cdvd=5251 sif=47152 misc=2127
328.5: n=169475 ee=[(27441, 'GetThreadId'), (21894, 'ReferThreadStatus'), (21633, 'RotateThreadReadyQueue'), (2861, 'WaitSema'), (2452, 'SignalSema'), (774, 'RFU005')]
    iop=[(10187, 'sifman.008:sceSifDmaStat'), (6183, 'intrman.017:CpuSuspendIntr'), (6149, 'intrman.023:QueryIntrContext'), (4650, 'intrman.018:CpuResumeIntr'), (4512, 'libsd.010:sceSdGetAddr'), (1250, 'thevent.010:WaitEventFlag')] cdvd=4696 sif=42095 misc=1985
329.0: n=86073 ee=[(3425, 'GetThreadId'), (2019, 'WaitSema'), (1598, 'SignalSema'), (770, 'RFU005'), (687, 'iSignalSema'), (358, 'sceSifSetDma_isceSifSetDma')]
