PVD root_ext=261 root_size=488
lbn=483 sectors=1 size=49 name=/SYSTEM.CNF
lbn=484 sectors=1900 size=3890784 name=/SLUS_207.72
lbn=2384 sectors=132 size=268977 name=/DATA/MODULES/DNAS271.IMG
lbn=2516 sectors=4 size=6641 name=/DATA/MODULES/SIO2MAN.IRX
lbn=2520 sectors=22 size=43813 name=/DATA/MODULES/PADMAN.IRX
lbn=2542 sectors=14 size=28557 name=/DATA/MODULES/LIBSD.IRX
lbn=2556 sectors=47 size=96016 name=/DATA/MODULES/SNDDRV.IRX
lbn=2603 sectors=47 size=95877 name=/DATA/MODULES/MCMAN.IRX
lbn=2650 sectors=4 size=7417 name=/DATA/MODULES/MCSERV.IRX
lbn=2654 sectors=7 size=13197 name=/DATA/MODULES/DEV9.IRX
lbn=2661 sectors=51 size=102751 name=/DATA/MODULES/DRTYSCKF.IRX
lbn=2712 sectors=69 size=141181 name=/DATA/MODULES/INET.IRX
lbn=2781 sectors=13 size=24781 name=/DATA/MODULES/INETCTL.IRX
lbn=2794 sectors=23 size=45109 name=/DATA/MODULES/LGAUD.IRX
lbn=2817 sectors=4 size=6661 name=/DATA/MODULES/LIBNET.IRX
lbn=2821 sectors=4 size=7377 name=/DATA/MODULES/MSIFRPC.IRX
lbn=2825 sectors=33 size=65805 name=/DATA/MODULES/NETCNF.IRX
lbn=2858 sectors=50 size=102285 name=/DATA/MODULES/PPP.IRX
lbn=2908 sectors=9 size=17121 name=/DATA/MODULES/PPPOE.IRX
lbn=2917 sectors=4 size=8065 name=/DATA/MODULES/SDRDRV.IRX
lbn=2921 sectors=9 size=16977 name=/DATA/MODULES/SMAP.IRX
lbn=2930 sectors=10 size=18537 name=/DATA/MODULES/SPDUART.IRX
lbn=2940 sectors=18 size=34969 name=/DATA/MODULES/USBD.IRX
lbn=2958 sectors=7 size=12853 name=/DATA/MODULES/USBKB.IRX
lbn=2965 sectors=8 size=16105 name=/DATA/MODULES/VOIPF.IRX
lbn=2973 sectors=131072 size=268435456 name=/PAD1.000
lbn=134045 sectors=131072 size=268435456 name=/PAD0.000
lbn=265117 sectors=1 size=812 name=/CNF/DIAL_SPD.CNF
lbn=265118 sectors=1 size=964 name=/CNF/ICON.SYS
lbn=265119 sectors=17 size=33688 name=/CNF/SYS_NET.ICO
lbn=265136 sectors=420 size=860160 name=/NETGUI/BG.RGB
lbn=265556 sectors=560 size=1146880 name=/NETGUI/BG2.RGB
lbn=266116 sectors=63 size=127536 name=/NETGUI/EFF.BD
lbn=266179 sectors=1 size=560 name=/NETGUI/EFF.HD
lbn=266180 sectors=64 size=131072 name=/NETGUI/JIS2UCS.BIN
lbn=266244 sectors=2048 size=4193516 name=/NETGUI/NTGUI.ELF
lbn=268292 sectors=312 size=637456 name=/NETGUI/EUROPEAN.PF
lbn=268604 sectors=64 size=131072 name=/NETGUI/UCS2JIS.BIN
lbn=268668 sectors=7 size=13197 name=/NETGUI/MODULES/DEV9.IRX
lbn=268675 sectors=30 size=60804 name=/NETGUI/MODULES/EZMIDI.IRX
lbn=268705 sectors=69 size=141181 name=/NETGUI/MODULES/INET.IRX
lbn=268774 sectors=13 size=24781 name=/NETGUI/MODULES/INETCTL.IRX
lbn=268787 sectors=131 size=266817 name=/NETGUI/MODULES/IOPRP271.IMG
lbn=268918 sectors=14 size=28605 name=/NETGUI/MODULES/LIBSD.IRX
lbn=268932 sectors=47 size=95877 name=/NETGUI/MODULES/MCMAN.IRX
lbn=268979 sectors=4 size=7417 name=/NETGUI/MODULES/MCSERV.IRX
lbn=268983 sectors=30 size=59669 name=/NETGUI/MODULES/MODHSYN.IRX
lbn=269013 sectors=11 size=21965 name=/NETGUI/MODULES/MODMIDI.IRX
lbn=269024 sectors=33 size=65805 name=/NETGUI/MODULES/NETCNF.IRX
lbn=269057 sectors=16 size=31029 name=/NETGUI/MODULES/NTGUI2.IRX
lbn=269073 sectors=22 size=43813 name=/NETGUI/MODULES/PADMAN.IRX
lbn=269095 sectors=50 size=102285 name=/NETGUI/MODULES/PPP.IRX
lbn=269145 sectors=9 size=17121 name=/NETGUI/MODULES/PPPOE.IRX
lbn=269154 sectors=4 size=8065 name=/NETGUI/MODULES/SDRDRV.IRX
