t=8.4 tick=267 busy=624962 total=1018163 pct=61.4
t=13.4 tick=600 busy=593692 total=1003231 pct=59.2
t=20.0 tick=850 busy=633507 total=1007558 pct=62.9
t=25.0 tick=1073 busy=715991 total=1031668 pct=69.4
t=31.4 tick=1606 busy=140611 total=1015613 pct=13.8
t=36.7 tick=1644 busy=363917 total=1001350 pct=36.3
t=43.3 tick=1686 busy=347023 total=1011905 pct=34.3
t=48.7 tick=1727 busy=343197 total=1006320 pct=34.1
t=55.2 tick=1765 busy=438783 total=1004045 pct=43.7
t=60.5 tick=1845 busy=384676 total=1015410 pct=37.9
t=67.1 tick=1888 busy=486493 total=1017067 pct=47.8
t=72.3 tick=1935 busy=474372 total=1003548 pct=47.3
t=78.5 tick=1980 busy=470502 total=1008444 pct=46.7
t=84.3 tick=2024 busy=484970 total=1002672 pct=48.4
t=90.5 tick=2120 busy=488000 total=1015739 pct=48.0
t=96.3 tick=2168 busy=502764 total=1012599 pct=49.7
t=102.5 tick=2213 busy=489834 total=1021807 pct=47.9
t=108.0 tick=2260 busy=485264 total=1009127 pct=48.1
t=114.4 tick=2310 busy=494608 total=1013782 pct=48.8
t=119.8 tick=2358 busy=486320 total=1007198 pct=48.3
t=126.5 tick=2453 busy=476824 total=1011646 pct=47.1
t=131.9 tick=2504 busy=458132 total=1003812 pct=45.6
t=138.1 tick=2555 busy=462112 total=1009800 pct=45.8
t=143.3 tick=2607 busy=492743 total=1005188 pct=49.0
t=149.5 tick=2659 busy=482544 total=1003751 pct=48.1
t=156.7 tick=2764 busy=482003 total=1008489 pct=47.8
t=163.1 tick=2816 busy=468934 total=1008534 pct=46.5
t=168.5 tick=2869 busy=480305 total=1001760 pct=47.9
t=175.3 tick=2921 busy=467018 total=1003257 pct=46.6
t=180.6 tick=3027 busy=509087 total=1006082 pct=50.6
t=186.9 tick=3081 busy=493019 total=1006989 pct=49.0
t=192.1 tick=3133 busy=473150 total=1019692 pct=46.4
t=198.7 tick=3186 busy=495098 total=1000860 pct=49.5
t=204.1 tick=3240 busy=494020 total=1019483 pct=48.5
t=210.5 tick=3292 busy=477118 total=1009141 pct=47.3
t=215.6 tick=3397 busy=478438 total=1002574 pct=47.7
t=222.3 tick=3449 busy=490911 total=1009399 pct=48.6
t=227.6 tick=3499 busy=486159 total=1008104 pct=48.2
t=235.3 tick=3551 busy=483334 total=1007760 pct=48.0
t=242.2 tick=3655 busy=469019 total=1005373 pct=46.7
t=247.5 tick=3706 busy=478605 total=1000653 pct=47.8
t=254.4 tick=3759 busy=472135 total=1000446 pct=47.2
t=260.3 tick=3812 busy=467353 total=1019386 pct=45.8
t=267.8 tick=3918 busy=435794 total=1006511 pct=43.3
t=274.4 tick=3970 busy=443275 total=1002989 pct=44.2
t=279.7 tick=4022 busy=449208 total=1006578 pct=44.6
t=286.4 tick=4127 busy=460655 total=1000987 pct=46.0
t=291.9 tick=4178 busy=488732 total=1003999 pct=48.7
t=298.4 tick=4231 busy=486705 total=1012913 pct=48.1
t=303.9 tick=4291 busy=468355 total=1013231 pct=46.2
t=310.7 tick=4349 busy=490986 total=1010408 pct=48.6
t=316.1 tick=4469 busy=491126 total=1020298 pct=48.1
t=322.5 tick=4529 busy=486024 total=1007322 pct=48.2
