t=8.6 tick=262 busy=267774 total=1005487 pct=26.6
t=13.7 tick=600 busy=423231 total=1008170 pct=42.0
t=19.9 tick=863 busy=647729 total=1010259 pct=64.1
t=25.4 tick=1455 busy=103107 total=1003946 pct=10.3
t=32.2 tick=1622 busy=249510 total=1003715 pct=24.9
t=37.3 tick=1670 busy=256076 total=1004496 pct=25.5
t=43.7 tick=1717 busy=255656 total=1000964 pct=25.5
t=48.9 tick=1763 busy=291348 total=1002689 pct=29.1
t=55.3 tick=1860 busy=293332 total=1011449 pct=29.0
t=60.9 tick=1912 busy=351045 total=1002323 pct=35.0
t=67.3 tick=1977 busy=377294 total=1007624 pct=37.4
t=72.7 tick=2042 busy=387182 total=1004223 pct=38.6
t=79.5 tick=2110 busy=384263 total=1005022 pct=38.2
t=84.8 tick=2180 busy=441680 total=1006581 pct=43.9
t=91.3 tick=2316 busy=428010 total=1004227 pct=42.6
t=96.9 tick=2389 busy=370622 total=1000659 pct=37.0
