t=8.6 tick=265 busy=264967 total=1000869 pct=26.5
t=13.7 tick=600 busy=414888 total=1005932 pct=41.2
t=19.9 tick=864 busy=644402 total=1004073 pct=64.2
t=25.2 tick=1455 busy=362465 total=1014563 pct=35.7
t=56.3 tick=1849 busy=246617 total=1006767 pct=24.5
t=61.4 tick=1900 busy=300513 total=1001865 pct=30.0
t=67.7 tick=1960 busy=501180 total=1012738 pct=49.5
t=72.9 tick=2022 busy=484499 total=1006701 pct=48.1
t=79.3 tick=2152 busy=327672 total=1004668 pct=32.6
t=84.9 tick=2220 busy=346439 total=1010670 pct=34.3
t=91.4 tick=2289 busy=455536 total=1003732 pct=45.4
t=96.5 tick=2360 busy=376889 total=1001118 pct=37.6
t=103.2 tick=2434 busy=324620 total=1024166 pct=31.7
t=108.5 tick=2508 busy=336311 total=1009912 pct=33.3
t=114.8 tick=2658 busy=321082 total=1002459 pct=32.0
