t=8.4 tick=274 busy=264358 total=1004587 pct=26.3
t=13.5 tick=600 busy=433987 total=1011978 pct=42.9
t=19.8 tick=864 busy=603752 total=1012354 pct=59.6
t=25.0 tick=1202 busy=390244 total=1000623 pct=39.0
t=31.4 tick=1620 busy=278984 total=1011769 pct=27.6
t=37.1 tick=1670 busy=196243 total=1012741 pct=19.4
t=43.4 tick=1719 busy=215612 total=1060130 pct=20.3
t=48.7 tick=1766 busy=248009 total=1017456 pct=24.4
t=55.2 tick=1865 busy=261983 total=1055625 pct=24.8
t=60.5 tick=1919 busy=295933 total=1002022 pct=29.5
t=67.3 tick=1978 busy=486491 total=1012821 pct=48.0
t=72.7 tick=2039 busy=335574 total=1011616 pct=33.2
t=79.7 tick=2107 busy=327430 total=1030132 pct=31.8
t=85.1 tick=2176 busy=324429 total=1021001 pct=31.8
t=91.6 tick=2310 busy=374959 total=1011817 pct=37.1
t=97.2 tick=2382 busy=369377 total=1002193 pct=36.9
t=104.9 tick=2455 busy=336616 total=1002294 pct=33.6
t=111.3 tick=2605 busy=322263 total=1001163 pct=32.2
t=117.0 tick=2681 busy=311830 total=1002403 pct=31.1
t=123.3 tick=2756 busy=315340 total=1001024 pct=31.5
t=128.9 tick=2831 busy=355243 total=1001032 pct=35.5
t=135.6 tick=2981 busy=336094 total=1001227 pct=33.6
t=141.2 tick=3057 busy=315063 total=1001030 pct=31.5
t=147.4 tick=3133 busy=321096 total=1005752 pct=31.9
t=152.6 tick=3209 busy=347358 total=1011043 pct=34.4
t=159.0 tick=3284 busy=340378 total=1001053 pct=34.0
