t=8.7 tick=262 busy=741870 total=1010275 pct=73.4
t=15.7 tick=848 busy=490255 total=1009787 pct=48.6
t=22.2 tick=1056 busy=733097 total=1005087 pct=72.9
t=29.3 tick=1365 busy=573373 total=1014840 pct=56.5
t=36.5 tick=1637 busy=413068 total=1006155 pct=41.1
t=42.8 tick=1678 busy=381297 total=1006978 pct=37.9
t=48.1 tick=1718 busy=368825 total=1000926 pct=36.8
t=54.6 tick=1756 busy=477398 total=1006677 pct=47.4
t=61.6 tick=1833 busy=453299 total=1010707 pct=44.8
t=68.4 tick=1875 busy=509959 total=1015975 pct=50.2
t=73.7 tick=1920 busy=514620 total=1013250 pct=50.8
t=80.1 tick=1965 busy=542433 total=1009932 pct=53.7
t=85.3 tick=2009 busy=522428 total=1007381 pct=51.9
t=91.7 tick=2102 busy=563328 total=1007762 pct=55.9
t=97.3 tick=2150 busy=513825 total=1003489 pct=51.2
t=105.0 tick=2194 busy=515848 total=1002766 pct=51.4
t=111.7 tick=2287 busy=525967 total=1012457 pct=51.9
t=117.0 tick=2335 busy=546755 total=1009761 pct=54.1
t=123.6 tick=2381 busy=520866 total=1004659 pct=51.8
