t=8.4 tick=252 busy=215510 total=1000857 pct=21.5
t=13.7 tick=600 busy=304019 total=1009322 pct=30.1
t=19.9 tick=867 busy=483204 total=1009131 pct=47.9
t=24.9 tick=1201 busy=222792 total=1000901 pct=22.3
t=31.7 tick=1624 busy=161375 total=1000765 pct=16.1
t=37.2 tick=1673 busy=191997 total=1000772 pct=19.2
t=43.7 tick=1722 busy=209609 total=1014400 pct=20.7
t=49.0 tick=1769 busy=246169 total=1000818 pct=24.6
t=55.5 tick=1868 busy=231642 total=1000734 pct=23.1
t=60.7 tick=1922 busy=308385 total=1001317 pct=30.8
t=67.1 tick=1987 busy=322945 total=1001105 pct=32.3
t=72.2 tick=2053 busy=316943 total=1001479 pct=31.6
t=79.1 tick=2122 busy=333608 total=1000992 pct=33.3
t=84.6 tick=2191 busy=320810 total=1009668 pct=31.8
t=90.8 tick=2331 busy=338955 total=1002477 pct=33.8
t=96.3 tick=2405 busy=332934 total=1002638 pct=33.2
t=102.8 tick=2478 busy=319795 total=1001023 pct=31.9
t=108.1 tick=2553 busy=326910 total=1001112 pct=32.7
t=114.7 tick=2630 busy=316130 total=1006874 pct=31.4
t=120.6 tick=2783 busy=324808 total=1001081 pct=32.4
t=127.3 tick=2858 busy=344709 total=1001144 pct=34.4
t=132.5 tick=2934 busy=340111 total=1017807 pct=33.4
t=139.3 tick=3010 busy=315893 total=1008834 pct=31.3
t=144.6 tick=3087 busy=310576 total=1001026 pct=31.0
t=151.0 tick=3243 busy=360182 total=1006061 pct=35.8
t=156.3 tick=3318 busy=329548 total=1001285 pct=32.9
t=163.3 tick=3393 busy=319374 total=1001078 pct=31.9
t=168.8 tick=3469 busy=338156 total=1001052 pct=33.8
t=175.3 tick=3621 busy=309451 total=1012547 pct=30.6
t=180.7 tick=3697 busy=347590 total=1000983 pct=34.7
t=187.2 tick=3771 busy=342278 total=1001032 pct=34.2
t=192.7 tick=3847 busy=304026 total=1001028 pct=30.4
t=199.2 tick=3923 busy=317533 total=1001271 pct=31.7
t=205.0 tick=4001 busy=298167 total=1000386 pct=29.8
t=212.4 tick=4152 busy=356097 total=1004596 pct=35.4
t=218.8 tick=4235 busy=320594 total=1001050 pct=32.0
t=224.5 tick=4325 busy=346439 total=1009185 pct=34.3
t=231.3 tick=4516 busy=344816 total=1010673 pct=34.1
