t=8.4 tick=273 busy=308836 total=1013488 pct=30.5
t=15.6 tick=863 busy=411407 total=1009619 pct=40.7
t=22.0 tick=1203 busy=443545 total=1008317 pct=44.0
t=27.1 tick=1455 busy=406997 total=1006072 pct=40.5
t=33.8 tick=1622 busy=242451 total=1000944 pct=24.2
t=39.2 tick=1671 busy=234711 total=1000791 pct=23.5
t=45.6 tick=1764 busy=252817 total=1003726 pct=25.2
t=50.8 tick=1811 busy=291535 total=1007977 pct=28.9
t=57.2 tick=1861 busy=276626 total=1000475 pct=27.6
t=62.2 tick=1915 busy=364137 total=1002913 pct=36.3
t=68.8 tick=1979 busy=382194 total=1015130 pct=37.6
t=73.9 tick=2045 busy=378568 total=1000334 pct=37.8
t=81.8 tick=2183 busy=375757 total=1006272 pct=37.3
t=88.8 tick=2249 busy=388929 total=1007636 pct=38.6
t=94.0 tick=2320 busy=410787 total=1001368 pct=41.0
t=100.8 tick=2465 busy=395858 total=1013072 pct=39.1
t=105.9 tick=2541 busy=377267 total=1001255 pct=37.7
t=112.9 tick=2616 busy=365187 total=1001119 pct=36.5
t=118.2 tick=2691 busy=372481 total=1013672 pct=36.7
t=124.8 tick=2766 busy=418615 total=1001442 pct=41.8
t=130.3 tick=2916 busy=410668 total=1010367 pct=40.6
t=136.6 tick=2992 busy=369212 total=1001268 pct=36.9
t=142.1 tick=3067 busy=370474 total=1004423 pct=36.9
t=149.0 tick=3143 busy=359894 total=1001954 pct=35.9
t=154.6 tick=3219 busy=410209 total=1001337 pct=41.0
t=161.0 tick=3368 busy=372599 total=1009489 pct=36.9
t=166.2 tick=3444 busy=377696 total=1013452 pct=37.3
t=172.9 tick=3519 busy=374758 total=1005753 pct=37.3
t=178.2 tick=3594 busy=362468 total=1003079 pct=36.1
t=184.8 tick=3670 busy=404014 total=1001430 pct=40.3
t=189.9 tick=3745 busy=389914 total=1004158 pct=38.8
t=196.5 tick=3896 busy=367054 total=1010068 pct=36.3
t=201.8 tick=3971 busy=375781 total=1001229 pct=37.5
t=208.6 tick=4047 busy=417440 total=1011026 pct=41.3
t=213.9 tick=4122 busy=379840 total=1011707 pct=37.5
t=220.5 tick=4284 busy=401061 total=1001276 pct=40.1
t=225.7 tick=4368 busy=423127 total=1000729 pct=42.3
t=231.9 tick=4462 busy=419102 total=1010342 pct=41.5
t=237.3 tick=4562 busy=377949 total=1005826 pct=37.6
