t=8.3 tick=275 busy=267878 total=1004328 pct=26.7
t=13.6 tick=600 busy=440876 total=1003610 pct=43.9
t=20.1 tick=860 busy=591625 total=1003277 pct=59.0
t=25.4 tick=1455 busy=189453 total=1015517 pct=18.7
t=55.6 tick=1851 busy=282405 total=1000921 pct=28.2
t=60.7 tick=1901 busy=300420 total=1007720 pct=29.8
t=67.3 tick=1960 busy=385356 total=1005907 pct=38.3
t=72.5 tick=2026 busy=376262 total=1002989 pct=37.5
t=78.8 tick=2092 busy=374764 total=1001314 pct=37.4
t=84.4 tick=2227 busy=360070 total=1002963 pct=35.9
t=92.2 tick=2296 busy=382027 total=1010913 pct=37.8
t=98.6 tick=2369 busy=374674 total=1001491 pct=37.4
