t=8.4 tick=256 busy=292044 total=1003051 pct=29.1
t=13.5 tick=600 busy=413917 total=1004363 pct=41.2
t=19.9 tick=877 busy=431798 total=1001053 pct=43.1
t=26.9 tick=1455 busy=361560 total=1011169 pct=35.8
t=33.6 tick=1623 busy=240927 total=1009968 pct=23.9
t=38.8 tick=1680 busy=238653 total=1004130 pct=23.8
t=45.2 tick=1736 busy=265958 total=1001864 pct=26.5
t=50.4 tick=1846 busy=285071 total=1012723 pct=28.1
t=55.6 tick=1903 busy=270114 total=1007871 pct=26.8
t=235.0 tick=4423 busy=352764 total=1009240 pct=35.0
t=240.3 tick=4524 busy=375373 total=1015627 pct=37.0
t=247.0 tick=4623 busy=381286 total=1003207 pct=38.0
t=252.1 tick=4715 busy=401148 total=1001421 pct=40.1
t=258.9 tick=4898 busy=454262 total=1003831 pct=45.3
t=264.2 tick=4973 busy=363992 total=1021075 pct=35.6
t=270.9 tick=5049 busy=367981 total=1003347 pct=36.7
t=276.1 tick=5128 busy=384451 total=1012248 pct=38.0
t=282.6 tick=5212 busy=392108 total=1003851 pct=39.1
t=288.0 tick=5294 busy=403388 total=1013843 pct=39.8
t=294.3 tick=5440 busy=368268 total=1003049 pct=36.7
